RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,50525,Collin Morikawa,3.051,0.907,1.208,0.935,4
2,0,46046,Scottie Scheffler,2.759,1.628,0.157,0.974,4
3,15,34098,Russell Henley,2.274,0.333,0.348,1.592,4
4,1,39975,Michael Kim,2.129,0.535,1.020,0.574,4
5,0,39997,Corey Conners,1.969,0.384,0.775,0.810,4
6,0,47483,Will Zalatoris,1.954,0.875,1.119,-0.040,4
7,0,33141,Keegan Bradley,1.867,-0.055,1.670,0.252,4
8,0,33948,Byeong Hun An,1.606,0.825,1.024,-0.244,4
9,0,46414,Aaron Rai,1.479,0.239,0.658,0.582,4
10,0,30911,Tommy Fleetwood,1.465,0.521,0.687,0.257,4
11,0,52215,Robert MacIntyre,1.249,0.735,0.670,-0.156,4
12,0,32839,Hideki Matsuyama,1.164,0.248,-0.498,1.414,4
13,-4,39324,J.J. Spaun,1.139,0.329,1.304,-0.494,4
14,0,49771,J.T. Poston,1.127,-0.028,1.347,-0.192,4
15,23,40026,Daniel Berger,1.036,0.682,-0.004,0.358,4
16,0,33448,Justin Thomas,1.004,0.520,0.305,0.180,4
17,24,30926,Chris Kirk,0.968,0.508,0.015,0.445,4
18,-11,33204,Shane Lowry,0.950,-0.290,0.744,0.496,4
19,0,51766,Wyndham Clark,0.865,-0.075,0.128,0.812,4
20,0,25900,Lucas Glover,0.751,-0.100,1.223,-0.371,4
21,0,25493,Nick Taylor,0.748,-0.004,0.973,-0.221,4
22,6,60004,Jacob Bridgeman,0.659,0.211,-0.149,0.597,4
23,0,37455,Si Woo Kim,0.652,-0.006,-0.843,1.501,4
24,-21,49960,Sepp Straka,0.630,-0.054,1.006,-0.321,4
25,34,36699,Patrick Rodgers,0.476,0.043,0.281,0.152,4
26,0,35450,Patrick Cantlay,0.448,-0.695,0.815,0.328,4
27,0,22405,Justin Rose,0.390,-0.044,1.021,-0.587,4
28,0,28089,Jason Day,0.238,0.288,0.201,-0.252,4
29,0,55893,Sam Stevens,0.157,0.432,0.100,-0.374,4
30,0,39971,Sungjae Im,0.120,0.404,-0.818,0.534,4
31,0,28237,Rory McIlroy,0.101,0.317,-0.565,0.349,4
32,-20,56781,Isaiah Salinda,0.033,0.976,-1.008,0.066,4
33,15,45522,Christiaan Bezuidenhout,0.018,-0.246,-0.549,0.814,4
34,0,35506,Mackenzie Hughes,-0.029,0.163,-0.431,0.240,4
35,0,52955,Ludvig Åberg,-0.073,1.329,-0.551,-0.850,4
36,0,57362,Austin Eckroat,-0.078,0.549,0.121,-0.748,4
37,-31,27644,Brian Harman,-0.170,-0.801,0.639,-0.007,4
38,0,51997,Andrew Novak,-0.242,0.521,-1.155,0.393,4
39,-18,51977,Max Greyserman,-0.343,-0.290,-0.706,0.653,4
40,0,29725,Tony Finau,-0.461,0.484,-0.050,-0.894,4
41,0,48081,Xander Schauffele,-0.505,0.337,0.433,-1.274,4
42,-34,51950,Max McGreevy,-0.550,0.393,0.680,-1.623,4
43,0,33399,Adam Hadwin,-0.752,-0.842,-0.419,0.509,4
44,0,24502,Adam Scott,-0.796,0.298,-0.386,-0.708,4
45,0,47591,Eric Cole,-0.803,-0.868,-0.713,0.778,4
46,3,47993,Denny McCarthy,-0.845,-0.334,0.610,-1.121,4
47,0,40098,Matt Fitzpatrick,-1.376,-0.162,-0.969,-0.245,4
48,-25,54591,Ben Griffin,-1.628,-0.719,-1.199,0.291,4
49,15,35532,Tom Hoge,-1.632,-0.906,-0.040,-0.685,4
50,0,66701,Jackson Koivun,-1.701,0.287,-1.007,-0.981,4
51,0,47504,Sam Burns,-2.551,-0.524,-2.530,0.503,4
