RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,46443,Brian Campbell,3.060,0.233,1.463,1.365,4
2,0,38991,Alejandro Tosti,2.954,1.017,0.920,1.017,4
3,0,52453,Nicolai Højgaard,2.613,0.522,1.138,0.954,4
4,33,46414,Aaron Rai,2.517,0.777,2.255,-0.515,4
5,27,54591,Ben Griffin,2.230,0.132,1.466,0.632,4
6,0,51890,Greyson Sigg,2.177,0.063,0.795,1.319,4
7,10,36699,Patrick Rodgers,2.129,1.080,1.172,-0.122,4
8,0,56781,Isaiah Salinda,1.999,0.629,1.078,0.292,4
9,0,54607,Danny Walker,1.929,0.971,0.171,0.787,4
10,0,46340,Alex Smalley,1.808,1.457,-0.109,0.460,4
11,0,34076,Joel Dahmen,1.604,0.537,1.213,-0.146,4
12,0,30163,Henrik Norlander,1.603,-0.515,2.545,-0.427,4
13,7,39975,Michael Kim,1.567,0.049,0.392,1.126,4
14,0,51287,Ryo Hisatsune,1.556,0.169,1.458,-0.071,4
15,-2,56630,Akshay Bhatia,1.436,0.097,0.244,1.095,4
16,0,35310,Lanto Griffin,1.379,-0.014,1.011,0.382,4
17,0,57123,Steven Fisk,1.339,1.172,-0.280,0.447,4
18,0,63343,Aldrich Potgieter,1.225,1.223,0.148,-0.147,4
19,0,66248,Justin Hastings,1.158,0.085,0.876,0.197,4
20,0,39335,Kevin Roy,1.151,1.179,0.213,-0.241,4
21,0,33413,Ben Martin,1.144,-0.278,0.636,0.786,4
22,0,50582,Jeremy Paul,1.097,0.133,0.383,0.580,4
23,-15,45242,Kevin Yu,1.041,0.400,1.226,-0.585,4
24,0,59160,John Pak,0.983,0.304,0.762,-0.084,4
25,-9,36799,Stephan Jaeger,0.970,0.451,0.253,0.267,4
26,0,60067,Joe Highsmith,0.958,0.542,0.955,-0.539,4
27,0,35658,Kris Ventura,0.929,0.562,0.709,-0.343,4
28,0,60004,Jacob Bridgeman,0.912,-0.618,0.881,0.649,4
29,-23,47420,Jake Knapp,0.867,0.073,1.186,-0.392,4
30,0,60165,Jose Luis Ballester Barrio,0.833,0.288,0.347,0.198,4
31,0,59018,Ryan Gerard,0.788,0.682,0.387,-0.282,4
32,0,47983,Chad Ramey,0.712,-0.034,0.927,-0.181,4
33,0,55165,Noah Goodwin,0.679,0.020,0.199,0.461,4
34,0,66417,Blades Brown,0.660,-0.008,0.824,-0.157,4
35,0,46646,Antoine Rozner,0.645,0.313,1.028,-0.695,4
36,0,49947,Taylor Moore,0.500,0.634,-0.825,0.692,4
37,0,57975,Harry Hall,0.479,0.023,-0.422,0.878,4
38,0,33968,Thorbjørn Olesen,0.466,0.065,-0.045,0.446,4
39,0,34466,Peter Malnati,0.461,-0.371,0.499,0.333,4
40,0,57586,Jesper Svensson,0.442,1.333,0.288,-1.179,4
41,0,29908,C.T. Pan,0.441,-0.418,0.730,0.129,4
42,0,60882,Thomas Rosenmueller,0.434,0.054,0.893,-0.513,4
43,0,50484,Hayden Springer,0.332,-0.206,0.243,0.295,4
44,0,57900,Chandler Phillips,0.330,-0.297,0.421,0.206,4
45,0,25198,Francesco Molinari,0.282,-1.195,1.146,0.331,4
46,0,40006,Erik van Rooyen,0.268,0.027,0.539,-0.298,4
47,0,36884,Ben Kohles,0.240,0.278,-0.319,0.281,4
48,0,35706,Niklas Norgaard,0.121,0.249,-0.077,-0.051,4
49,0,45523,Thriston Lawrence,0.109,0.169,-0.512,0.452,4
50,0,52666,Sami Valimaki,0.050,-0.006,1.016,-0.959,4
51,0,55789,Taylor Montgomery,0.028,0.151,-0.727,0.603,4
52,0,22371,Aaron Baddeley,-0.021,-1.432,0.309,1.103,4
53,0,36326,David Lipsky,-0.029,-0.329,0.881,-0.581,4
54,0,61520,Santiago de la Fuente,-0.134,0.481,-0.059,-0.555,4
55,0,47917,Takumi Kanaya,-0.141,0.147,-0.049,-0.239,4
56,0,51070,Vincent Norrman,-0.163,-0.116,-0.079,0.032,4
57,0,59440,Ricky Castillo,-0.164,-0.590,0.519,-0.092,4
58,0,40115,Adam Svensson,-0.179,0.245,-0.708,0.284,4
59,0,51950,Max McGreevy,-0.256,0.317,-0.508,-0.064,4
60,0,25818,Scott Piercy,-0.309,-0.013,-0.201,-0.095,4
61,0,24925,Jonathan Byrd,-0.334,-1.258,0.143,0.782,4
62,0,34256,Andrew Putnam,-0.404,-1.250,0.068,0.777,4
63,0,32070,Rafael Campos,-0.499,-0.069,-0.396,-0.034,4
64,0,34587,Chan Kim,-0.535,0.451,-0.458,-0.528,4
65,0,58605,Quade Cummins,-0.550,0.570,-0.306,-0.814,4
66,0,52686,Rasmus Højgaard,-0.827,-0.106,-0.699,-0.022,4
67,0,47679,Victor Perez,-0.862,0.860,-1.146,-0.575,4
68,0,37275,Sam Ryder,-1.017,-0.317,-0.316,-0.383,4
69,0,31646,Emiliano Grillo,-1.063,0.087,-0.883,-0.267,4
70,0,33597,Harry Higgs,-1.322,0.261,-0.416,-1.166,4
71,0,52370,Mason Andersen,-1.440,-1.240,-0.558,0.358,4
72,0,33199,Matteo Manassero,-1.560,-1.359,-0.138,-0.062,4
73,0,54304,Karl Vilips,-1.662,-0.822,0.148,-0.988,4
74,0,49590,Frankie Capan III,-2.146,-1.868,-0.455,0.176,4
75,0,55930,Fred Biondi,-2.314,0.040,-2.021,-0.333,4
76,0,65469,Riley Lewis,-2.358,-0.555,-1.738,-0.065,4
77,0,59141,Matt McCarty,-2.417,-0.207,-1.815,-0.395,4
