RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,45522,Christiaan Bezuidenhout,2.100,8.401,4
2,0,35532,Tom Hoge,1.391,5.563,4
3,0,33448,Justin Thomas,1.378,5.512,4
4,0,49771,J.T. Poston,1.376,5.503,4
5,0,51977,Max Greyserman,1.177,4.707,4
6,0,48153,Matthieu Pavon,1.087,4.349,4
7,0,46442,Maverick McNealy,1.058,4.230,4
8,0,45157,Cam Davis,0.949,3.797,4
9,0,60004,Jacob Bridgeman,0.903,3.612,4
10,0,51766,Wyndham Clark,0.829,3.316,4
11,0,52666,Sami Valimaki,0.792,3.167,4
12,0,24502,Adam Scott,0.771,3.085,4
13,0,47504,Sam Burns,0.738,2.950,4
14,0,37455,Si Woo Kim,0.658,2.631,4
15,0,23108,Matt Kuchar,0.643,2.573,4
16,0,28089,Jason Day,0.595,2.381,4
17,0,31323,Gary Woodland,0.569,2.275,4
18,0,25493,Nick Taylor,0.555,2.219,4
19,0,33399,Adam Hadwin,0.496,1.984,4
20,0,34098,Russell Henley,0.411,1.644,4
20,0,46717,Viktor Hovland,0.411,1.645,4
22,0,51997,Andrew Novak,0.400,1.600,4
23,0,30911,Tommy Fleetwood,0.379,1.517,4
24,0,57366,Cameron Young,0.332,1.327,4
25,0,40250,Taylor Pendrith,0.320,1.278,4
26,0,29725,Tony Finau,0.289,1.154,4
27,0,34021,Bud Cauley,0.232,0.927,4
28,0,36699,Patrick Rodgers,0.217,0.868,4
29,0,35506,Mackenzie Hughes,0.191,0.765,4
30,0,59866,Nick Dunlap,0.183,0.733,4
31,0,39324,J.J. Spaun,0.150,0.599,4
32,0,51287,Ryo Hisatsune,0.140,0.558,4
33,0,34046,Jordan Spieth,0.068,0.273,4
34,0,46046,Scottie Scheffler,0.063,0.251,4
35,0,33204,Shane Lowry,0.046,0.185,4
36,0,27644,Brian Harman,0.017,0.068,4
37,0,37378,Min Woo Lee,0.002,0.007,4
38,0,33653,Thomas Detry,-0.011,-0.044,4
39,0,47591,Eric Cole,-0.018,-0.072,4
40,0,59018,Ryan Gerard,-0.047,-0.188,4
41,0,48081,Xander Schauffele,-0.078,-0.314,4
42,0,57362,Austin Eckroat,-0.182,-0.729,4
43,0,52215,Robert MacIntyre,-0.203,-0.812,4
44,0,29420,Billy Horschel,-0.205,-0.820,4
45,0,34099,Harris English,-0.220,-0.879,4
45,0,47993,Denny McCarthy,-0.220,-0.880,4
47,0,58168,Davis Thompson,-0.221,-0.884,4
48,0,55893,Sam Stevens,-0.225,-0.900,4
49,0,54304,Karl Vilips,-0.228,-0.913,4
50,0,36799,Stephan Jaeger,-0.255,-1.020,4
51,0,30926,Chris Kirk,-0.267,-1.067,4
52,0,39971,Sungjae Im,-0.299,-1.195,4
53,0,40026,Daniel Berger,-0.316,-1.266,4
54,0,32102,Rickie Fowler,-0.559,-2.237,4
55,0,35450,Patrick Cantlay,-0.574,-2.296,4
56,0,49960,Sepp Straka,-0.583,-2.332,4
57,0,50525,Collin Morikawa,-0.633,-2.532,4
58,0,56630,Akshay Bhatia,-0.689,-2.755,4
59,0,22405,Justin Rose,-0.710,-2.839,4
60,0,39997,Corey Conners,-0.760,-3.041,4
61,0,39977,Max Homa,-0.774,-3.095,4
62,0,33948,Byeong Hun An,-0.805,-3.221,4
63,0,52955,Ludvig Åberg,-0.864,-3.458,4
64,0,46443,Brian Campbell,-0.877,-3.510,4
65,0,47483,Will Zalatoris,-0.986,-3.943,4
66,0,46414,Aaron Rai,-1.220,-4.879,4
67,0,39975,Michael Kim,-1.252,-5.007,4
68,0,33141,Keegan Bradley,-1.297,-5.190,4
69,0,25900,Lucas Glover,-1.457,-5.829,4
70,0,51634,Sahith Theegala,-1.613,-6.454,4
71,0,60067,Joe Highsmith,-1.616,-6.464,4
72,0,40098,Matt Fitzpatrick,-1.653,-6.614,4
