RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,51997,Andrew Novak,2.218,0.534,0.840,0.844,4
2,0,40026,Daniel Berger,2.184,0.727,1.072,0.386,4
3,0,33141,Keegan Bradley,1.915,0.535,0.558,0.822,4
4,0,27644,Brian Harman,1.851,0.528,0.289,1.034,4
5,0,35506,Mackenzie Hughes,1.677,0.275,0.603,0.799,4
6,0,40098,Matt Fitzpatrick,1.521,0.334,0.754,0.433,4
7,0,49960,Sepp Straka,1.451,0.107,2.224,-0.880,4
8,0,35450,Patrick Cantlay,1.442,0.991,0.654,-0.203,4
9,0,39971,Sungjae Im,1.417,0.866,-0.683,1.233,4
10,0,46046,Scottie Scheffler,1.305,0.671,1.366,-0.732,4
11,0,33448,Justin Thomas,1.240,-0.263,0.964,0.539,4
12,0,30911,Tommy Fleetwood,1.239,0.159,0.345,0.734,4
13,0,46414,Aaron Rai,1.088,0.275,-0.049,0.862,4
14,0,46443,Brian Campbell,0.995,-0.376,0.730,0.641,4
15,0,34098,Russell Henley,0.957,-0.304,0.920,0.341,4
16,0,30926,Chris Kirk,0.885,0.438,0.127,0.320,4
17,0,46442,Maverick McNealy,0.810,0.481,-0.015,0.344,4
18,0,37455,Si Woo Kim,0.710,0.501,0.062,0.147,4
19,0,48081,Xander Schauffele,0.696,-0.510,0.404,0.802,4
20,0,33948,Byeong Hun An,0.673,-0.007,0.049,0.631,4
21,0,47591,Eric Cole,0.636,0.040,0.767,-0.171,4
22,0,58168,Davis Thompson,0.589,0.929,-0.578,0.237,4
23,0,29420,Billy Horschel,0.573,0.020,0.251,0.302,4
24,0,33204,Shane Lowry,0.572,0.295,-0.461,0.738,4
25,0,34046,Jordan Spieth,0.550,0.329,0.455,-0.235,4
26,0,51287,Ryo Hisatsune,0.478,-0.411,0.351,0.539,4
27,0,46717,Viktor Hovland,0.457,0.023,0.425,0.009,4
28,0,59018,Ryan Gerard,0.415,0.239,-0.567,0.743,4
29,0,36799,Stephan Jaeger,0.373,-0.448,0.935,-0.115,4
30,0,39975,Michael Kim,0.370,0.180,0.405,-0.215,4
31,0,22405,Justin Rose,0.328,0.455,0.182,-0.310,4
32,0,25900,Lucas Glover,0.325,0.021,0.234,0.070,4
33,0,56630,Akshay Bhatia,0.307,-0.784,1.643,-0.552,4
34,0,57362,Austin Eckroat,0.300,0.142,0.486,-0.327,4
35,0,47504,Sam Burns,0.130,0.740,-0.475,-0.134,4
36,0,33653,Thomas Detry,0.129,0.245,-0.191,0.075,4
37,0,39997,Corey Conners,0.128,0.127,0.327,-0.326,4
38,0,47483,Will Zalatoris,0.104,-0.522,0.874,-0.249,4
39,0,52955,Ludvig Åberg,-0.018,0.125,-0.389,0.246,4
40,0,45157,Cam Davis,-0.082,-0.445,-0.390,0.753,4
41,0,34021,Bud Cauley,-0.114,-0.098,0.279,-0.296,4
42,0,52666,Sami Valimaki,-0.174,-0.548,0.796,-0.422,4
43,0,50525,Collin Morikawa,-0.249,0.347,0.578,-1.175,4
44,0,49771,J.T. Poston,-0.258,-0.391,-0.379,0.512,4
45,0,51634,Sahith Theegala,-0.269,-0.300,-0.237,0.269,4
46,0,47993,Denny McCarthy,-0.412,0.253,-0.176,-0.489,4
47,0,29725,Tony Finau,-0.421,0.613,-0.118,-0.916,4
48,0,51766,Wyndham Clark,-0.461,-0.672,0.413,-0.202,4
49,0,23108,Matt Kuchar,-0.526,-0.175,-0.710,0.360,4
50,0,39324,J.J. Spaun,-0.532,0.502,-0.876,-0.158,4
51,0,36699,Patrick Rodgers,-0.599,0.032,-0.737,0.106,4
52,0,54304,Karl Vilips,-0.654,-0.476,0.679,-0.857,4
53,0,55893,Sam Stevens,-0.657,-0.349,-0.274,-0.035,4
54,0,40250,Taylor Pendrith,-0.702,0.313,-0.021,-0.994,4
55,0,35532,Tom Hoge,-0.773,-0.519,0.016,-0.270,4
56,0,51977,Max Greyserman,-0.809,-0.692,-0.381,0.265,4
57,0,32102,Rickie Fowler,-1.073,-0.671,0.040,-0.442,4
58,0,37378,Min Woo Lee,-1.134,-0.040,-1.357,0.263,4
59,0,34099,Harris English,-1.163,-0.028,-0.502,-0.632,4
60,0,52215,Robert MacIntyre,-1.179,0.540,-0.507,-1.212,4
61,0,25493,Nick Taylor,-1.187,-0.206,-1.007,0.025,4
62,0,57366,Cameron Young,-1.214,-0.517,-1.283,0.586,4
63,0,28089,Jason Day,-1.228,0.142,-1.229,-0.140,4
64,0,39977,Max Homa,-1.359,-1.182,0.510,-0.686,4
65,0,24502,Adam Scott,-1.404,-0.294,-0.806,-0.304,4
66,0,48153,Matthieu Pavon,-1.470,0.725,-0.760,-1.434,4
67,0,33399,Adam Hadwin,-1.628,-0.035,-1.267,-0.327,4
68,0,31323,Gary Woodland,-1.701,-0.487,-0.330,-0.885,4
69,0,60067,Joe Highsmith,-1.766,-0.131,-1.136,-0.499,4
70,0,60004,Jacob Bridgeman,-2.035,0.234,-2.096,-0.173,4
71,0,45522,Christiaan Bezuidenhout,-2.483,-1.061,-1.303,-0.118,4
72,0,59866,Nick Dunlap,-3.316,-2.095,-1.316,0.096,4
