RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,39,25493,Nick Taylor,2.057,0.218,1.465,0.373,4
2,0,39324,J.J. Spaun,2.051,0.298,2.025,-0.272,4
3,44,51349,Nico Echavarria,1.713,0.347,0.552,0.813,4
4,0,12716,Charley Hoffman,1.622,0.950,1.068,-0.396,4
5,3,52215,Robert MacIntyre,1.520,0.732,0.547,0.240,4
6,0,31323,Gary Woodland,1.440,1.074,0.170,0.196,4
7,21,34098,Russell Henley,1.390,0.087,0.746,0.557,4
8,0,36801,Mark Hubbard,1.342,0.635,0.667,0.040,4
9,0,36824,Paul Peterson,1.288,0.100,1.052,0.136,4
10,0,29221,Webb Simpson,1.200,-0.349,0.245,1.304,4
11,0,46340,Alex Smalley,1.187,0.623,0.306,0.258,4
12,0,59143,Mac Meissner,1.110,-0.105,1.513,-0.298,4
13,39,27644,Brian Harman,1.090,0.352,0.181,0.557,4
14,0,24024,Zach Johnson,1.084,-0.165,1.005,0.244,4
15,-1,33141,Keegan Bradley,1.062,0.480,0.397,0.184,4
16,0,34021,Bud Cauley,1.037,0.845,-0.129,0.320,4
17,0,55893,Sam Stevens,1.012,-0.063,1.310,-0.235,4
18,0,25900,Lucas Glover,1.004,0.467,0.847,-0.309,4
19,31,47591,Eric Cole,0.883,-0.183,1.443,-0.377,4
20,0,40006,Erik van Rooyen,0.849,0.730,0.089,0.030,4
21,16,36799,Stephan Jaeger,0.848,-0.878,1.163,0.564,4
22,0,49120,Kensei Hirata,0.820,0.390,0.493,-0.063,4
23,0,23108,Matt Kuchar,0.786,0.293,0.457,0.036,4
24,11,51634,Sahith Theegala,0.780,0.146,0.349,0.284,4
25,0,60019,Jackson Suber,0.771,-0.649,1.515,-0.095,4
26,0,40115,Adam Svensson,0.720,-0.426,0.511,0.635,4
27,0,34256,Andrew Putnam,0.704,-0.244,0.733,0.215,4
28,0,28775,Nate Lashley,0.681,0.292,0.250,0.139,4
29,0,54591,Ben Griffin,0.669,0.337,0.265,0.066,4
30,0,39335,Kevin Roy,0.668,0.684,0.302,-0.317,4
31,0,54576,Patrick Fishburn,0.666,-0.018,-0.469,1.152,4
32,0,37275,Sam Ryder,0.664,-0.365,0.546,0.483,4
33,-20,49960,Sepp Straka,0.651,0.040,1.121,-0.510,4
34,0,36884,Ben Kohles,0.637,0.042,0.777,-0.181,4
35,-28,40250,Taylor Pendrith,0.627,0.935,-0.206,-0.103,4
36,-35,32839,Hideki Matsuyama,0.586,0.144,0.294,0.148,4
37,0,47347,Adam Schenk,0.564,0.498,0.137,-0.070,4
38,0,39546,Keith Mitchell,0.515,0.971,-0.690,0.234,4
39,0,48117,Kurt Kitayama,0.471,0.780,-0.318,0.010,4
40,0,51287,Ryo Hisatsune,0.421,-0.230,-0.202,0.853,4
41,0,60882,Thomas Rosenmueller,0.356,0.188,0.097,0.072,4
42,0,34587,Chan Kim,0.348,-0.260,0.980,-0.372,4
43,0,29908,C.T. Pan,0.284,0.051,-0.236,0.469,4
44,0,36326,David Lipsky,0.271,-0.437,0.957,-0.249,4
45,0,33399,Adam Hadwin,0.265,-0.437,0.184,0.519,4
46,0,50582,Jeremy Paul,0.253,0.719,-0.530,0.064,4
47,0,51696,Rico Hoey,0.224,0.527,-0.107,-0.196,4
48,0,52375,Doug Ghim,0.178,-0.180,-0.453,0.811,4
49,-5,29535,Brice Garnett,0.172,0.118,0.281,-0.226,4
50,-32,35532,Tom Hoge,0.169,-0.956,0.924,0.202,4
51,0,54628,Lee Hodges,0.166,0.684,-0.031,-0.487,4
52,-33,33653,Thomas Detry,0.160,0.421,0.141,-0.402,4
53,0,59018,Ryan Gerard,0.145,-0.086,0.914,-0.683,4
54,0,55789,Taylor Montgomery,0.121,0.179,0.705,-0.763,4
55,-50,57975,Harry Hall,0.120,-0.042,-0.223,0.385,4
56,0,57586,Jesper Svensson,0.116,0.212,-1.020,0.925,4
57,-26,47993,Denny McCarthy,0.059,-0.883,1.084,-0.142,4
58,-5,59141,Matt McCarty,0.010,-0.149,0.313,-0.154,4
58,0,27214,Kevin Streelman,0.010,0.087,0.062,-0.139,4
60,0,40162,Justin Lower,-0.042,-0.112,0.844,-0.774,4
61,0,27129,Luke List,-0.057,0.185,-0.191,-0.051,4
62,0,55182,Tom Kim,-0.079,-0.948,1.292,-0.423,4
63,0,30163,Henrik Norlander,-0.090,0.796,-0.608,-0.278,4
64,-13,59866,Nick Dunlap,-0.234,-1.118,0.461,0.423,4
65,0,33413,Ben Martin,-0.316,0.311,0.117,-0.744,4
66,0,49590,Frankie Capan III,-0.366,-0.264,-0.789,0.688,4
67,-61,46442,Maverick McNealy,-0.460,0.331,-0.612,-0.179,4
68,0,51890,Greyson Sigg,-0.712,0.196,-0.398,-0.510,4
69,0,39859,Cristobal Del Solar,-0.734,-0.086,-0.074,-0.573,4
70,0,32448,James Hahn,-0.766,0.115,-0.887,0.006,4
71,0,51690,Taylor Dickson,-0.832,-0.423,-0.621,0.212,4
72,0,51070,Vincent Norrman,-0.941,-0.470,-0.086,-0.384,4
73,0,27649,Brandt Snedeker,-0.985,0.078,-0.605,-0.458,4
74,0,22371,Aaron Baddeley,-1.100,-1.864,0.795,-0.031,4
75,0,39327,Ben Silverman,-1.190,0.356,-1.722,0.176,4
76,0,51894,Vince Whaley,-1.277,-0.221,-1.161,0.106,4
