RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,52955,Ludvig Åberg,2.500,0.689,1.383,0.429,4
2,0,29725,Tony Finau,2.188,-0.016,0.774,1.429,4
3,33,46046,Scottie Scheffler,1.881,0.108,0.584,1.189,4
4,0,28237,Rory McIlroy,1.794,1.149,0.194,0.451,4
5,0,33448,Justin Thomas,1.623,-0.205,2.009,-0.182,4
6,56,47420,Jake Knapp,1.428,0.591,0.671,0.166,4
7,0,30911,Tommy Fleetwood,1.424,0.147,1.285,-0.007,4
8,11,45242,Kevin Yu,1.419,0.378,0.261,0.780,4
9,0,33141,Keegan Bradley,1.379,0.477,1.011,-0.110,4
10,20,47993,Denny McCarthy,1.327,-0.233,0.863,0.697,4
11,0,47483,Will Zalatoris,1.267,-0.098,0.312,1.053,4
12,32,25493,Nick Taylor,1.258,-0.004,1.447,-0.185,4
13,28,56630,Akshay Bhatia,1.125,0.257,1.075,-0.207,4
14,-3,58168,Davis Thompson,1.085,0.388,0.238,0.459,4
15,0,37455,Si Woo Kim,1.067,-0.512,0.730,0.849,4
16,0,36799,Stephan Jaeger,1.042,0.192,0.717,0.133,4
17,0,36699,Patrick Rodgers,0.931,0.911,-0.625,0.645,4
18,0,24502,Adam Scott,0.862,0.252,0.829,-0.220,4
19,-18,40026,Daniel Berger,0.792,0.053,0.600,0.139,4
20,-18,39975,Michael Kim,0.789,0.198,0.535,0.056,4
21,-4,28252,Seamus Power,0.775,0.440,0.342,-0.007,4
22,21,46442,Maverick McNealy,0.734,-0.086,1.638,-0.818,4
23,0,35450,Patrick Cantlay,0.553,0.359,0.881,-0.687,4
24,0,39324,J.J. Spaun,0.397,-0.735,1.190,-0.058,4
25,0,33204,Shane Lowry,0.284,0.015,-0.432,0.701,4
26,29,55182,Tom Kim,0.260,0.112,0.620,-0.471,4
27,12,47504,Sam Burns,0.216,0.565,-0.494,0.145,4
28,-19,49771,J.T. Poston,0.205,-0.231,0.514,-0.078,4
29,43,48153,Matthieu Pavon,0.202,0.121,-0.521,0.602,4
30,0,51997,Andrew Novak,0.191,0.010,0.144,0.038,4
31,0,50525,Collin Morikawa,0.148,-0.094,0.285,-0.042,4
32,0,54591,Ben Griffin,0.088,0.090,0.174,-0.176,4
33,32,55893,Sam Stevens,-0.076,-0.080,0.196,-0.192,4
34,0,51349,Nico Echavarria,-0.100,-0.066,0.345,-0.378,4
35,-25,32839,Hideki Matsuyama,-0.104,-0.044,-0.301,0.242,4
36,0,40250,Taylor Pendrith,-0.142,1.051,-0.495,-0.698,4
37,0,46414,Aaron Rai,-0.172,-0.103,0.262,-0.331,4
38,32,39997,Corey Conners,-0.201,0.231,-0.677,0.245,4
39,11,51634,Sahith Theegala,-0.224,-0.455,-0.537,0.768,4
40,17,59866,Nick Dunlap,-0.229,-0.622,0.422,-0.028,4
41,-18,27644,Brian Harman,-0.248,-0.631,0.427,-0.044,4
42,0,25900,Lucas Glover,-0.422,0.000,-1.051,0.630,4
43,0,34098,Russell Henley,-0.497,-0.807,-0.048,0.358,4
44,0,34099,Harris English,-0.501,-0.204,0.280,-0.577,4
45,0,32102,Rickie Fowler,-0.722,0.467,-0.664,-0.525,4
46,-24,51766,Wyndham Clark,-0.850,-0.229,-0.387,-0.233,4
47,0,40098,Matt Fitzpatrick,-1.162,0.394,-0.072,-1.483,4
48,-14,51977,Max Greyserman,-1.188,0.410,-0.957,-0.641,4
49,0,28089,Jason Day,-1.212,-0.889,-0.469,0.146,4
50,-25,45522,Christiaan Bezuidenhout,-1.215,-0.110,-1.559,0.454,4
51,-47,37378,Min Woo Lee,-1.290,0.154,-1.357,-0.087,4
52,-19,35506,Mackenzie Hughes,-1.470,-1.363,-0.445,0.339,4
53,0,35532,Tom Hoge,-1.803,-0.857,0.161,-1.107,4
54,-51,33653,Thomas Detry,-1.917,0.095,-1.898,-0.113,4
