RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,32839,Hideki Matsuyama,3.138,0.507,2.290,0.340,4
2,0,50525,Collin Morikawa,2.632,0.764,1.464,0.404,4
3,0,27064,Jhonattan Vegas,2.211,0.132,2.523,-0.445,4
4,0,39971,Sungjae Im,1.796,1.237,0.061,0.498,4
5,0,57975,Harry Hall,1.564,0.260,0.863,0.441,4
6,0,46442,Maverick McNealy,1.482,0.925,1.177,-0.620,4
7,0,40250,Taylor Pendrith,1.410,0.529,0.721,0.160,4
8,0,52215,Robert MacIntyre,1.401,0.237,1.081,0.083,4
9,0,52955,Ludvig Åberg,1.087,0.330,0.629,0.128,4
10,0,46414,Aaron Rai,1.012,0.518,0.288,0.207,4
11,0,39977,Max Homa,0.996,0.520,0.123,0.353,4
12,0,24502,Adam Scott,0.987,-0.314,0.949,0.353,4
13,0,49960,Sepp Straka,0.960,0.306,0.909,-0.255,4
14,0,33141,Keegan Bradley,0.927,0.236,0.594,0.097,4
15,0,47504,Sam Burns,0.756,0.955,-0.435,0.236,4
16,0,45157,Cam Davis,0.752,0.011,0.610,0.130,4
17,0,51766,Wyndham Clark,0.739,0.921,-0.158,-0.025,4
18,0,35532,Tom Hoge,0.707,-1.107,1.388,0.427,4
19,0,33653,Thomas Detry,0.693,1.173,-0.589,0.109,4
20,0,48081,Xander Schauffele,0.662,-0.078,0.975,-0.235,4
21,0,51977,Max Greyserman,0.498,0.562,-0.042,-0.022,4
22,0,35450,Patrick Cantlay,0.487,0.394,-0.590,0.683,4
23,0,45242,Kevin Yu,0.420,1.428,-0.889,-0.118,4
24,0,33948,Byeong Hun An,0.291,0.731,-0.863,0.424,4
25,0,32757,Patton Kizzire,0.179,-0.166,-0.145,0.490,4
26,0,33448,Justin Thomas,0.171,-0.844,1.059,-0.044,4
27,0,47483,Will Zalatoris,0.115,0.206,-0.294,0.202,4
28,0,34098,Russell Henley,0.086,-0.267,0.461,-0.108,4
29,0,40098,Matt Fitzpatrick,0.072,0.750,-0.527,-0.151,4
30,0,28089,Jason Day,0.024,-0.397,0.351,0.070,4
31,0,47993,Denny McCarthy,-0.004,0.103,-0.225,0.119,4
32,0,58168,Davis Thompson,-0.036,0.513,-0.489,-0.060,4
33,0,57366,Cameron Young,-0.052,0.339,-1.222,0.831,4
34,0,29725,Tony Finau,-0.067,-0.108,0.043,-0.001,4
35,0,51634,Sahith Theegala,-0.087,0.516,-0.593,-0.010,4
36,0,39997,Corey Conners,-0.108,-0.080,0.363,-0.391,4
37,0,36799,Stephan Jaeger,-0.126,-0.453,0.090,0.237,4
38,0,49771,J.T. Poston,-0.144,0.143,-0.558,0.270,4
39,0,57362,Austin Eckroat,-0.157,0.103,0.707,-0.967,4
40,0,25493,Nick Taylor,-0.207,0.095,0.269,-0.571,4
41,0,37455,Si Woo Kim,-0.219,0.300,-0.144,-0.375,4
42,0,46717,Viktor Hovland,-0.345,0.227,-0.255,-0.317,4
43,0,30926,Chris Kirk,-0.458,0.327,-0.788,0.003,4
44,0,29535,Brice Garnett,-0.571,-0.279,-0.323,0.031,4
45,0,33399,Adam Hadwin,-0.578,0.398,-0.637,-0.338,4
46,0,29420,Billy Horschel,-0.587,-0.122,-0.462,-0.004,4
47,0,51349,Nico Echavarria,-0.889,-0.604,-0.363,0.078,4
48,0,56630,Akshay Bhatia,-1.039,0.214,-0.035,-1.217,4
49,0,59095,Chris Gotterup,-1.060,-0.688,0.151,-0.522,4
50,0,47591,Eric Cole,-1.186,-0.074,-1.112,0.000,4
51,0,59866,Nick Dunlap,-1.248,-0.531,-0.642,-0.075,4
52,0,27644,Brian Harman,-1.268,-0.818,-0.401,-0.050,4
53,0,59141,Matt McCarty,-1.458,0.061,-1.396,-0.124,4
54,0,45522,Christiaan Bezuidenhout,-1.618,-1.644,-0.255,0.281,4
55,0,48153,Matthieu Pavon,-1.650,0.052,-1.198,-0.504,4
56,0,47420,Jake Knapp,-2.441,-2.089,-0.326,-0.026,4
57,0,34466,Peter Malnati,-2.731,-1.559,-1.620,0.448,4
58,0,32070,Rafael Campos,-3.057,-1.842,-0.918,-0.296,4
