TOURNAMENT_NAME,ROUND_DATE,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,COURSE_AVERAGE_SCORE,SCORE,TOTAL_SCORE
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Hideki Matsuyama,70,7243,68.95,65,263
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Hideki Matsuyama,70,7243,68.95,64,263
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Hideki Matsuyama,70,7243,68.95,64,263
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Hideki Matsuyama,70,7243,68.95,70,263
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Xander Schauffele,70,7243,68.95,66,265
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Xander Schauffele,70,7243,68.95,69,265
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Xander Schauffele,70,7243,68.95,67,265
2024 FedEx St. Jude Championship,2024-08-18,86.0,83.4,0.0,10.4,313,TPC Southwind,"Memphis, TN",Xander Schauffele,70,7243,68.95,63,265
2024 FedEx St. Jude Championship,2024-08-15,86.0,81.5,0.031,6.5,155,TPC Southwind,"Memphis, TN",Viktor Hovland,70,7243,68.95,70,265
2024 FedEx St. Jude Championship,2024-08-16,86.0,85.9,0.0,10.4,203,TPC Southwind,"Memphis, TN",Viktor Hovland,70,7243,68.95,63,265
2024 FedEx St. Jude Championship,2024-08-17,86.0,83.4,0.354,10.0,264,TPC Southwind,"Memphis, TN",Viktor Hovland,70,7243,68.95,66,265
