RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,46046,Scottie Scheffler,73.16%,935,1278,-0.37
2,0,27064,Jhonattan Vegas,72.94%,709,972,-0.30
3,0,54576,Patrick Fishburn,72.34%,625,864,-0.27
4,0,32757,Patton Kizzire,72.10%,597,828,-0.30
5,0,46414,Aaron Rai,71.58%,1108,1548,-0.28
6,0,35310,Lanto Griffin,70.73%,662,936,-0.27
7,0,30163,Henrik Norlander,70.71%,560,792,-0.28
8,0,39546,Keith Mitchell,70.61%,877,1242,-0.31
9,0,45242,Kevin Yu,70.57%,724,1026,-0.25
10,0,52375,Doug Ghim,70.51%,825,1170,-0.27
11,0,27139,David Skinns,70.50%,736,1044,-0.28
12,0,39997,Corey Conners,70.31%,1101,1566,-0.30
13,0,34076,Joel Dahmen,70.26%,860,1224,-0.25
14,0,51997,Andrew Novak,70.14%,808,1152,-0.31
15,0,34587,Chan Kim,69.95%,831,1188,-0.29
16,0,51890,Greyson Sigg,69.91%,755,1080,-0.21
17,0,47988,Nick Hardy,69.81%,867,1242,-0.27
17,0,48887,Matt Wallace,69.81%,754,1080,-0.28
19,0,39324,J.J. Spaun,69.67%,765,1098,-0.29
20,0,51696,Rico Hoey,69.63%,752,1080,-0.31
20,0,48081,Xander Schauffele,69.63%,940,1350,-0.34
22,0,39327,Ben Silverman,69.44%,875,1260,-0.28
23,0,40006,Erik van Rooyen,69.32%,836,1206,-0.31
24,0,51287,Ryo Hisatsune,69.28%,823,1188,-0.27
25,0,36871,Matt NeSmith,69.25%,723,1044,-0.24
26,0,47663,Kevin Dougherty,69.10%,597,864,-0.26
27,0,29725,Tony Finau,68.99%,981,1422,-0.30
28,0,40162,Justin Lower,68.96%,931,1350,-0.28
29,0,32333,Kevin Tway,68.94%,546,792,-0.29
30,0,36699,Patrick Rodgers,68.87%,967,1404,-0.29
31,0,55893,Sam Stevens,68.84%,917,1332,-0.28
32,0,46340,Alex Smalley,68.80%,644,936,-0.27
33,0,51349,Nico Echavarria,68.75%,792,1152,-0.29
34,0,26476,Chez Reavie,68.70%,643,936,-0.25
