RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,46046,Scottie Scheffler,73.16%,935,1278,-0.37
2,0,27064,Jhonattan Vegas,72.78%,655,900,-0.30
3,1,32757,Patton Kizzire,71.83%,543,756,-0.29
4,1,54576,Patrick Fishburn,71.59%,567,792,-0.27
5,-2,46414,Aaron Rai,71.58%,1108,1548,-0.28
6,0,35310,Lanto Griffin,71.18%,615,864,-0.27
7,1,39546,Keith Mitchell,70.68%,827,1170,-0.31
8,1,34076,Joel Dahmen,70.57%,813,1152,-0.25
8,1,45242,Kevin Yu,70.57%,724,1026,-0.25
10,1,52375,Doug Ghim,70.40%,773,1098,-0.27
11,1,39997,Corey Conners,70.21%,1049,1494,-0.30
12,1,27139,David Skinns,70.16%,682,972,-0.28
13,1,51997,Andrew Novak,70.14%,808,1152,-0.31
14,2,48887,Matt Wallace,69.81%,754,1080,-0.28
15,0,48081,Xander Schauffele,69.63%,940,1350,-0.34
16,1,36871,Matt NeSmith,69.54%,701,1008,-0.24
17,1,34587,Chan Kim,69.53%,776,1116,-0.30
18,1,39324,J.J. Spaun,69.49%,713,1026,-0.29
19,1,51890,Greyson Sigg,69.44%,700,1008,-0.20
20,1,47988,Nick Hardy,69.40%,812,1170,-0.27
21,1,40006,Erik van Rooyen,69.32%,836,1206,-0.31
22,1,51287,Ryo Hisatsune,69.28%,823,1188,-0.27
23,1,51696,Rico Hoey,69.25%,698,1008,-0.30
24,1,55893,Sam Stevens,69.05%,870,1260,-0.28
25,3,29725,Tony Finau,68.99%,981,1422,-0.30
26,0,40162,Justin Lower,68.86%,880,1278,-0.27
26,0,39327,Ben Silverman,68.86%,818,1188,-0.28
28,1,51349,Nico Echavarria,68.73%,767,1116,-0.29
29,1,47663,Kevin Dougherty,68.69%,544,792,-0.27
29,1,36699,Patrick Rodgers,68.69%,915,1332,-0.29
31,1,46340,Alex Smalley,68.67%,618,900,-0.28
32,2,40026,Daniel Berger,68.56%,617,900,-0.26
33,2,26596,Ryan Moore,68.55%,691,1008,-0.24
34,2,26476,Chez Reavie,68.52%,592,864,-0.25
35,2,39975,Michael Kim,68.36%,726,1062,-0.31
36,2,47679,Victor Perez,68.30%,836,1224,-0.28
37,2,27349,Alex Noren,68.28%,848,1242,-0.27
38,2,51070,Vincent Norrman,68.25%,602,882,-0.19
39,2,48319,Tom Whitney,68.24%,565,828,-0.24
40,2,52513,Carson Young,68.20%,712,1044,-0.28
41,2,54591,Ben Griffin,68.15%,1055,1548,-0.29
42,2,34255,Joseph Bramlett,68.10%,711,1044,-0.27
43,2,58168,Davis Thompson,68.02%,1004,1476,-0.30
44,2,48867,Matti Schmid,67.96%,685,1008,-0.29
45,3,45609,Tyler Duncan,67.89%,611,900,-0.23
45,3,50484,Hayden Springer,67.89%,611,900,-0.30
47,3,46717,Viktor Hovland,67.84%,696,1026,-0.33
48,2,59143,Mac Meissner,67.82%,708,1044,-0.31
49,3,36884,Ben Kohles,67.76%,744,1098,-0.26
50,-3,52955,Ludvig Åberg,67.68%,865,1278,-0.33
51,7,51634,Sahith Theegala,67.65%,1035,1530,-0.31
52,1,34256,Andrew Putnam,67.64%,767,1134,-0.27
53,8,33948,Byeong Hun An,67.63%,913,1350,-0.32
54,1,60004,Jacob Bridgeman,67.49%,656,972,-0.32
55,-1,49960,Sepp Straka,67.48%,911,1350,-0.27
56,1,35461,Beau Hossler,67.37%,764,1134,-0.30
57,1,36326,David Lipsky,67.35%,594,882,-0.24
58,2,51977,Max Greyserman,67.31%,836,1242,-0.32
59,10,30911,Tommy Fleetwood,67.29%,860,1278,-0.28
60,2,37275,Sam Ryder,67.27%,666,990,-0.32
61,3,28775,Nate Lashley,67.25%,581,864,-0.26
62,3,54783,Dylan Wu,67.22%,726,1080,-0.30
63,3,33486,Roger Sloan,67.15%,556,828,-0.27
64,3,27936,Martin Laird,67.13%,580,864,-0.25
65,3,28252,Seamus Power,67.10%,930,1386,-0.28
66,-10,33141,Keegan Bradley,67.09%,954,1422,-0.30
67,8,33204,Shane Lowry,66.98%,844,1260,-0.30
68,2,52372,Cameron Champ,66.93%,506,756,-0.28
69,3,29908,C.T. Pan,66.91%,554,828,-0.26
70,3,59095,Chris Gotterup,66.85%,710,1062,-0.28
71,-9,35532,Tom Hoge,66.79%,1046,1566,-0.33
71,3,24024,Zach Johnson,66.79%,529,792,-0.25
73,2,59836,Pierceson Coody,66.67%,696,1044,-0.32
74,10,32839,Hideki Matsuyama,66.59%,839,1260,-0.29
75,3,60067,Joe Highsmith,66.55%,551,828,-0.30
76,3,48117,Kurt Kitayama,66.50%,802,1206,-0.29
77,4,27129,Luke List,66.47%,682,1026,-0.29
78,-3,29420,Billy Horschel,66.45%,909,1368,-0.30
79,3,36801,Mark Hubbard,66.44%,897,1350,-0.30
79,3,27214,Kevin Streelman,66.44%,586,882,-0.28
81,4,32367,Jorge Campillo,66.35%,621,936,-0.29
81,-2,24502,Adam Scott,66.35%,848,1278,-0.31
83,3,40115,Adam Svensson,66.33%,991,1494,-0.26
84,4,25900,Lucas Glover,66.26%,823,1242,-0.28
85,6,40250,Taylor Pendrith,66.20%,858,1296,-0.34
86,4,57366,Cameron Young,66.19%,965,1458,-0.30
87,4,52374,Brandon Wu,66.18%,679,1026,-0.28
88,5,34563,Chesson Hadley,66.09%,571,864,-0.28
89,5,32791,K.H. Lee,66.05%,642,972,-0.29
90,5,46113,Ryan McCormick,66.04%,523,792,-0.29
91,5,12716,Charley Hoffman,66.03%,618,936,-0.31
