PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,BIRDIE_TO_BOGEY_RATIO,AVG_TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCORING_AVERAGE,SCRAMBLING_PERCENTAGE,AVG_THREE_PUTTS_PER_ROUND,AVG_PUTTS_PER_ROUND
46046,Scottie Scheffler,2024 Presidents Cup,73.16%,2.83,303.8,66.90%,68.01,66.18%,0.34,28.32
27064,Jhonattan Vegas,2024 Presidents Cup,72.94%,1.71,312.1,60.86%,69.33,55.89%,0.56,29.76
54576,Patrick Fishburn,2024 Presidents Cup,72.34%,1.78,308.2,60.51%,69.75,62.76%,0.48,29.83
32757,Patton Kizzire,2024 Presidents Cup,72.10%,1.76,300.9,61.72%,69.71,60.61%,0.63,29.26
46414,Aaron Rai,2024 Presidents Cup,71.58%,1.81,293.8,72.02%,69.29,63.18%,0.38,29.36
35310,Lanto Griffin,2024 Presidents Cup,70.73%,1.44,305.3,57.92%,70.13,54.74%,0.73,29.94
30163,Henrik Norlander,2024 Presidents Cup,70.71%,1.79,293.2,65.90%,69.52,66.38%,0.5,29.02
39546,Keith Mitchell,2024 Presidents Cup,70.61%,1.85,311.1,58.70%,69.04,60.82%,0.62,29.38
45242,Kevin Yu,2024 Presidents Cup,70.57%,1.55,309.4,58.44%,69.89,58.61%,0.7,30.04
52375,Doug Ghim,2024 Presidents Cup,70.51%,1.67,294.4,67.37%,69.6,61.74%,0.4,29.6
27139,David Skinns,2024 Presidents Cup,70.50%,1.54,303.6,54.11%,69.93,57.14%,0.41,29.41
39997,Corey Conners,2024 Presidents Cup,70.31%,1.56,301.2,64.29%,69.78,56.56%,0.47,29.32
34076,Joel Dahmen,2024 Presidents Cup,70.26%,1.41,293.9,64.59%,70.25,58.79%,0.59,29.72
51997,Andrew Novak,2024 Presidents Cup,70.14%,1.71,299.5,58.41%,69.34,61.92%,0.31,29.0
34587,Chan Kim,2024 Presidents Cup,69.95%,1.9,299.4,63.82%,69.34,64.99%,0.71,29.12
51890,Greyson Sigg,2024 Presidents Cup,69.91%,1.46,293.0,63.65%,70.14,63.38%,0.6,29.97
47988,Nick Hardy,2024 Presidents Cup,69.81%,1.37,303.2,56.02%,70.49,56.80%,0.62,29.93
48887,Matt Wallace,2024 Presidents Cup,69.81%,1.56,299.3,54.93%,69.56,61.96%,0.68,29.28
39324,J.J. Spaun,2024 Presidents Cup,69.67%,1.55,298.5,58.51%,69.97,58.56%,0.41,29.25
51696,Rico Hoey,2024 Presidents Cup,69.63%,1.58,310.2,60.34%,69.89,59.15%,0.67,29.33
48081,Xander Schauffele,2024 Presidents Cup,69.63%,2.64,308.6,61.57%,68.51,70.49%,0.16,28.23
39327,Ben Silverman,2024 Presidents Cup,69.44%,1.84,293.1,63.51%,69.38,65.97%,0.36,28.86
40006,Erik van Rooyen,2024 Presidents Cup,69.32%,1.61,304.2,58.14%,69.66,57.03%,0.54,29.07
51287,Ryo Hisatsune,2024 Presidents Cup,69.28%,1.51,295.7,63.13%,69.97,57.53%,0.5,29.33
36871,Matt NeSmith,2024 Presidents Cup,69.25%,1.32,297.7,61.54%,70.4,57.94%,0.48,30.02
47663,Kevin Dougherty,2024 Presidents Cup,69.10%,1.35,317.0,56.52%,70.57,57.30%,0.56,29.96
29725,Tony Finau,2024 Presidents Cup,68.99%,1.64,308.4,58.36%,69.72,58.05%,0.51,29.01
40162,Justin Lower,2024 Presidents Cup,68.96%,1.53,295.6,60.17%,69.84,57.52%,0.52,29.04
32333,Kevin Tway,2024 Presidents Cup,68.94%,1.52,307.2,57.65%,69.7,60.57%,0.41,29.11
36699,Patrick Rodgers,2024 Presidents Cup,68.87%,1.55,306.4,56.17%,69.99,59.73%,0.4,29.13
55893,Sam Stevens,2024 Presidents Cup,68.84%,1.67,307.1,57.05%,69.67,63.37%,0.46,28.89
46340,Alex Smalley,2024 Presidents Cup,68.80%,1.41,304.5,59.28%,70.46,55.48%,0.56,29.67
51349,Nico Echavarria,2024 Presidents Cup,68.75%,1.47,294.4,63.90%,70.1,56.94%,0.48,29.22
26476,Chez Reavie,2024 Presidents Cup,68.70%,1.47,286.1,66.53%,70.3,60.07%,0.42,29.4
34256,Andrew Putnam,2024 Presidents Cup,68.66%,1.64,281.5,65.88%,70.08,63.23%,0.39,28.93
32070,Rafael Campos,2024 Presidents Cup,68.60%,1.3,305.4,58.18%,70.54,56.54%,0.76,29.48
48319,Tom Whitney,2024 Presidents Cup,68.44%,1.2,296.1,62.43%,71.09,54.23%,0.72,30.06
34255,Joseph Bramlett,2024 Presidents Cup,68.43%,1.41,309.3,53.26%,70.11,60.70%,0.7,29.62
52513,Carson Young,2024 Presidents Cup,68.43%,1.46,296.2,69.28%,69.91,57.18%,0.65,29.35
39975,Michael Kim,2024 Presidents Cup,68.40%,1.6,302.6,54.27%,69.86,57.06%,0.48,28.8
40026,Daniel Berger,2024 Presidents Cup,68.38%,1.29,296.3,69.11%,70.23,54.39%,0.52,29.94
47679,Victor Perez,2024 Presidents Cup,68.30%,1.45,301.6,60.45%,69.84,59.79%,0.24,29.26
27349,Alex Noren,2024 Presidents Cup,68.28%,1.78,295.5,63.78%,69.41,67.26%,0.43,28.75
51070,Vincent Norrman,2024 Presidents Cup,68.25%,0.89,311.0,58.27%,71.73,51.79%,0.76,30.84
48867,Matti Schmid,2024 Presidents Cup,68.24%,1.41,306.1,58.45%,70.29,58.02%,0.63,29.38
36884,Ben Kohles,2024 Presidents Cup,68.21%,1.31,288.4,70.54%,70.46,56.99%,0.57,29.4
54591,Ben Griffin,2024 Presidents Cup,68.15%,1.74,294.7,56.88%,69.31,63.89%,0.43,28.67
26596,Ryan Moore,2024 Presidents Cup,68.10%,1.31,288.1,69.00%,70.46,62.76%,0.6,29.4
59143,Mac Meissner,2024 Presidents Cup,68.06%,1.6,300.9,61.42%,69.63,61.16%,0.45,29.1
58168,Davis Thompson,2024 Presidents Cup,68.02%,1.64,305.8,60.85%,69.44,59.96%,0.43,28.77
51634,Sahith Theegala,2024 Presidents Cup,67.98%,1.6,306.1,59.66%,69.81,60.82%,0.49,28.78
46717,Viktor Hovland,2024 Presidents Cup,67.84%,1.54,305.1,60.65%,70.04,55.15%,0.39,28.58
50484,Hayden Springer,2024 Presidents Cup,67.84%,1.54,312.2,57.52%,70.02,59.80%,0.62,29.02
36326,David Lipsky,2024 Presidents Cup,67.71%,1.2,288.5,60.46%,70.89,55.19%,0.66,29.64
35461,Beau Hossler,2024 Presidents Cup,67.69%,1.62,299.3,56.19%,69.78,61.11%,0.42,28.78
52955,Ludvig Åberg,2024 Presidents Cup,67.68%,1.79,310.5,62.68%,69.45,64.16%,0.41,28.58
33948,Byeong Hun An,2024 Presidents Cup,67.63%,1.52,317.1,53.33%,70.01,58.35%,0.51,28.68
59836,Pierceson Coody,2024 Presidents Cup,67.56%,1.5,310.4,56.26%,70.14,56.08%,0.37,28.82
33486,Roger Sloan,2024 Presidents Cup,67.56%,1.47,290.7,62.75%,70.23,64.38%,0.54,28.96
45609,Tyler Duncan,2024 Presidents Cup,67.52%,1.31,295.3,65.88%,70.61,60.86%,0.38,29.73
49960,Sepp Straka,2024 Presidents Cup,67.48%,1.38,294.9,70.10%,70.49,59.45%,0.36,28.93
54783,Dylan Wu,2024 Presidents Cup,67.47%,1.47,294.2,58.53%,70.03,60.06%,0.47,28.81
60004,Jacob Bridgeman,2024 Presidents Cup,67.36%,1.73,298.3,57.47%,69.53,62.01%,0.45,28.64
37275,Sam Ryder,2024 Presidents Cup,67.35%,1.46,291.4,63.04%,70.33,55.52%,0.58,29.07
51977,Max Greyserman,2024 Presidents Cup,67.31%,1.66,312.2,58.03%,69.42,62.07%,0.45,28.55
30911,Tommy Fleetwood,2024 Presidents Cup,67.29%,1.61,300.4,69.22%,69.92,66.03%,0.37,28.93
35532,Tom Hoge,2024 Presidents Cup,67.28%,1.61,296.2,60.06%,69.78,58.96%,0.44,28.58
29908,C.T. Pan,2024 Presidents Cup,67.14%,1.4,293.3,63.30%,70.26,61.51%,0.4,29.21
60067,Joe Highsmith,2024 Presidents Cup,67.11%,1.46,303.8,58.09%,70.35,55.07%,0.54,29.3
28252,Seamus Power,2024 Presidents Cup,67.10%,1.47,298.7,63.59%,69.96,63.60%,0.45,28.95
33141,Keegan Bradley,2024 Presidents Cup,67.09%,1.39,305.5,62.55%,70.29,56.41%,0.37,28.99
52372,Cameron Champ,2024 Presidents Cup,67.05%,1.3,321.0,57.28%,70.32,57.85%,0.48,29.48
28775,Nate Lashley,2024 Presidents Cup,67.00%,1.43,291.3,66.14%,70.19,63.30%,0.64,29.02
33204,Shane Lowry,2024 Presidents Cup,66.98%,1.44,300.4,66.02%,70.03,58.65%,0.46,29.01
27936,Martin Laird,2024 Presidents Cup,66.88%,1.46,289.4,58.98%,70.38,62.26%,0.5,28.9
24024,Zach Johnson,2024 Presidents Cup,66.79%,1.47,284.3,65.96%,69.88,61.22%,0.55,28.98
27214,Kevin Streelman,2024 Presidents Cup,66.78%,1.32,294.8,60.28%,70.52,55.74%,0.43,29.35
25900,Lucas Glover,2024 Presidents Cup,66.59%,1.32,287.6,67.94%,70.49,56.26%,0.4,28.96
