RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,48081,Xander Schauffele,70.49%,289,410
2,0,32839,Hideki Matsuyama,67.93%,286,421
3,0,22371,Aaron Baddeley,67.26%,265,394
3,0,27349,Alex Noren,67.26%,265,394
5,0,30163,Henrik Norlander,66.38%,154,232
6,0,46046,Scottie Scheffler,66.18%,227,343
7,0,30911,Tommy Fleetwood,66.03%,276,418
8,0,39327,Ben Silverman,65.97%,254,385
9,0,47993,Denny McCarthy,65.84%,372,565
10,0,50525,Collin Morikawa,65.68%,310,472
11,0,35506,Mackenzie Hughes,65.30%,367,562
12,0,34098,Russell Henley,65.00%,299,460
13,0,34587,Chan Kim,64.99%,232,357
14,0,45522,Christiaan Bezuidenhout,64.93%,337,519
15,0,52215,Robert MacIntyre,64.85%,286,441
16,0,46442,Maverick McNealy,64.59%,290,449
17,0,33486,Roger Sloan,64.38%,188,292
18,0,52955,Ludvig Åberg,64.16%,265,413
19,0,28237,Rory McIlroy,64.08%,273,426
20,0,35450,Patrick Cantlay,63.89%,276,432
20,0,54591,Ben Griffin,63.89%,315,493
22,0,29420,Billy Horschel,63.62%,292,459
22,0,37455,Si Woo Kim,63.62%,334,525
24,0,28252,Seamus Power,63.60%,290,456
25,0,51890,Greyson Sigg,63.38%,206,325
26,0,55893,Sam Stevens,63.37%,263,415
27,0,28775,Nate Lashley,63.30%,188,297
28,0,39971,Sungjae Im,63.26%,334,528
29,0,34256,Andrew Putnam,63.23%,239,378
30,0,46414,Aaron Rai,63.18%,278,440
31,0,28089,Jason Day,63.00%,286,454
32,0,57975,Harry Hall,62.91%,251,399
33,0,54576,Patrick Fishburn,62.76%,150,239
33,0,26596,Ryan Moore,62.76%,209,333
35,0,22405,Justin Rose,62.53%,252,403
36,0,34099,Harris English,62.35%,303,486
37,0,27936,Martin Laird,62.26%,193,310
38,0,40058,Zac Blair,62.24%,239,384
39,0,39977,Max Homa,62.20%,306,492
40,0,57900,Chandler Phillips,62.17%,258,415
41,0,24502,Adam Scott,62.09%,267,430
42,0,51977,Max Greyserman,62.07%,252,406
43,0,60004,Jacob Bridgeman,62.01%,204,329
44,0,48887,Matt Wallace,61.96%,202,326
45,0,51997,Andrew Novak,61.92%,213,344
46,0,59442,Parker Coody,61.90%,208,336
47,0,56630,Akshay Bhatia,61.79%,325,526
48,0,40098,Matt Fitzpatrick,61.76%,281,455
49,0,52375,Doug Ghim,61.74%,213,345
50,0,51894,Vince Whaley,61.71%,195,316
51,0,48117,Kurt Kitayama,61.63%,249,404
52,0,27644,Brian Harman,61.58%,319,518
53,0,40115,Adam Svensson,61.55%,325,528
54,0,29908,C.T. Pan,61.51%,171,278
55,0,30927,Brendon Todd,61.28%,345,563
56,0,32367,Jorge Campillo,61.27%,193,315
56,0,47483,Will Zalatoris,61.27%,242,395
58,0,24024,Zach Johnson,61.22%,161,263
59,0,59143,Mac Meissner,61.16%,211,345
60,0,35461,Beau Hossler,61.11%,231,378
61,0,33448,Justin Thomas,61.00%,244,400
62,0,45609,Tyler Duncan,60.86%,185,304
63,0,39546,Keith Mitchell,60.82%,222,365
63,0,51634,Sahith Theegala,60.82%,312,513
65,0,47504,Sam Burns,60.78%,282,464
66,0,47591,Eric Cole,60.75%,390,642
67,0,34255,Joseph Bramlett,60.70%,207,341
67,0,25493,Nick Taylor,60.70%,278,458
69,0,54628,Lee Hodges,60.61%,277,457
69,0,32757,Patton Kizzire,60.61%,140,231
71,0,32791,K.H. Lee,60.58%,209,345
72,0,32333,Kevin Tway,60.57%,149,246
73,0,36801,Mark Hubbard,60.52%,282,466
74,0,33653,Thomas Detry,60.41%,267,442
75,0,46441,Robby Shelton,60.36%,233,386
76,0,26476,Chez Reavie,60.07%,176,293
77,0,54783,Dylan Wu,60.06%,218,363
78,0,58168,Davis Thompson,59.96%,283,472
79,0,50188,S.H. Kim,59.93%,344,574
80,0,51766,Wyndham Clark,59.81%,250,418
81,0,50484,Hayden Springer,59.80%,180,301
82,0,47679,Victor Perez,59.79%,232,388
83,0,30926,Chris Kirk,59.73%,267,447
83,0,23108,Matt Kuchar,59.73%,221,370
83,0,36699,Patrick Rodgers,59.73%,261,437
86,0,49947,Taylor Moore,59.68%,302,506
87,0,59095,Chris Gotterup,59.67%,219,367
88,0,47347,Adam Schenk,59.54%,287,482
89,0,49960,Sepp Straka,59.45%,261,439
90,0,47983,Chad Ramey,59.40%,218,367
91,0,40250,Taylor Pendrith,59.36%,260,438
92,0,49771,J.T. Poston,59.22%,289,488
93,0,51696,Rico Hoey,59.15%,194,328
94,0,36799,Stephan Jaeger,59.13%,259,438
95,0,52514,Trace Crowe,59.04%,173,293
96,0,32640,Troy Merritt,59.03%,219,371
96,0,57366,Cameron Young,59.03%,291,493
98,0,35532,Tom Hoge,58.96%,316,536
99,0,55454,Carl Yuan,58.93%,188,319
100,0,34076,Joel Dahmen,58.79%,214,364
101,0,34466,Peter Malnati,58.76%,265,451
102,0,12716,Charley Hoffman,58.72%,202,344
103,0,55708,Hayden Buckley,58.69%,206,351
104,0,34563,Chesson Hadley,58.68%,186,317
105,0,33204,Shane Lowry,58.65%,244,416
106,0,45242,Kevin Yu,58.61%,177,302
107,0,39324,J.J. Spaun,58.56%,195,333
108,0,48153,Matthieu Pavon,58.55%,226,386
109,0,47995,Davis Riley,58.52%,230,393
110,0,33948,Byeong Hun An,58.35%,255,437
111,0,29725,Tony Finau,58.05%,256,441
112,0,48867,Matti Schmid,58.02%,199,343
113,0,55182,Tom Kim,57.96%,273,471
114,0,36871,Matt NeSmith,57.94%,186,321
115,0,52372,Cameron Champ,57.85%,151,261
115,0,54421,Garrick Higgo,57.85%,210,363
117,0,52374,Brandon Wu,57.84%,214,370
118,0,52666,Sami Valimaki,57.77%,171,296
119,0,45157,Cam Davis,57.67%,282,489
120,0,51287,Ryo Hisatsune,57.53%,210,365
121,0,40162,Justin Lower,57.52%,241,419
122,0,47663,Kevin Dougherty,57.30%,153,267
123,0,52513,Carson Young,57.18%,195,341
124,0,27139,David Skinns,57.14%,176,308
125,0,39975,Michael Kim,57.06%,198,347
126,0,40006,Erik van Rooyen,57.03%,211,370
127,0,36884,Ben Kohles,56.99%,212,372
128,0,31646,Emiliano Grillo,56.97%,286,502
129,0,51349,Nico Echavarria,56.94%,205,360
130,0,47988,Nick Hardy,56.80%,213,375
131,0,32102,Rickie Fowler,56.71%,245,432
132,0,34374,Erik Barnes,56.64%,162,286
133,0,39997,Corey Conners,56.56%,263,465
134,0,33968,Thorbjørn Olesen,56.55%,177,313
135,0,32070,Rafael Campos,56.54%,147,260
136,0,33141,Keegan Bradley,56.41%,264,468
137,0,33408,Tyson Alexander,56.27%,211,375
138,0,25900,Lucas Glover,56.26%,247,439
139,0,33399,Adam Hadwin,56.10%,262,467
139,0,27129,Luke List,56.10%,193,344
141,0,59836,Pierceson Coody,56.08%,203,362
142,0,57362,Austin Eckroat,55.91%,279,499
143,0,27064,Jhonattan Vegas,55.89%,147,263
144,0,52453,Nicolai Højgaard,55.87%,200,358
145,0,27214,Kevin Streelman,55.74%,170,305
146,0,29936,Ryan Fox,55.67%,221,397
147,0,46113,Ryan McCormick,55.63%,158,284
148,0,37275,Sam Ryder,55.52%,186,335
149,0,46340,Alex Smalley,55.48%,162,292
150,0,37378,Min Woo Lee,55.22%,217,393
151,0,36326,David Lipsky,55.19%,170,308
152,0,46717,Viktor Hovland,55.15%,182,330
153,0,60067,Joe Highsmith,55.07%,163,296
154,0,47420,Jake Knapp,54.85%,243,443
155,0,27649,Brandt Snedeker,54.82%,182,332
156,0,35310,Lanto Griffin,54.74%,150,274
157,0,28420,Ryan Brehm,54.45%,159,292
158,0,40026,Daniel Berger,54.39%,161,296
159,0,59866,Nick Dunlap,54.26%,223,411
160,0,48319,Tom Whitney,54.23%,154,284
161,0,50493,Justin Suh,53.96%,184,341
162,0,34046,Jordan Spieth,53.95%,232,430
163,0,50497,Adrien Dumont de Chassart,53.03%,184,347
164,0,48699,Callum Tarren,52.84%,177,335
165,0,48119,Ben Taylor,52.38%,165,315
166,0,51070,Vincent Norrman,51.79%,145,280
167,0,31323,Gary Woodland,51.18%,217,424
168,0,38991,Alejandro Tosti,50.87%,175,344
169,0,37212,Paul Barjon,49.07%,132,269
