RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,52372,Cameron Champ,321.0,28246,88
2,0,28237,Rory McIlroy,320.2,44183,138
3,0,33948,Byeong Hun An,317.1,47570,150
4,0,47663,Kevin Dougherty,317.0,30428,96
5,0,37378,Min Woo Lee,315.5,39122,124
6,0,51766,Wyndham Clark,314.0,42082,134
7,0,59095,Chris Gotterup,313.9,38299,122
8,0,38991,Alejandro Tosti,312.8,33160,106
9,0,40250,Taylor Pendrith,312.5,44999,144
10,0,51977,Max Greyserman,312.2,42770,137
10,0,50484,Hayden Springer,312.2,32153,103
12,0,27064,Jhonattan Vegas,312.1,33705,108
13,0,37212,Paul Barjon,311.1,24888,80
13,0,39546,Keith Mitchell,311.1,42927,138
15,0,51070,Vincent Norrman,311.0,30476,98
16,0,31323,Gary Woodland,310.7,41008,132
17,0,52955,Ludvig Åberg,310.5,44086,142
18,0,59836,Pierceson Coody,310.4,38180,123
19,0,51696,Rico Hoey,310.2,37220,120
19,0,55454,Carl Yuan,310.2,29775,96
21,0,47420,Jake Knapp,309.8,43987,142
21,0,33448,Justin Thomas,309.8,39034,126
23,0,45242,Kevin Yu,309.4,35268,114
24,0,34255,Joseph Bramlett,309.3,37121,120
25,0,52453,Nicolai Højgaard,309.1,35239,114
26,0,57366,Cameron Young,308.9,50036,162
27,0,36799,Stephan Jaeger,308.8,42614,138
28,0,48081,Xander Schauffele,308.6,46296,150
28,0,48699,Callum Tarren,308.6,32092,104
30,0,54421,Garrick Higgo,308.5,36398,118
31,0,29725,Tony Finau,308.4,48731,158
31,0,29936,Ryan Fox,308.4,38238,124
33,0,54576,Patrick Fishburn,308.2,29591,96
34,0,59866,Nick Dunlap,307.8,38782,126
35,0,47504,Sam Burns,307.4,44884,146
36,0,32333,Kevin Tway,307.2,27030,88
37,0,24502,Adam Scott,307.1,43612,142
37,0,55893,Sam Stevens,307.1,45454,148
39,0,34046,Jordan Spieth,306.9,42962,140
40,0,28420,Ryan Brehm,306.7,28212,92
41,0,46113,Ryan McCormick,306.6,28209,92
42,0,36699,Patrick Rodgers,306.4,47804,156
43,0,48867,Matti Schmid,306.1,36427,119
43,0,51634,Sahith Theegala,306.1,54494,178
45,0,48117,Kurt Kitayama,305.9,40994,134
46,0,58168,Davis Thompson,305.8,50143,164
47,0,33141,Keegan Bradley,305.5,48263,158
48,0,32070,Rafael Campos,305.4,27792,91
49,0,35310,Lanto Griffin,305.3,31754,104
49,0,49947,Taylor Moore,305.3,49454,162
51,0,46717,Viktor Hovland,305.1,34780,114
52,0,52215,Robert MacIntyre,304.9,43902,144
53,0,46340,Alex Smalley,304.5,31670,104
54,0,40006,Erik van Rooyen,304.2,40762,134
55,0,59442,Parker Coody,303.9,33124,109
56,0,60067,Joe Highsmith,303.8,30076,99
56,0,46442,Maverick McNealy,303.8,44352,146
56,0,46046,Scottie Scheffler,303.8,43139,142
59,0,27139,David Skinns,303.6,35218,116
59,0,51894,Vince Whaley,303.6,28840,95
61,0,12716,Charley Hoffman,303.4,33984,112
62,0,33653,Thomas Detry,303.3,40641,134
63,0,47988,Nick Hardy,303.2,41535,137
64,0,34563,Chesson Hadley,303.1,31518,104
64,0,50188,S.H. Kim,303.1,49104,162
66,0,33408,Tyson Alexander,302.8,33313,110
66,0,50497,Adrien Dumont de Chassart,302.8,33918,112
66,0,47995,Davis Riley,302.8,36940,122
69,0,35450,Patrick Cantlay,302.7,39356,130
70,0,45157,Cam Davis,302.6,45388,150
70,0,39975,Michael Kim,302.6,36615,121
70,0,47483,Will Zalatoris,302.6,37517,124
73,0,33968,Thorbjørn Olesen,302.1,29001,96
74,0,27129,Luke List,301.9,34421,114
75,0,34374,Erik Barnes,301.6,25031,83
75,0,32791,K.H. Lee,301.6,33777,112
75,0,47679,Victor Perez,301.6,40712,135
78,0,39997,Corey Conners,301.2,52414,174
79,0,47347,Adam Schenk,301.0,45752,152
