TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2017 PGA Championship,2017-08-10,1,254.0,73.6,0.0,7.3,124,Quail Hollow Club,"Charlotte, NC",Justin Thomas,71,7600,73,276
2017 PGA Championship,2017-08-11,2,254.0,75.1,0.685,9.0,194,Quail Hollow Club,"Charlotte, NC",Justin Thomas,71,7600,66,276
2017 PGA Championship,2017-08-12,3,254.0,76.3,0.394,7.8,209,Quail Hollow Club,"Charlotte, NC",Justin Thomas,71,7600,69,276
2017 PGA Championship,2017-08-13,4,254.0,78.1,0.035,7.5,47,Quail Hollow Club,"Charlotte, NC",Justin Thomas,71,7600,68,276
2017 PGA Championship,2017-08-10,1,254.0,73.6,0.0,7.3,124,Quail Hollow Club,"Charlotte, NC",Patrick Reed,71,7600,69,278
2017 PGA Championship,2017-08-11,2,254.0,75.1,0.685,9.0,194,Quail Hollow Club,"Charlotte, NC",Patrick Reed,71,7600,73,278
2017 PGA Championship,2017-08-12,3,254.0,76.3,0.394,7.8,209,Quail Hollow Club,"Charlotte, NC",Patrick Reed,71,7600,69,278
2017 PGA Championship,2017-08-13,4,254.0,78.1,0.035,7.5,47,Quail Hollow Club,"Charlotte, NC",Patrick Reed,71,7600,67,278
2017 PGA Championship,2017-08-10,1,254.0,73.6,0.0,7.3,124,Quail Hollow Club,"Charlotte, NC",Francesco Molinari,71,7600,73,278
2017 PGA Championship,2017-08-11,2,254.0,75.1,0.685,9.0,194,Quail Hollow Club,"Charlotte, NC",Francesco Molinari,71,7600,64,278
2017 PGA Championship,2017-08-12,3,254.0,76.3,0.394,7.8,209,Quail Hollow Club,"Charlotte, NC",Francesco Molinari,71,7600,74,278
2017 PGA Championship,2017-08-13,4,254.0,78.1,0.035,7.5,47,Quail Hollow Club,"Charlotte, NC",Francesco Molinari,71,7600,67,278
