TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2017 RBC Canadian Open,2017-07-27,95.0,70.4,0.276,7.9,224,68.4,0.0,10.7,31,69.2,0.0,11.4,11,75.2,0.0,10.5,333,Glen Abbey GC,"Oakville, ON",72,7253,Jhonattan Vegas,66,69,67,65,267,1,"$1,080,000",500
2017 RBC Canadian Open,2017-07-27,95.0,70.4,0.276,7.9,224,68.4,0.0,10.7,31,69.2,0.0,11.4,11,75.2,0.0,10.5,333,Glen Abbey GC,"Oakville, ON",72,7253,Ian Poulter,67,69,68,64,268,3,"$408,000",190
2017 RBC Canadian Open,2017-07-27,95.0,70.4,0.276,7.9,224,68.4,0.0,10.7,31,69.2,0.0,11.4,11,75.2,0.0,10.5,333,Glen Abbey GC,"Oakville, ON",72,7253,Gary Woodland,70,63,68,68,269,4,"$288,000",135
2017 RBC Canadian Open,2017-07-27,95.0,70.4,0.276,7.9,224,68.4,0.0,10.7,31,69.2,0.0,11.4,11,75.2,0.0,10.5,333,Glen Abbey GC,"Oakville, ON",72,7253,Tony Finau,69,67,66,68,270,T5,"$219,000",100
2017 RBC Canadian Open,2017-07-27,95.0,70.4,0.276,7.9,224,68.4,0.0,10.7,31,69.2,0.0,11.4,11,75.2,0.0,10.5,333,Glen Abbey GC,"Oakville, ON",72,7253,Brandon Hagy,65,68,69,68,270,T5,"$219,000",100
2017 RBC Canadian Open,2017-07-27,95.0,70.4,0.276,7.9,224,68.4,0.0,10.7,31,69.2,0.0,11.4,11,75.2,0.0,10.5,333,Glen Abbey GC,"Oakville, ON",72,7253,Robert Garrigus,70,69,62,69,270,T5,"$219,000",100
2017 RBC Canadian Open,2017-07-27,95.0,70.4,0.276,7.9,224,68.4,0.0,10.7,31,69.2,0.0,11.4,11,75.2,0.0,10.5,333,Glen Abbey GC,"Oakville, ON",72,7253,Dustin Johnson,67,69,68,67,271,T8,"$180,000",82
2017 RBC Canadian Open,2017-07-27,95.0,70.4,0.276,7.9,224,68.4,0.0,10.7,31,69.2,0.0,11.4,11,75.2,0.0,10.5,333,Glen Abbey GC,"Oakville, ON",72,7253,Kevin Chappell,65,69,66,71,271,T8,"$180,000",82
2017 RBC Canadian Open,2017-07-27,95.0,70.4,0.276,7.9,224,68.4,0.0,10.7,31,69.2,0.0,11.4,11,75.2,0.0,10.5,333,Glen Abbey GC,"Oakville, ON",72,7253,Sean O'Hair,69,68,70,65,272,T10,"$144,000",67
2017 RBC Canadian Open,2017-07-27,95.0,70.4,0.276,7.9,224,68.4,0.0,10.7,31,69.2,0.0,11.4,11,75.2,0.0,10.5,333,Glen Abbey GC,"Oakville, ON",72,7253,James Hahn,66,73,67,66,272,T10,"$144,000",67
2017 RBC Canadian Open,2017-07-27,95.0,70.4,0.276,7.9,224,68.4,0.0,10.7,31,69.2,0.0,11.4,11,75.2,0.0,10.5,333,Glen Abbey GC,"Oakville, ON",72,7253,Séamus Power,68,70,68,66,272,T10,"$144,000",67
2017 RBC Canadian Open,2017-07-27,95.0,70.4,0.276,7.9,224,68.4,0.0,10.7,31,69.2,0.0,11.4,11,75.2,0.0,10.5,333,Glen Abbey GC,"Oakville, ON",72,7253,Andres Gonzales,67,69,66,70,272,T10,"$144,000",67
2017 RBC Canadian Open,2017-07-27,95.0,70.4,0.276,7.9,224,68.4,0.0,10.7,31,69.2,0.0,11.4,11,75.2,0.0,10.5,333,Glen Abbey GC,"Oakville, ON",72,7253,Keegan Bradley,67,69,72,65,273,T14,"$102,000",53
