TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Ryan Armour,66,68,67,68,269,1,"$774,000",300
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Chesson Hadley,68,70,68,68,274,2,"$464,400",165
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Jonathan Randolph,69,69,71,67,276,3,"$292,400",105
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Smylie Kaufman,67,72,71,68,278,T4,"$177,733",68
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Brian Stuard,67,70,71,70,278,T4,"$177,733",68
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Scott Strohmeyer,72,67,68,71,278,T4,"$177,733",0
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Jason Kokrak,69,70,73,67,279,T7,"$134,017",50
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Nicholas Lindheim,70,67,72,70,279,T7,"$134,017",50
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Ben Silverman,68,70,69,72,279,T7,"$134,017",50
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Ricky Barnes,69,70,75,66,280,T10,"$92,143",34
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Patton Kizzire,71,72,69,68,280,T10,"$92,143",34
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Kevin Streelman,71,69,71,69,280,T10,"$92,143",34
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Derek Fathauer,67,71,73,69,280,T10,"$92,143",34
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Shawn Stefani,72,71,67,70,280,T10,"$92,143",34
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Beau Hossler,69,69,69,73,280,T10,"$92,143",34
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Vaughn Taylor,70,66,71,73,280,T10,"$92,143",34
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Wyndham Clark,66,71,75,69,281,17,"$68,800",0
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Brandon Hagy,71,71,72,68,282,T18,"$52,337",26
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Rob Oppenheim,70,71,70,71,282,T18,"$52,337",26
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Hunter Mahan,70,71,69,72,282,T18,"$52,337",26
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Tom Lovelady,71,69,70,72,282,T18,"$52,337",26
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Brian Gay,72,69,68,73,282,T18,"$52,337",26
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Zac Blair,68,70,71,73,282,T18,"$52,337",26
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Séamus Power,68,68,71,75,282,T18,"$52,337",26
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Aaron Wise,68,74,70,71,283,T25,"$33,540",20
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,William McGirt,70,71,70,72,283,T25,"$33,540",20
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Billy Hurley III,72,68,69,74,283,T25,"$33,540",20
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Austin Cook,72,67,70,74,283,T25,"$33,540",20
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Tyrone Van Aswegen,70,65,74,74,283,T25,"$33,540",20
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Talor Gooch,71,71,72,70,284,T30,"$27,305",16
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Ethan Tracy,70,71,70,73,284,T30,"$27,305",16
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Aaron Baddeley,69,68,74,73,284,T30,"$27,305",16
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Dru Love,71,67,72,74,284,T30,"$27,305",0
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Chris Kirk,70,72,76,67,285,T34,"$20,353",11
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Ángel Cabrera,70,72,74,69,285,T34,"$20,353",11
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Derek Ernst,72,70,74,69,285,T34,"$20,353",11
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Cameron Percy,69,74,71,71,285,T34,"$20,353",11
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,J.J. Spaun,66,75,71,73,285,T34,"$20,353",11
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Andrew Putnam,68,73,70,74,285,T34,"$20,353",11
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Peter Malnati,67,74,70,74,285,T34,"$20,353",11
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Eric Axley,68,71,72,74,285,T34,"$20,353",11
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Johnson Wagner,69,70,71,75,285,T34,"$20,353",11
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,George McNeill,71,72,73,70,286,T43,"$13,094",6
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Scott Stallings,71,71,74,70,286,T43,"$13,094",6
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Brett Stegmaier,71,72,72,71,286,T43,"$13,094",6
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Brice Garnett,72,71,71,72,286,T43,"$13,094",6
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Adam Schenk,71,72,71,72,286,T43,"$13,094",6
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Sam Burns,69,73,72,72,286,T43,"$13,094",0
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Ben Crane,70,71,72,73,286,T43,"$13,094",6
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Martin Piller,71,71,70,74,286,T43,"$13,094",6
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Stephan Jaeger,72,69,73,73,287,T51,"$10,449",5
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Joel Dahmen,70,70,73,74,287,T51,"$10,449",5
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Matt Every,74,69,74,71,288,T53,"$9,861",4
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,David Skinns,70,73,74,71,288,T53,"$9,861",0
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,J.T. Poston,69,74,72,73,288,T53,"$9,861",4
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Cameron Tringale,71,72,70,75,288,T53,"$9,861",4
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Tim Herron,73,66,73,76,288,T53,"$9,861",4
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Taylor Moore,69,71,70,78,288,T53,"$9,861",0
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Ben Martin,70,72,74,73,289,T59,"$9,331",3
2017 Sanderson Farms Championship,2017-10-26,94.0,59.1,0.0,10.3,210,63.8,0.016,12.8,185,48.2,0.555,15.7,340,45.9,0.0,6.3,303,Country Club of Jackson,"Jackson, MS",72,7440,Conrad Shindler,66,75,75,73,289,T59,"$9,331",3
