TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2017 THE PLAYERS Championship,2017-05-11,1,6.0,78.9,0.0,9.1,245,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Si Woo Kim,72,7189,69,278
2017 THE PLAYERS Championship,2017-05-12,2,6.0,79.1,0.0,14.5,254,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Si Woo Kim,72,7189,72,278
2017 THE PLAYERS Championship,2017-05-13,3,6.0,73.4,0.949,11.5,214,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Si Woo Kim,72,7189,68,278
2017 THE PLAYERS Championship,2017-05-14,4,6.0,72.6,0.031,14.8,21,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Si Woo Kim,72,7189,69,278
2017 THE PLAYERS Championship,2017-05-11,1,6.0,78.9,0.0,9.1,245,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Ian Poulter,72,7189,72,281
2017 THE PLAYERS Championship,2017-05-12,2,6.0,79.1,0.0,14.5,254,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Ian Poulter,72,7189,67,281
2017 THE PLAYERS Championship,2017-05-13,3,6.0,73.4,0.949,11.5,214,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Ian Poulter,72,7189,71,281
2017 THE PLAYERS Championship,2017-05-14,4,6.0,72.6,0.031,14.8,21,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Ian Poulter,72,7189,71,281
2017 THE PLAYERS Championship,2017-05-11,1,6.0,78.9,0.0,9.1,245,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Louis Oosthuizen,72,7189,69,281
2017 THE PLAYERS Championship,2017-05-12,2,6.0,79.1,0.0,14.5,254,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Louis Oosthuizen,72,7189,66,281
2017 THE PLAYERS Championship,2017-05-13,3,6.0,73.4,0.949,11.5,214,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Louis Oosthuizen,72,7189,73,281
2017 THE PLAYERS Championship,2017-05-14,4,6.0,72.6,0.031,14.8,21,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Louis Oosthuizen,72,7189,73,281
2017 THE PLAYERS Championship,2017-05-11,1,6.0,78.9,0.0,9.1,245,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Rafa Cabrera Bello,72,7189,69,282
2017 THE PLAYERS Championship,2017-05-12,2,6.0,79.1,0.0,14.5,254,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Rafa Cabrera Bello,72,7189,70,282
2017 THE PLAYERS Championship,2017-05-13,3,6.0,73.4,0.949,11.5,214,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Rafa Cabrera Bello,72,7189,73,282
2017 THE PLAYERS Championship,2017-05-14,4,6.0,72.6,0.031,14.8,21,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Rafa Cabrera Bello,72,7189,70,282
