TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2017 The Greenbrier Classic,2017-07-06,1,564.0,72.9,0.181,10.2,264,The Old White Course,"White Sulphur Springs, WV",Xander Schauffele,70,7286,64,266
2017 The Greenbrier Classic,2017-07-07,2,564.0,74.5,0.055,10.8,281,The Old White Course,"White Sulphur Springs, WV",Xander Schauffele,70,7286,69,266
2017 The Greenbrier Classic,2017-07-08,3,564.0,73.9,0.0,13.1,282,The Old White Course,"White Sulphur Springs, WV",Xander Schauffele,70,7286,66,266
2017 The Greenbrier Classic,2017-07-09,4,564.0,70.1,0.0,6.9,278,The Old White Course,"White Sulphur Springs, WV",Xander Schauffele,70,7286,67,266
2017 The Greenbrier Classic,2017-07-06,1,564.0,72.9,0.181,10.2,264,The Old White Course,"White Sulphur Springs, WV",Robert Streb,70,7286,65,267
2017 The Greenbrier Classic,2017-07-07,2,564.0,74.5,0.055,10.8,281,The Old White Course,"White Sulphur Springs, WV",Robert Streb,70,7286,68,267
2017 The Greenbrier Classic,2017-07-08,3,564.0,73.9,0.0,13.1,282,The Old White Course,"White Sulphur Springs, WV",Robert Streb,70,7286,65,267
2017 The Greenbrier Classic,2017-07-09,4,564.0,70.1,0.0,6.9,278,The Old White Course,"White Sulphur Springs, WV",Robert Streb,70,7286,69,267
2017 The Greenbrier Classic,2017-07-06,1,564.0,72.9,0.181,10.2,264,The Old White Course,"White Sulphur Springs, WV",Jamie Lovemark,70,7286,69,268
2017 The Greenbrier Classic,2017-07-07,2,564.0,74.5,0.055,10.8,281,The Old White Course,"White Sulphur Springs, WV",Jamie Lovemark,70,7286,64,268
2017 The Greenbrier Classic,2017-07-08,3,564.0,73.9,0.0,13.1,282,The Old White Course,"White Sulphur Springs, WV",Jamie Lovemark,70,7286,66,268
2017 The Greenbrier Classic,2017-07-09,4,564.0,70.1,0.0,6.9,278,The Old White Course,"White Sulphur Springs, WV",Jamie Lovemark,70,7286,69,268
2017 The Greenbrier Classic,2017-07-06,1,564.0,72.9,0.181,10.2,264,The Old White Course,"White Sulphur Springs, WV",Sebastián Muñoz,70,7286,61,268
2017 The Greenbrier Classic,2017-07-07,2,564.0,74.5,0.055,10.8,281,The Old White Course,"White Sulphur Springs, WV",Sebastián Muñoz,70,7286,67,268
2017 The Greenbrier Classic,2017-07-08,3,564.0,73.9,0.0,13.1,282,The Old White Course,"White Sulphur Springs, WV",Sebastián Muñoz,70,7286,68,268
2017 The Greenbrier Classic,2017-07-09,4,564.0,70.1,0.0,6.9,278,The Old White Course,"White Sulphur Springs, WV",Sebastián Muñoz,70,7286,72,268
2017 The Greenbrier Classic,2017-07-06,1,564.0,72.9,0.181,10.2,264,The Old White Course,"White Sulphur Springs, WV",Kelly Kraft,70,7286,67,269
2017 The Greenbrier Classic,2017-07-07,2,564.0,74.5,0.055,10.8,281,The Old White Course,"White Sulphur Springs, WV",Kelly Kraft,70,7286,66,269
2017 The Greenbrier Classic,2017-07-08,3,564.0,73.9,0.0,13.1,282,The Old White Course,"White Sulphur Springs, WV",Kelly Kraft,70,7286,67,269
2017 The Greenbrier Classic,2017-07-09,4,564.0,70.1,0.0,6.9,278,The Old White Course,"White Sulphur Springs, WV",Kelly Kraft,70,7286,69,269
2017 The Greenbrier Classic,2017-07-06,1,564.0,72.9,0.181,10.2,264,The Old White Course,"White Sulphur Springs, WV",Russell Henley,70,7286,68,269
2017 The Greenbrier Classic,2017-07-07,2,564.0,74.5,0.055,10.8,281,The Old White Course,"White Sulphur Springs, WV",Russell Henley,70,7286,64,269
2017 The Greenbrier Classic,2017-07-08,3,564.0,73.9,0.0,13.1,282,The Old White Course,"White Sulphur Springs, WV",Russell Henley,70,7286,68,269
2017 The Greenbrier Classic,2017-07-09,4,564.0,70.1,0.0,6.9,278,The Old White Course,"White Sulphur Springs, WV",Russell Henley,70,7286,69,269
2017 The Greenbrier Classic,2017-07-06,1,564.0,72.9,0.181,10.2,264,The Old White Course,"White Sulphur Springs, WV",Ryan Blaum,70,7286,68,270
2017 The Greenbrier Classic,2017-07-07,2,564.0,74.5,0.055,10.8,281,The Old White Course,"White Sulphur Springs, WV",Ryan Blaum,70,7286,67,270
2017 The Greenbrier Classic,2017-07-08,3,564.0,73.9,0.0,13.1,282,The Old White Course,"White Sulphur Springs, WV",Ryan Blaum,70,7286,71,270
2017 The Greenbrier Classic,2017-07-09,4,564.0,70.1,0.0,6.9,278,The Old White Course,"White Sulphur Springs, WV",Ryan Blaum,70,7286,64,270
2017 The Greenbrier Classic,2017-07-06,1,564.0,72.9,0.181,10.2,264,The Old White Course,"White Sulphur Springs, WV",Tony Finau,70,7286,69,270
2017 The Greenbrier Classic,2017-07-07,2,564.0,74.5,0.055,10.8,281,The Old White Course,"White Sulphur Springs, WV",Tony Finau,70,7286,66,270
