TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2017 The Open,2017-07-20,1,9.0,58.7,0.083,15.6,266,Royal Birkdale GC,"Southport, England",Jordan Spieth,70,7156,65,268
2017 The Open,2017-07-21,2,9.0,60.4,0.571,25.4,139,Royal Birkdale GC,"Southport, England",Jordan Spieth,70,7156,69,268
2017 The Open,2017-07-22,3,9.0,59.3,0.142,10.2,185,Royal Birkdale GC,"Southport, England",Jordan Spieth,70,7156,65,268
2017 The Open,2017-07-23,4,9.0,59.7,0.232,14.8,327,Royal Birkdale GC,"Southport, England",Jordan Spieth,70,7156,69,268
2017 The Open,2017-07-20,1,9.0,58.7,0.083,15.6,266,Royal Birkdale GC,"Southport, England",Matt Kuchar,70,7156,65,271
2017 The Open,2017-07-21,2,9.0,60.4,0.571,25.4,139,Royal Birkdale GC,"Southport, England",Matt Kuchar,70,7156,71,271
2017 The Open,2017-07-22,3,9.0,59.3,0.142,10.2,185,Royal Birkdale GC,"Southport, England",Matt Kuchar,70,7156,66,271
2017 The Open,2017-07-23,4,9.0,59.7,0.232,14.8,327,Royal Birkdale GC,"Southport, England",Matt Kuchar,70,7156,69,271
2017 The Open,2017-07-20,1,9.0,58.7,0.083,15.6,266,Royal Birkdale GC,"Southport, England",Haotong Li,70,7156,69,274
2017 The Open,2017-07-21,2,9.0,60.4,0.571,25.4,139,Royal Birkdale GC,"Southport, England",Haotong Li,70,7156,73,274
2017 The Open,2017-07-22,3,9.0,59.3,0.142,10.2,185,Royal Birkdale GC,"Southport, England",Haotong Li,70,7156,69,274
2017 The Open,2017-07-23,4,9.0,59.7,0.232,14.8,327,Royal Birkdale GC,"Southport, England",Haotong Li,70,7156,63,274
2017 The Open,2017-07-20,1,9.0,58.7,0.083,15.6,266,Royal Birkdale GC,"Southport, England",Rory McIlroy,70,7156,71,275
2017 The Open,2017-07-21,2,9.0,60.4,0.571,25.4,139,Royal Birkdale GC,"Southport, England",Rory McIlroy,70,7156,68,275
2017 The Open,2017-07-22,3,9.0,59.3,0.142,10.2,185,Royal Birkdale GC,"Southport, England",Rory McIlroy,70,7156,69,275
2017 The Open,2017-07-23,4,9.0,59.7,0.232,14.8,327,Royal Birkdale GC,"Southport, England",Rory McIlroy,70,7156,67,275
2017 The Open,2017-07-20,1,9.0,58.7,0.083,15.6,266,Royal Birkdale GC,"Southport, England",Rafa Cabrera Bello,70,7156,67,275
2017 The Open,2017-07-21,2,9.0,60.4,0.571,25.4,139,Royal Birkdale GC,"Southport, England",Rafa Cabrera Bello,70,7156,73,275
2017 The Open,2017-07-22,3,9.0,59.3,0.142,10.2,185,Royal Birkdale GC,"Southport, England",Rafa Cabrera Bello,70,7156,67,275
2017 The Open,2017-07-23,4,9.0,59.7,0.232,14.8,327,Royal Birkdale GC,"Southport, England",Rafa Cabrera Bello,70,7156,68,275
2017 The Open,2017-07-20,1,9.0,58.7,0.083,15.6,266,Royal Birkdale GC,"Southport, England",Marc Leishman,70,7156,69,276
2017 The Open,2017-07-21,2,9.0,60.4,0.571,25.4,139,Royal Birkdale GC,"Southport, England",Marc Leishman,70,7156,76,276
2017 The Open,2017-07-22,3,9.0,59.3,0.142,10.2,185,Royal Birkdale GC,"Southport, England",Marc Leishman,70,7156,66,276
2017 The Open,2017-07-23,4,9.0,59.7,0.232,14.8,327,Royal Birkdale GC,"Southport, England",Marc Leishman,70,7156,65,276
2017 The Open,2017-07-20,1,9.0,58.7,0.083,15.6,266,Royal Birkdale GC,"Southport, England",Matthew Southgate,70,7156,72,276
