TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2017 Wells Fargo Championship,2017-05-04,1,14.0,70.4,0.047,19.5,121,Eagle Point Golf Club,"Wilmington, NC",Brian Harman,72,7396,71,278
2017 Wells Fargo Championship,2017-05-05,2,14.0,70.8,1.11,20.6,186,Eagle Point Golf Club,"Wilmington, NC",Brian Harman,72,7396,69,278
2017 Wells Fargo Championship,2017-05-06,3,14.0,60.1,0.0,18.0,258,Eagle Point Golf Club,"Wilmington, NC",Brian Harman,72,7396,70,278
2017 Wells Fargo Championship,2017-05-07,4,14.0,60.2,0.146,13.5,284,Eagle Point Golf Club,"Wilmington, NC",Brian Harman,72,7396,68,278
2017 Wells Fargo Championship,2017-05-04,1,14.0,70.4,0.047,19.5,121,Eagle Point Golf Club,"Wilmington, NC",Dustin Johnson,72,7396,70,279
2017 Wells Fargo Championship,2017-05-05,2,14.0,70.8,1.11,20.6,186,Eagle Point Golf Club,"Wilmington, NC",Dustin Johnson,72,7396,75,279
2017 Wells Fargo Championship,2017-05-06,3,14.0,60.1,0.0,18.0,258,Eagle Point Golf Club,"Wilmington, NC",Dustin Johnson,72,7396,67,279
2017 Wells Fargo Championship,2017-05-07,4,14.0,60.2,0.146,13.5,284,Eagle Point Golf Club,"Wilmington, NC",Dustin Johnson,72,7396,67,279
2017 Wells Fargo Championship,2017-05-04,1,14.0,70.4,0.047,19.5,121,Eagle Point Golf Club,"Wilmington, NC",Pat Perez,72,7396,72,279
2017 Wells Fargo Championship,2017-05-05,2,14.0,70.8,1.11,20.6,186,Eagle Point Golf Club,"Wilmington, NC",Pat Perez,72,7396,69,279
2017 Wells Fargo Championship,2017-05-06,3,14.0,60.1,0.0,18.0,258,Eagle Point Golf Club,"Wilmington, NC",Pat Perez,72,7396,70,279
2017 Wells Fargo Championship,2017-05-07,4,14.0,60.2,0.146,13.5,284,Eagle Point Golf Club,"Wilmington, NC",Pat Perez,72,7396,68,279
2017 Wells Fargo Championship,2017-05-04,1,14.0,70.4,0.047,19.5,121,Eagle Point Golf Club,"Wilmington, NC",Jon Rahm,72,7396,69,280
2017 Wells Fargo Championship,2017-05-05,2,14.0,70.8,1.11,20.6,186,Eagle Point Golf Club,"Wilmington, NC",Jon Rahm,72,7396,71,280
2017 Wells Fargo Championship,2017-05-06,3,14.0,60.1,0.0,18.0,258,Eagle Point Golf Club,"Wilmington, NC",Jon Rahm,72,7396,69,280
2017 Wells Fargo Championship,2017-05-07,4,14.0,60.2,0.146,13.5,284,Eagle Point Golf Club,"Wilmington, NC",Jon Rahm,72,7396,71,280
2017 Wells Fargo Championship,2017-05-04,1,14.0,70.4,0.047,19.5,121,Eagle Point Golf Club,"Wilmington, NC",Smylie Kaufman,72,7396,70,281
2017 Wells Fargo Championship,2017-05-05,2,14.0,70.8,1.11,20.6,186,Eagle Point Golf Club,"Wilmington, NC",Smylie Kaufman,72,7396,71,281
2017 Wells Fargo Championship,2017-05-06,3,14.0,60.1,0.0,18.0,258,Eagle Point Golf Club,"Wilmington, NC",Smylie Kaufman,72,7396,72,281
2017 Wells Fargo Championship,2017-05-07,4,14.0,60.2,0.146,13.5,284,Eagle Point Golf Club,"Wilmington, NC",Smylie Kaufman,72,7396,68,281
2017 Wells Fargo Championship,2017-05-04,1,14.0,70.4,0.047,19.5,121,Eagle Point Golf Club,"Wilmington, NC",Kevin Tway,72,7396,72,281
2017 Wells Fargo Championship,2017-05-05,2,14.0,70.8,1.11,20.6,186,Eagle Point Golf Club,"Wilmington, NC",Kevin Tway,72,7396,70,281
2017 Wells Fargo Championship,2017-05-06,3,14.0,60.1,0.0,18.0,258,Eagle Point Golf Club,"Wilmington, NC",Kevin Tway,72,7396,69,281
2017 Wells Fargo Championship,2017-05-07,4,14.0,60.2,0.146,13.5,284,Eagle Point Golf Club,"Wilmington, NC",Kevin Tway,72,7396,70,281
2017 Wells Fargo Championship,2017-05-04,1,14.0,70.4,0.047,19.5,121,Eagle Point Golf Club,"Wilmington, NC",S.Y. Noh,72,7396,69,281
2017 Wells Fargo Championship,2017-05-05,2,14.0,70.8,1.11,20.6,186,Eagle Point Golf Club,"Wilmington, NC",S.Y. Noh,72,7396,74,281
2017 Wells Fargo Championship,2017-05-06,3,14.0,60.1,0.0,18.0,258,Eagle Point Golf Club,"Wilmington, NC",S.Y. Noh,72,7396,67,281
2017 Wells Fargo Championship,2017-05-07,4,14.0,60.2,0.146,13.5,284,Eagle Point Golf Club,"Wilmington, NC",S.Y. Noh,72,7396,71,281
2017 Wells Fargo Championship,2017-05-04,1,14.0,70.4,0.047,19.5,121,Eagle Point Golf Club,"Wilmington, NC",Jonathan Randolph,72,7396,69,282
2017 Wells Fargo Championship,2017-05-05,2,14.0,70.8,1.11,20.6,186,Eagle Point Golf Club,"Wilmington, NC",Jonathan Randolph,72,7396,73,282
2017 Wells Fargo Championship,2017-05-06,3,14.0,60.1,0.0,18.0,258,Eagle Point Golf Club,"Wilmington, NC",Jonathan Randolph,72,7396,73,282
2017 Wells Fargo Championship,2017-05-07,4,14.0,60.2,0.146,13.5,284,Eagle Point Golf Club,"Wilmington, NC",Jonathan Randolph,72,7396,67,282
2017 Wells Fargo Championship,2017-05-04,1,14.0,70.4,0.047,19.5,121,Eagle Point Golf Club,"Wilmington, NC",Byeong Hun An,72,7396,72,282
2017 Wells Fargo Championship,2017-05-05,2,14.0,70.8,1.11,20.6,186,Eagle Point Golf Club,"Wilmington, NC",Byeong Hun An,72,7396,70,282
2017 Wells Fargo Championship,2017-05-06,3,14.0,60.1,0.0,18.0,258,Eagle Point Golf Club,"Wilmington, NC",Byeong Hun An,72,7396,69,282
2017 Wells Fargo Championship,2017-05-07,4,14.0,60.2,0.146,13.5,284,Eagle Point Golf Club,"Wilmington, NC",Byeong Hun An,72,7396,71,282
2017 Wells Fargo Championship,2017-05-04,1,14.0,70.4,0.047,19.5,121,Eagle Point Golf Club,"Wilmington, NC",Nick Taylor,72,7396,71,282
2017 Wells Fargo Championship,2017-05-05,2,14.0,70.8,1.11,20.6,186,Eagle Point Golf Club,"Wilmington, NC",Nick Taylor,72,7396,69,282
2017 Wells Fargo Championship,2017-05-06,3,14.0,60.1,0.0,18.0,258,Eagle Point Golf Club,"Wilmington, NC",Nick Taylor,72,7396,71,282
2017 Wells Fargo Championship,2017-05-07,4,14.0,60.2,0.146,13.5,284,Eagle Point Golf Club,"Wilmington, NC",Nick Taylor,72,7396,71,282
2017 Wells Fargo Championship,2017-05-04,1,14.0,70.4,0.047,19.5,121,Eagle Point Golf Club,"Wilmington, NC",Billy Hurley III,72,7396,70,282
