TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Justin Rose,66,64,66,64,260,1,"$1,278,000",500
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Brooks Koepka,70,63,67,63,263,2,"$766,800",300
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Emiliano Grillo,64,67,69,64,264,3,"$482,800",190
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Kevin Na,62,73,70,61,266,4,"$340,800",135
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Kevin Tway,66,69,68,67,270,T5,"$259,150",100
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Louis Oosthuizen,67,71,64,68,270,T5,"$259,150",100
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Jon Rahm,68,70,64,68,270,T5,"$259,150",100
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Joaquín Niemann,68,72,65,66,271,T8,"$205,900",0
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Ben Crane,66,69,68,68,271,T8,"$205,900",80
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Corey Conners,71,68,63,69,271,T8,"$205,900",80
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Ben Silverman,66,69,72,65,272,T11,"$163,300",65
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Chris Kirk,66,71,67,68,272,T11,"$163,300",65
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Tim Herron,66,70,68,68,272,T11,"$163,300",65
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Bill Haas,67,73,69,64,273,T14,"$117,150",52
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Danny Lee,70,69,69,65,273,T14,"$117,150",52
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Rickie Fowler,67,69,69,68,273,T14,"$117,150",52
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Tyrone Van Aswegen,67,67,71,68,273,T14,"$117,150",52
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Brian Harman,72,67,64,70,273,T14,"$117,150",52
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Ryan Armour,68,68,66,71,273,T14,"$117,150",52
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,C.T. Pan,68,71,70,65,274,T20,"$64,196",35
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Jimmy Walker,68,70,70,66,274,T20,"$64,196",35
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Rory Sabbatini,66,71,71,66,274,T20,"$64,196",35
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Chesson Hadley,71,71,65,67,274,T20,"$64,196",35
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Shubhankar Sharma,73,68,66,67,274,T20,"$64,196",0
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Vaughn Taylor,67,70,70,67,274,T20,"$64,196",35
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Andrew Putnam,64,72,70,68,274,T20,"$64,196",35
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Russell Knox,69,69,67,69,274,T20,"$64,196",35
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Joel Dahmen,68,69,68,69,274,T20,"$64,196",35
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Harris English,68,67,69,70,274,T20,"$64,196",35
2018 Fort Worth Invitational,2018-05-24,195.0,80.5,0.0,7.4,168,82.0,0.114,10.1,177,82.8,0.012,11.7,169,85.3,0.0,9.3,123,Colonial Country Club,"Fort Worth, TX",70,7209,Satoshi Kodaira,66,67,71,70,274,T20,"$64,196",35
