TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Patrick Reed,69,66,67,71,273,1,"$1,980,000",600
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Rickie Fowler,70,72,65,67,274,2,"$1,188,000",330
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Jordan Spieth,66,74,71,64,275,3,"$748,000",210
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Jon Rahm,75,68,65,69,277,4,"$528,000",150
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Cameron Smith,71,72,70,66,279,T5,"$386,375",106
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Bubba Watson,73,69,68,69,279,T5,"$386,375",106
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Henrik Stenson,69,70,70,70,279,T5,"$386,375",106
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Rory McIlroy,69,71,65,74,279,T5,"$386,375",106
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Marc Leishman,70,67,73,70,280,9,"$319,000",88
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Tony Finau,68,74,73,66,281,T10,"$286,000",80
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Dustin Johnson,73,68,71,69,281,T10,"$286,000",80
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Charley Hoffman,69,73,73,67,282,T12,"$231,000",68
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Louis Oosthuizen,71,71,71,69,282,T12,"$231,000",68
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Justin Rose,72,70,71,69,282,T12,"$231,000",68
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Paul Casey,74,75,69,65,283,T15,"$192,500",60
2018 Masters Tournament,2018-04-05,44.0,56.5,0.0,10.0,0,61.3,0.0,12.8,185,65.6,0.264,13.2,217,51.5,0.106,15.0,31,Augusta National Golf Club,"Augusta, GA",72,7435,Russell Henley,73,72,71,67,283,T15,"$192,500",60
