TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2018 Quicken Loans National,2018-06-28,102.0,76.4,0.236,9.9,229,77.4,0.0,7.2,303,79.6,0.0,5.7,250,80.7,0.0,6.0,212,TPC Potomac at Avenel Farm,"Potomac, MD",70,7107,Francesco Molinari,67,65,65,62,259,1,"$1,278,000",500
2018 Quicken Loans National,2018-06-28,102.0,76.4,0.236,9.9,229,77.4,0.0,7.2,303,79.6,0.0,5.7,250,80.7,0.0,6.0,212,TPC Potomac at Avenel Farm,"Potomac, MD",70,7107,Ryan Armour,66,65,68,68,267,2,"$766,800",300
2018 Quicken Loans National,2018-06-28,102.0,76.4,0.236,9.9,229,77.4,0.0,7.2,303,79.6,0.0,5.7,250,80.7,0.0,6.0,212,TPC Potomac at Avenel Farm,"Potomac, MD",70,7107,Sung Kang,72,64,68,64,268,3,"$482,800",190
2018 Quicken Loans National,2018-06-28,102.0,76.4,0.236,9.9,229,77.4,0.0,7.2,303,79.6,0.0,5.7,250,80.7,0.0,6.0,212,TPC Potomac at Avenel Farm,"Potomac, MD",70,7107,Tiger Woods,70,65,68,66,269,T4,"$312,400",123
2018 Quicken Loans National,2018-06-28,102.0,76.4,0.236,9.9,229,77.4,0.0,7.2,303,79.6,0.0,5.7,250,80.7,0.0,6.0,212,TPC Potomac at Avenel Farm,"Potomac, MD",70,7107,Abraham Ancer,65,70,62,72,269,T4,"$312,400",123
2018 Quicken Loans National,2018-06-28,102.0,76.4,0.236,9.9,229,77.4,0.0,7.2,303,79.6,0.0,5.7,250,80.7,0.0,6.0,212,TPC Potomac at Avenel Farm,"Potomac, MD",70,7107,Bronson Burgoon,68,70,65,67,270,T6,"$246,725",95
2018 Quicken Loans National,2018-06-28,102.0,76.4,0.236,9.9,229,77.4,0.0,7.2,303,79.6,0.0,5.7,250,80.7,0.0,6.0,212,TPC Potomac at Avenel Farm,"Potomac, MD",70,7107,Beau Hossler,65,66,71,68,270,T6,"$246,725",95
2018 Quicken Loans National,2018-06-28,102.0,76.4,0.236,9.9,229,77.4,0.0,7.2,303,79.6,0.0,5.7,250,80.7,0.0,6.0,212,TPC Potomac at Avenel Farm,"Potomac, MD",70,7107,Ryan Palmer,70,67,67,67,271,T8,"$198,800",78
2018 Quicken Loans National,2018-06-28,102.0,76.4,0.236,9.9,229,77.4,0.0,7.2,303,79.6,0.0,5.7,250,80.7,0.0,6.0,212,TPC Potomac at Avenel Farm,"Potomac, MD",70,7107,Chesson Hadley,71,64,68,68,271,T8,"$198,800",78
2018 Quicken Loans National,2018-06-28,102.0,76.4,0.236,9.9,229,77.4,0.0,7.2,303,79.6,0.0,5.7,250,80.7,0.0,6.0,212,TPC Potomac at Avenel Farm,"Potomac, MD",70,7107,Brian Gay,67,64,72,68,271,T8,"$198,800",78
