TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Justin Thomas,67,72,65,68,272,1,"$1,188,000",500
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Luke List,71,66,66,69,272,2,"$712,800",300
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Alex Noren,66,75,65,67,273,3,"$448,800",190
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Tommy Fleetwood,70,68,67,69,274,4,"$316,800",135
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Byeong Hun An,70,72,69,65,276,T5,"$250,800",105
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Webb Simpson,66,72,66,72,276,T5,"$250,800",105
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Jamie Lovemark,68,69,68,72,277,7,"$221,100",90
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Emiliano Grillo,71,72,69,66,278,T8,"$191,400",80
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Sam Burns,70,71,69,68,278,T8,"$191,400",0
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Kelly Kraft,72,69,66,71,278,T8,"$191,400",80
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Dylan Frittelli,71,72,67,69,279,11,"$165,000",0
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Tiger Woods,70,71,69,70,280,12,"$151,800",65
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Derek Fathauer,73,72,71,65,281,T13,"$123,750",56
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Adam Scott,73,72,67,69,281,T13,"$123,750",56
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Dominic Bozzelli,68,73,71,69,281,T13,"$123,750",56
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Thomas Pieters,69,70,71,71,281,T13,"$123,750",56
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Lucas Glover,70,75,71,66,282,T17,"$86,366",45
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Greg Chalmers,74,71,70,67,282,T17,"$86,366",45
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,C.T. Pan,71,71,71,69,282,T17,"$86,366",45
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Tom Lovelady,75,70,67,70,282,T17,"$86,366",45
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Jason Dufner,69,72,70,71,282,T17,"$86,366",45
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Scott Piercy,70,70,71,71,282,T17,"$86,366",45
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Rory Sabbatini,69,69,71,73,282,T17,"$86,366",45
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Michael Thompson,76,69,70,68,283,T24,"$54,780",34
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,Tyler Duncan,70,74,70,69,283,T24,"$54,780",34
2018 The Honda Classic,2018-02-22,8.0,75.0,0.02,14.2,95,74.8,0.024,15.4,96,74.3,0.106,14.6,113,74.0,0.043,9.8,135,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",70,7140,John Huh,71,73,68,71,283,T24,"$54,780",34
