TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,COURSE_AVERAGE_SCORE,SCORE,TOTAL_SCORE,R1_AVG_SCORE,R2_AVG_SCORE,R3_AVG_SCORE,R4_AVG_SCORE
2018 The Open,2018-07-19,1,15.0,63.2,0.008,11.9,246,Carnoustie Golf Links,"Carnoustie, Scotland",Francesco Molinari,72,7295,,70,276,74.84,75.05,70.23,73.22
2018 The Open,2018-07-20,2,15.0,59.9,0.201,7.6,230,Carnoustie Golf Links,"Carnoustie, Scotland",Francesco Molinari,72,7295,,72,276,74.84,75.05,70.23,73.22
2018 The Open,2018-07-21,3,15.0,63.6,0.008,13.7,246,Carnoustie Golf Links,"Carnoustie, Scotland",Francesco Molinari,72,7295,,65,276,74.84,75.05,70.23,73.22
2018 The Open,2018-07-22,4,15.0,66.6,0.0,16.3,256,Carnoustie Golf Links,"Carnoustie, Scotland",Francesco Molinari,72,7295,,69,276,74.84,75.05,70.23,73.22
2018 The Open,2018-07-19,1,15.0,63.2,0.008,11.9,246,Carnoustie Golf Links,"Carnoustie, Scotland",Justin Rose,72,7295,,72,278,74.84,75.05,70.23,73.22
2018 The Open,2018-07-20,2,15.0,59.9,0.201,7.6,230,Carnoustie Golf Links,"Carnoustie, Scotland",Justin Rose,72,7295,,73,278,74.84,75.05,70.23,73.22
2018 The Open,2018-07-21,3,15.0,63.6,0.008,13.7,246,Carnoustie Golf Links,"Carnoustie, Scotland",Justin Rose,72,7295,,64,278,74.84,75.05,70.23,73.22
2018 The Open,2018-07-22,4,15.0,66.6,0.0,16.3,256,Carnoustie Golf Links,"Carnoustie, Scotland",Justin Rose,72,7295,,69,278,74.84,75.05,70.23,73.22
2018 The Open,2018-07-19,1,15.0,63.2,0.008,11.9,246,Carnoustie Golf Links,"Carnoustie, Scotland",Rory McIlroy,72,7295,,69,278,74.84,75.05,70.23,73.22
2018 The Open,2018-07-20,2,15.0,59.9,0.201,7.6,230,Carnoustie Golf Links,"Carnoustie, Scotland",Rory McIlroy,72,7295,,69,278,74.84,75.05,70.23,73.22
2018 The Open,2018-07-21,3,15.0,63.6,0.008,13.7,246,Carnoustie Golf Links,"Carnoustie, Scotland",Rory McIlroy,72,7295,,70,278,74.84,75.05,70.23,73.22
2018 The Open,2018-07-22,4,15.0,66.6,0.0,16.3,256,Carnoustie Golf Links,"Carnoustie, Scotland",Rory McIlroy,72,7295,,70,278,74.84,75.05,70.23,73.22
2018 The Open,2018-07-19,1,15.0,63.2,0.008,11.9,246,Carnoustie Golf Links,"Carnoustie, Scotland",Xander Schauffele,72,7295,,71,278,74.84,75.05,70.23,73.22
2018 The Open,2018-07-20,2,15.0,59.9,0.201,7.6,230,Carnoustie Golf Links,"Carnoustie, Scotland",Xander Schauffele,72,7295,,66,278,74.84,75.05,70.23,73.22
2018 The Open,2018-07-21,3,15.0,63.6,0.008,13.7,246,Carnoustie Golf Links,"Carnoustie, Scotland",Xander Schauffele,72,7295,,67,278,74.84,75.05,70.23,73.22
