TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Webb Simpson,66,63,68,73,270,1,"$1,980,000",600
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Jimmy Walker,69,68,70,67,274,T2,"$821,333",230
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Xander Schauffele,68,68,71,67,274,T2,"$821,333",230
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Charl Schwartzel,68,66,73,67,274,T2,"$821,333",230
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Jason Dufner,72,69,66,68,275,T5,"$418,000",115
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Jason Day,69,67,71,68,275,T5,"$418,000",115
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Keegan Bradley,69,69,72,66,276,T7,"$331,375",91
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Tommy Fleetwood,69,71,68,68,276,T7,"$331,375",91
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Harold Varner III,71,67,70,68,276,T7,"$331,375",91
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Danny Lee,68,66,70,72,276,T7,"$331,375",91
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Brooks Koepka,70,70,74,63,277,T11,"$225,500",67
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Justin Thomas,73,70,68,66,277,T11,"$225,500",67
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Chesson Hadley,66,69,75,67,277,T11,"$225,500",67
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Adam Scott,69,68,72,68,277,T11,"$225,500",67
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Tiger Woods,72,71,65,69,277,T11,"$225,500",67
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Ian Poulter,70,69,69,69,277,T11,"$225,500",67
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Alex Noren,66,69,77,66,278,T17,"$148,867",52
2018 The Players Championship,2018-05-10,6.0,71.1,0.0,9.7,131,75.4,0.0,9.1,183,74.7,0.0,12.5,148,72.6,0.004,9.0,117,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7189,Jamie Lovemark,76,67,68,67,278,T17,"$148,867",52
