TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2018 Valero Texas Open,2018-04-19,201.0,70.8,0.0,18.3,54,66.6,0.0,16.3,93,68.0,0.028,15.3,131,67.4,0.0,13.5,11,TPC San Antonio (Oaks Course),"San Antonio, TX",72,7435,Andrew Landry,69,67,67,68,271,1,"$1,116,000",500
2018 Valero Texas Open,2018-04-19,201.0,70.8,0.0,18.3,54,66.6,0.0,16.3,93,68.0,0.028,15.3,131,67.4,0.0,13.5,11,TPC San Antonio (Oaks Course),"San Antonio, TX",72,7435,Sean O'Hair,72,70,65,66,273,T2,"$545,600",245
2018 Valero Texas Open,2018-04-19,201.0,70.8,0.0,18.3,54,66.6,0.0,16.3,93,68.0,0.028,15.3,131,67.4,0.0,13.5,11,TPC San Antonio (Oaks Course),"San Antonio, TX",72,7435,Trey Mullinax,74,68,62,69,273,T2,"$545,600",245
2018 Valero Texas Open,2018-04-19,201.0,70.8,0.0,18.3,54,66.6,0.0,16.3,93,68.0,0.028,15.3,131,67.4,0.0,13.5,11,TPC San Antonio (Oaks Course),"San Antonio, TX",72,7435,Jimmy Walker,71,69,67,67,274,4,"$297,600",135
2018 Valero Texas Open,2018-04-19,201.0,70.8,0.0,18.3,54,66.6,0.0,16.3,93,68.0,0.028,15.3,131,67.4,0.0,13.5,11,TPC San Antonio (Oaks Course),"San Antonio, TX",72,7435,Zach Johnson,70,65,68,72,275,5,"$248,000",110
2018 Valero Texas Open,2018-04-19,201.0,70.8,0.0,18.3,54,66.6,0.0,16.3,93,68.0,0.028,15.3,131,67.4,0.0,13.5,11,TPC San Antonio (Oaks Course),"San Antonio, TX",72,7435,Joaquín Niemann,72,70,67,67,276,6,"$223,200",0
2018 Valero Texas Open,2018-04-19,201.0,70.8,0.0,18.3,54,66.6,0.0,16.3,93,68.0,0.028,15.3,131,67.4,0.0,13.5,11,TPC San Antonio (Oaks Course),"San Antonio, TX",72,7435,Ryan Moore,68,67,70,72,277,7,"$207,700",90
2018 Valero Texas Open,2018-04-19,201.0,70.8,0.0,18.3,54,66.6,0.0,16.3,93,68.0,0.028,15.3,131,67.4,0.0,13.5,11,TPC San Antonio (Oaks Course),"San Antonio, TX",72,7435,Kevin Streelman,74,68,69,67,278,T8,"$179,800",80
2018 Valero Texas Open,2018-04-19,201.0,70.8,0.0,18.3,54,66.6,0.0,16.3,93,68.0,0.028,15.3,131,67.4,0.0,13.5,11,TPC San Antonio (Oaks Course),"San Antonio, TX",72,7435,Andrew Putnam,73,68,68,69,278,T8,"$179,800",80
2018 Valero Texas Open,2018-04-19,201.0,70.8,0.0,18.3,54,66.6,0.0,16.3,93,68.0,0.028,15.3,131,67.4,0.0,13.5,11,TPC San Antonio (Oaks Course),"San Antonio, TX",72,7435,Chris Kirk,73,66,68,71,278,T8,"$179,800",80
