TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Sung Kang,65,61,68,67,261,1,"$1,422,000",500
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Scott Piercy,67,69,63,64,263,T2,"$695,200",245
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Matt Every,65,65,67,66,263,T2,"$695,200",245
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Brooks Koepka,65,66,68,65,264,4,"$379,200",135
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Peter Uihlein,69,71,63,64,267,T5,"$267,810",93
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Kiradech Aphibarnrat,69,68,66,64,267,T5,"$267,810",93
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Matt Jones,65,70,65,67,267,T5,"$267,810",93
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Rory Sabbatini,67,65,68,67,267,T5,"$267,810",93
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Tyler Duncan,64,66,70,67,267,T5,"$267,810",93
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Justin Harding,66,73,64,65,268,T10,"$205,400",0
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Sebastián Muñoz,69,66,65,68,268,T10,"$205,400",73
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Pat Perez,67,71,67,64,269,T12,"$154,840",58
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Carlos Ortiz,69,69,66,65,269,T12,"$154,840",58
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Padraig Harrington,69,69,66,65,269,T12,"$154,840",58
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Nicholas Lindheim,70,69,62,68,269,T12,"$154,840",58
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Doug Ghim,69,66,66,68,269,T12,"$154,840",0
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Kramer Hickok,65,73,66,66,270,T17,"$118,500",49
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Vaughn Taylor,69,67,68,66,270,T17,"$118,500",49
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Stephan Jaeger,69,66,67,68,270,T17,"$118,500",49
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Jonas Blixt,65,70,70,66,271,T20,"$95,327",43
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Henrik Stenson,67,69,66,69,271,T20,"$95,327",43
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Shawn Stefani,65,72,64,70,271,T20,"$95,327",43
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Cameron Tringale,69,69,69,65,272,T23,"$68,335",35
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Denny McCarthy,63,77,65,67,272,T23,"$68,335",35
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Hideki Matsuyama,67,70,68,67,272,T23,"$68,335",35
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Thomas Pieters,70,66,69,67,272,T23,"$68,335",0
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Daniel Berger,66,72,66,68,272,T23,"$68,335",35
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Brady Schnell,72,67,64,69,272,T23,"$68,335",35
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Sepp Straka,69,71,68,65,273,T29,"$50,231",26
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Nate Lashley,67,73,67,66,273,T29,"$50,231",26
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Morgan Hoffmann,70,68,65,70,273,T29,"$50,231",26
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Joey Garber,68,69,66,70,273,T29,"$50,231",26
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Davis Riley,68,69,66,70,273,T29,"$50,231",0
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Jordan Spieth,68,67,67,71,273,T29,"$50,231",26
2019 AT&T Byron Nelson,2019-05-09,133.0,67.7,0.031,19.0,7,57.7,0.067,16.1,10,60.6,0.87,9.0,341,63.7,0.0,8.1,316,Trinity Forest Golf Club,"Dallas, TX",71,7371,Russell Henley,71,67,69,67,274,T35,"$36,488",18
