TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",J.B. Holmes,71,7322,63,270
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",J.B. Holmes,71,7322,69,270
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",J.B. Holmes,71,7322,68,270
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",J.B. Holmes,71,7322,70,270
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Justin Thomas,71,7322,66,271
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Justin Thomas,71,7322,65,271
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Justin Thomas,71,7322,65,271
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Justin Thomas,71,7322,75,271
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Si Woo Kim,71,7322,68,272
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Si Woo Kim,71,7322,70,272
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Si Woo Kim,71,7322,68,272
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Si Woo Kim,71,7322,66,272
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Marc Leishman,71,7322,69,273
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Marc Leishman,71,7322,69,273
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Marc Leishman,71,7322,67,273
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Marc Leishman,71,7322,68,273
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Rory McIlroy,71,7322,72,273
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Rory McIlroy,71,7322,63,273
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Rory McIlroy,71,7322,69,273
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Rory McIlroy,71,7322,69,273
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Charles Howell III,71,7322,69,275
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Charles Howell III,71,7322,69,275
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Charles Howell III,71,7322,68,275
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Charles Howell III,71,7322,69,275
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Michael Thompson,71,7322,69,276
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Michael Thompson,71,7322,64,276
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Michael Thompson,71,7322,73,276
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Michael Thompson,71,7322,70,276
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Adam Scott,71,7322,66,276
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Adam Scott,71,7322,65,276
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Adam Scott,71,7322,69,276
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Adam Scott,71,7322,76,276
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Hideki Matsuyama,71,7322,71,277
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Hideki Matsuyama,71,7322,69,277
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Hideki Matsuyama,71,7322,70,277
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Hideki Matsuyama,71,7322,67,277
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Vaughn Taylor,71,7322,67,277
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Vaughn Taylor,71,7322,69,277
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Vaughn Taylor,71,7322,74,277
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Vaughn Taylor,71,7322,67,277
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Dustin Johnson,71,7322,73,277
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Dustin Johnson,71,7322,66,277
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Dustin Johnson,71,7322,69,277
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Dustin Johnson,71,7322,69,277
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Carlos Ortiz,71,7322,67,277
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Carlos Ortiz,71,7322,72,277
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Carlos Ortiz,71,7322,69,277
