TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2019 Houston Open,2019-10-10,21.0,80.0,0.012,14.9,155,72.9,0.189,20.7,1,58.1,0.0,17.7,6,65.3,0.0,9.6,24,Golf Club of Houston,"Houston, TX",72,7441,Lanto Griffin,66,74,65,69,274,1,"$1,350,000",500
2019 Houston Open,2019-10-10,21.0,80.0,0.012,14.9,155,72.9,0.189,20.7,1,58.1,0.0,17.7,6,65.3,0.0,9.6,24,Golf Club of Houston,"Houston, TX",72,7441,Scott Harrington,69,67,72,67,275,T2,"$667,500",245
2019 Houston Open,2019-10-10,21.0,80.0,0.012,14.9,155,72.9,0.189,20.7,1,58.1,0.0,17.7,6,65.3,0.0,9.6,24,Golf Club of Houston,"Houston, TX",72,7441,Mark Hubbard,68,69,69,69,275,T2,"$667,500",245
2019 Houston Open,2019-10-10,21.0,80.0,0.012,14.9,155,72.9,0.189,20.7,1,58.1,0.0,17.7,6,65.3,0.0,9.6,24,Golf Club of Houston,"Houston, TX",72,7441,Xinjun Zhang,67,76,68,66,277,T4,"$286,875",104
2019 Houston Open,2019-10-10,21.0,80.0,0.012,14.9,155,72.9,0.189,20.7,1,58.1,0.0,17.7,6,65.3,0.0,9.6,24,Golf Club of Houston,"Houston, TX",72,7441,Harris English,70,72,69,66,277,T4,"$286,875",104
2019 Houston Open,2019-10-10,21.0,80.0,0.012,14.9,155,72.9,0.189,20.7,1,58.1,0.0,17.7,6,65.3,0.0,9.6,24,Golf Club of Houston,"Houston, TX",72,7441,Carlos Ortiz,70,67,71,69,277,T4,"$286,875",104
2019 Houston Open,2019-10-10,21.0,80.0,0.012,14.9,155,72.9,0.189,20.7,1,58.1,0.0,17.7,6,65.3,0.0,9.6,24,Golf Club of Houston,"Houston, TX",72,7441,Talor Gooch,64,72,72,69,277,T4,"$286,875",104
2019 Houston Open,2019-10-10,21.0,80.0,0.012,14.9,155,72.9,0.189,20.7,1,58.1,0.0,17.7,6,65.3,0.0,9.6,24,Golf Club of Houston,"Houston, TX",72,7441,Sepp Straka,65,71,72,69,277,T4,"$286,875",104
2019 Houston Open,2019-10-10,21.0,80.0,0.012,14.9,155,72.9,0.189,20.7,1,58.1,0.0,17.7,6,65.3,0.0,9.6,24,Golf Club of Houston,"Houston, TX",72,7441,Bud Cauley,72,69,70,67,278,T9,"$196,875",73
2019 Houston Open,2019-10-10,21.0,80.0,0.012,14.9,155,72.9,0.189,20.7,1,58.1,0.0,17.7,6,65.3,0.0,9.6,24,Golf Club of Houston,"Houston, TX",72,7441,Chad Campbell,70,72,68,68,278,T9,"$196,875",73
2019 Houston Open,2019-10-10,21.0,80.0,0.012,14.9,155,72.9,0.189,20.7,1,58.1,0.0,17.7,6,65.3,0.0,9.6,24,Golf Club of Houston,"Houston, TX",72,7441,Denny McCarthy,71,72,66,69,278,T9,"$196,875",73
