TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2019 RBC Canadian Open,2019-06-06,1,101.0,63.8,0.15,7.4,59,Hamilton Golf & Country Club,"Hamilton, ON",Rory McIlroy,70,6967,67,258
2019 RBC Canadian Open,2019-06-07,2,101.0,65.8,0.0,7.8,104,Hamilton Golf & Country Club,"Hamilton, ON",Rory McIlroy,70,6967,66,258
2019 RBC Canadian Open,2019-06-08,3,101.0,62.2,0.0,10.7,46,Hamilton Golf & Country Club,"Hamilton, ON",Rory McIlroy,70,6967,64,258
2019 RBC Canadian Open,2019-06-09,4,101.0,61.4,0.0,8.9,48,Hamilton Golf & Country Club,"Hamilton, ON",Rory McIlroy,70,6967,61,258
2019 RBC Canadian Open,2019-06-06,1,101.0,63.8,0.15,7.4,59,Hamilton Golf & Country Club,"Hamilton, ON",Shane Lowry,70,6967,64,265
2019 RBC Canadian Open,2019-06-07,2,101.0,65.8,0.0,7.8,104,Hamilton Golf & Country Club,"Hamilton, ON",Shane Lowry,70,6967,68,265
2019 RBC Canadian Open,2019-06-08,3,101.0,62.2,0.0,10.7,46,Hamilton Golf & Country Club,"Hamilton, ON",Shane Lowry,70,6967,66,265
2019 RBC Canadian Open,2019-06-09,4,101.0,61.4,0.0,8.9,48,Hamilton Golf & Country Club,"Hamilton, ON",Shane Lowry,70,6967,67,265
2019 RBC Canadian Open,2019-06-06,1,101.0,63.8,0.15,7.4,59,Hamilton Golf & Country Club,"Hamilton, ON",Webb Simpson,70,6967,66,265
2019 RBC Canadian Open,2019-06-07,2,101.0,65.8,0.0,7.8,104,Hamilton Golf & Country Club,"Hamilton, ON",Webb Simpson,70,6967,64,265
2019 RBC Canadian Open,2019-06-08,3,101.0,62.2,0.0,10.7,46,Hamilton Golf & Country Club,"Hamilton, ON",Webb Simpson,70,6967,67,265
2019 RBC Canadian Open,2019-06-09,4,101.0,61.4,0.0,8.9,48,Hamilton Golf & Country Club,"Hamilton, ON",Webb Simpson,70,6967,68,265
2019 RBC Canadian Open,2019-06-06,1,101.0,63.8,0.15,7.4,59,Hamilton Golf & Country Club,"Hamilton, ON",Brandt Snedeker,70,6967,69,267
2019 RBC Canadian Open,2019-06-07,2,101.0,65.8,0.0,7.8,104,Hamilton Golf & Country Club,"Hamilton, ON",Brandt Snedeker,70,6967,60,267
2019 RBC Canadian Open,2019-06-08,3,101.0,62.2,0.0,10.7,46,Hamilton Golf & Country Club,"Hamilton, ON",Brandt Snedeker,70,6967,69,267
2019 RBC Canadian Open,2019-06-09,4,101.0,61.4,0.0,8.9,48,Hamilton Golf & Country Club,"Hamilton, ON",Brandt Snedeker,70,6967,69,267
2019 RBC Canadian Open,2019-06-06,1,101.0,63.8,0.15,7.4,59,Hamilton Golf & Country Club,"Hamilton, ON",Matt Kuchar,70,6967,65,267
2019 RBC Canadian Open,2019-06-07,2,101.0,65.8,0.0,7.8,104,Hamilton Golf & Country Club,"Hamilton, ON",Matt Kuchar,70,6967,63,267
2019 RBC Canadian Open,2019-06-08,3,101.0,62.2,0.0,10.7,46,Hamilton Golf & Country Club,"Hamilton, ON",Matt Kuchar,70,6967,69,267
2019 RBC Canadian Open,2019-06-09,4,101.0,61.4,0.0,8.9,48,Hamilton Golf & Country Club,"Hamilton, ON",Matt Kuchar,70,6967,70,267
2019 RBC Canadian Open,2019-06-06,1,101.0,63.8,0.15,7.4,59,Hamilton Golf & Country Club,"Hamilton, ON",Adam Hadwin,70,6967,65,268
2019 RBC Canadian Open,2019-06-07,2,101.0,65.8,0.0,7.8,104,Hamilton Golf & Country Club,"Hamilton, ON",Adam Hadwin,70,6967,66,268
2019 RBC Canadian Open,2019-06-08,3,101.0,62.2,0.0,10.7,46,Hamilton Golf & Country Club,"Hamilton, ON",Adam Hadwin,70,6967,67,268
2019 RBC Canadian Open,2019-06-09,4,101.0,61.4,0.0,8.9,48,Hamilton Golf & Country Club,"Hamilton, ON",Adam Hadwin,70,6967,70,268
2019 RBC Canadian Open,2019-06-06,1,101.0,63.8,0.15,7.4,59,Hamilton Golf & Country Club,"Hamilton, ON",Sungjae Im,70,6967,64,269
2019 RBC Canadian Open,2019-06-07,2,101.0,65.8,0.0,7.8,104,Hamilton Golf & Country Club,"Hamilton, ON",Sungjae Im,70,6967,68,269
2019 RBC Canadian Open,2019-06-08,3,101.0,62.2,0.0,10.7,46,Hamilton Golf & Country Club,"Hamilton, ON",Sungjae Im,70,6967,73,269
2019 RBC Canadian Open,2019-06-09,4,101.0,61.4,0.0,8.9,48,Hamilton Golf & Country Club,"Hamilton, ON",Sungjae Im,70,6967,64,269
2019 RBC Canadian Open,2019-06-06,1,101.0,63.8,0.15,7.4,59,Hamilton Golf & Country Club,"Hamilton, ON",Danny Willett,70,6967,66,270
2019 RBC Canadian Open,2019-06-07,2,101.0,65.8,0.0,7.8,104,Hamilton Golf & Country Club,"Hamilton, ON",Danny Willett,70,6967,68,270
2019 RBC Canadian Open,2019-06-08,3,101.0,62.2,0.0,10.7,46,Hamilton Golf & Country Club,"Hamilton, ON",Danny Willett,70,6967,69,270
2019 RBC Canadian Open,2019-06-09,4,101.0,61.4,0.0,8.9,48,Hamilton Golf & Country Club,"Hamilton, ON",Danny Willett,70,6967,67,270
2019 RBC Canadian Open,2019-06-06,1,101.0,63.8,0.15,7.4,59,Hamilton Golf & Country Club,"Hamilton, ON",Graeme McDowell,70,6967,65,270
2019 RBC Canadian Open,2019-06-07,2,101.0,65.8,0.0,7.8,104,Hamilton Golf & Country Club,"Hamilton, ON",Graeme McDowell,70,6967,67,270
2019 RBC Canadian Open,2019-06-08,3,101.0,62.2,0.0,10.7,46,Hamilton Golf & Country Club,"Hamilton, ON",Graeme McDowell,70,6967,70,270
2019 RBC Canadian Open,2019-06-09,4,101.0,61.4,0.0,8.9,48,Hamilton Golf & Country Club,"Hamilton, ON",Graeme McDowell,70,6967,68,270
2019 RBC Canadian Open,2019-06-06,1,101.0,63.8,0.15,7.4,59,Hamilton Golf & Country Club,"Hamilton, ON",Henrik Stenson,70,6967,66,270
