TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Shane Lowry,67,67,63,72,269,1,"$1,935,000",600
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Tommy Fleetwood,68,67,66,74,275,2,"$1,120,000",330
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Tony Finau,68,70,68,71,277,3,"$718,000",210
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Lee Westwood,68,67,70,73,278,T4,"$503,500",0
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Brooks Koepka,68,69,67,74,278,T4,"$503,500",135
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Robert MacIntyre,68,72,71,68,279,T6,"$313,000",0
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Tyrrell Hatton,68,71,71,69,279,T6,"$313,000",98
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Danny Willett,74,67,65,73,279,T6,"$313,000",98
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Rickie Fowler,70,69,66,74,279,T6,"$313,000",98
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Patrick Reed,71,67,71,71,280,10,"$223,000",82
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Francesco Molinari,74,69,72,66,281,T11,"$171,700",68
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Tom Lewis,75,68,68,70,281,T11,"$171,700",0
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Justin Thomas,71,70,68,72,281,T11,"$171,700",68
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Alex Noren,68,71,68,74,281,T11,"$171,700",68
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Jon Rahm,68,70,68,75,281,T11,"$171,700",68
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Ryan Fox,68,75,70,69,282,T16,"$126,313",0
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Lucas Bjerregaard,70,68,74,70,282,T16,"$126,313",0
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Rory Sabbatini,70,70,71,71,282,T16,"$126,313",56
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Sungkug Park,69,72,68,73,282,T16,"$126,313",0
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Louis Oosthuizen,70,72,72,69,283,T20,"$91,350",42
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Stewart Cink,74,68,71,70,283,T20,"$91,350",42
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Doc Redman,71,71,71,70,283,T20,"$91,350",0
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Lucas Glover,72,69,71,71,283,T20,"$91,350",42
2019 The Open Championship,2019-07-18,14.0,58.0,0.102,14.1,237,58.6,0.114,8.5,134,58.3,0.016,15.1,316,60.9,0.417,21.5,182,Royal Portrush Golf Club,"Portrush, Northern Ireland",71,7344,Matt Fitzpatrick,71,69,70,73,283,T20,"$91,350",0
