TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,COURSE_AVERAGE_SCORE,SCORE,TOTAL_SCORE
2019 U.S. Open,2019-06-13,1,14.0,58.8,0.0,14.1,228,Pebble Beach Golf Links,"Pebble Beach, CA",Gary Woodland,71,7075,72.89,68,271
2019 U.S. Open,2019-06-14,2,14.0,57.7,0.008,11.7,254,Pebble Beach Golf Links,"Pebble Beach, CA",Gary Woodland,71,7075,72.89,65,271
2019 U.S. Open,2019-06-15,3,14.0,56.1,0.0,10.5,287,Pebble Beach Golf Links,"Pebble Beach, CA",Gary Woodland,71,7075,72.89,69,271
2019 U.S. Open,2019-06-16,4,14.0,56.3,0.0,8.1,268,Pebble Beach Golf Links,"Pebble Beach, CA",Gary Woodland,71,7075,72.89,69,271
2019 U.S. Open,2019-06-13,1,14.0,58.8,0.0,14.1,228,Pebble Beach Golf Links,"Pebble Beach, CA",Brooks Koepka,71,7075,72.89,69,274
2019 U.S. Open,2019-06-14,2,14.0,57.7,0.008,11.7,254,Pebble Beach Golf Links,"Pebble Beach, CA",Brooks Koepka,71,7075,72.89,69,274
2019 U.S. Open,2019-06-15,3,14.0,56.1,0.0,10.5,287,Pebble Beach Golf Links,"Pebble Beach, CA",Brooks Koepka,71,7075,72.89,68,274
2019 U.S. Open,2019-06-16,4,14.0,56.3,0.0,8.1,268,Pebble Beach Golf Links,"Pebble Beach, CA",Brooks Koepka,71,7075,72.89,68,274
2019 U.S. Open,2019-06-13,1,14.0,58.8,0.0,14.1,228,Pebble Beach Golf Links,"Pebble Beach, CA",Xander Schauffele,71,7075,72.89,66,277
2019 U.S. Open,2019-06-14,2,14.0,57.7,0.008,11.7,254,Pebble Beach Golf Links,"Pebble Beach, CA",Xander Schauffele,71,7075,72.89,73,277
2019 U.S. Open,2019-06-15,3,14.0,56.1,0.0,10.5,287,Pebble Beach Golf Links,"Pebble Beach, CA",Xander Schauffele,71,7075,72.89,71,277
2019 U.S. Open,2019-06-16,4,14.0,56.3,0.0,8.1,268,Pebble Beach Golf Links,"Pebble Beach, CA",Xander Schauffele,71,7075,72.89,67,277
2019 U.S. Open,2019-06-13,1,14.0,58.8,0.0,14.1,228,Pebble Beach Golf Links,"Pebble Beach, CA",Jon Rahm,71,7075,72.89,69,277
2019 U.S. Open,2019-06-14,2,14.0,57.7,0.008,11.7,254,Pebble Beach Golf Links,"Pebble Beach, CA",Jon Rahm,71,7075,72.89,70,277
2019 U.S. Open,2019-06-15,3,14.0,56.1,0.0,10.5,287,Pebble Beach Golf Links,"Pebble Beach, CA",Jon Rahm,71,7075,72.89,70,277
2019 U.S. Open,2019-06-16,4,14.0,56.3,0.0,8.1,268,Pebble Beach Golf Links,"Pebble Beach, CA",Jon Rahm,71,7075,72.89,68,277
2019 U.S. Open,2019-06-13,1,14.0,58.8,0.0,14.1,228,Pebble Beach Golf Links,"Pebble Beach, CA",Chez Reavie,71,7075,72.89,68,277
2019 U.S. Open,2019-06-14,2,14.0,57.7,0.008,11.7,254,Pebble Beach Golf Links,"Pebble Beach, CA",Chez Reavie,71,7075,72.89,70,277
2019 U.S. Open,2019-06-15,3,14.0,56.1,0.0,10.5,287,Pebble Beach Golf Links,"Pebble Beach, CA",Chez Reavie,71,7075,72.89,68,277
2019 U.S. Open,2019-06-16,4,14.0,56.3,0.0,8.1,268,Pebble Beach Golf Links,"Pebble Beach, CA",Chez Reavie,71,7075,72.89,71,277
2019 U.S. Open,2019-06-13,1,14.0,58.8,0.0,14.1,228,Pebble Beach Golf Links,"Pebble Beach, CA",Justin Rose,71,7075,72.89,65,277
2019 U.S. Open,2019-06-14,2,14.0,57.7,0.008,11.7,254,Pebble Beach Golf Links,"Pebble Beach, CA",Justin Rose,71,7075,72.89,70,277
2019 U.S. Open,2019-06-15,3,14.0,56.1,0.0,10.5,287,Pebble Beach Golf Links,"Pebble Beach, CA",Justin Rose,71,7075,72.89,68,277
2019 U.S. Open,2019-06-16,4,14.0,56.3,0.0,8.1,268,Pebble Beach Golf Links,"Pebble Beach, CA",Justin Rose,71,7075,72.89,74,277
2019 U.S. Open,2019-06-13,1,14.0,58.8,0.0,14.1,228,Pebble Beach Golf Links,"Pebble Beach, CA",Adam Scott,71,7075,72.89,70,278
2019 U.S. Open,2019-06-14,2,14.0,57.7,0.008,11.7,254,Pebble Beach Golf Links,"Pebble Beach, CA",Adam Scott,71,7075,72.89,69,278
2019 U.S. Open,2019-06-15,3,14.0,56.1,0.0,10.5,287,Pebble Beach Golf Links,"Pebble Beach, CA",Adam Scott,71,7075,72.89,71,278
2019 U.S. Open,2019-06-16,4,14.0,56.3,0.0,8.1,268,Pebble Beach Golf Links,"Pebble Beach, CA",Adam Scott,71,7075,72.89,68,278
2019 U.S. Open,2019-06-13,1,14.0,58.8,0.0,14.1,228,Pebble Beach Golf Links,"Pebble Beach, CA",Louis Oosthuizen,71,7075,72.89,66,278
2019 U.S. Open,2019-06-14,2,14.0,57.7,0.008,11.7,254,Pebble Beach Golf Links,"Pebble Beach, CA",Louis Oosthuizen,71,7075,72.89,70,278
2019 U.S. Open,2019-06-15,3,14.0,56.1,0.0,10.5,287,Pebble Beach Golf Links,"Pebble Beach, CA",Louis Oosthuizen,71,7075,72.89,70,278
2019 U.S. Open,2019-06-16,4,14.0,56.3,0.0,8.1,268,Pebble Beach Golf Links,"Pebble Beach, CA",Louis Oosthuizen,71,7075,72.89,72,278
2019 U.S. Open,2019-06-13,1,14.0,58.8,0.0,14.1,228,Pebble Beach Golf Links,"Pebble Beach, CA",Henrik Stenson,71,7075,72.89,68,279
2019 U.S. Open,2019-06-14,2,14.0,57.7,0.008,11.7,254,Pebble Beach Golf Links,"Pebble Beach, CA",Henrik Stenson,71,7075,72.89,71,279
2019 U.S. Open,2019-06-15,3,14.0,56.1,0.0,10.5,287,Pebble Beach Golf Links,"Pebble Beach, CA",Henrik Stenson,71,7075,72.89,70,279
2019 U.S. Open,2019-06-16,4,14.0,56.3,0.0,8.1,268,Pebble Beach Golf Links,"Pebble Beach, CA",Henrik Stenson,71,7075,72.89,70,279
2019 U.S. Open,2019-06-13,1,14.0,58.8,0.0,14.1,228,Pebble Beach Golf Links,"Pebble Beach, CA",Chesson Hadley,71,7075,72.89,68,279
2019 U.S. Open,2019-06-14,2,14.0,57.7,0.008,11.7,254,Pebble Beach Golf Links,"Pebble Beach, CA",Chesson Hadley,71,7075,72.89,70,279
2019 U.S. Open,2019-06-15,3,14.0,56.1,0.0,10.5,287,Pebble Beach Golf Links,"Pebble Beach, CA",Chesson Hadley,71,7075,72.89,70,279
2019 U.S. Open,2019-06-16,4,14.0,56.3,0.0,8.1,268,Pebble Beach Golf Links,"Pebble Beach, CA",Chesson Hadley,71,7075,72.89,71,279
2019 U.S. Open,2019-06-13,1,14.0,58.8,0.0,14.1,228,Pebble Beach Golf Links,"Pebble Beach, CA",Rory McIlroy,71,7075,72.89,68,279
2019 U.S. Open,2019-06-14,2,14.0,57.7,0.008,11.7,254,Pebble Beach Golf Links,"Pebble Beach, CA",Rory McIlroy,71,7075,72.89,69,279
2019 U.S. Open,2019-06-15,3,14.0,56.1,0.0,10.5,287,Pebble Beach Golf Links,"Pebble Beach, CA",Rory McIlroy,71,7075,72.89,70,279
2019 U.S. Open,2019-06-16,4,14.0,56.3,0.0,8.1,268,Pebble Beach Golf Links,"Pebble Beach, CA",Rory McIlroy,71,7075,72.89,72,279
2019 U.S. Open,2019-06-13,1,14.0,58.8,0.0,14.1,228,Pebble Beach Golf Links,"Pebble Beach, CA",Viktor Hovland,71,7075,72.89,69,280
