TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Paul Casey,70,66,68,72,276,1,"$1,206,000",500
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Louis Oosthuizen,70,72,66,69,277,T2,"$589,600",245
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Jason Kokrak,69,71,66,71,277,T2,"$589,600",245
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Bubba Watson,69,71,70,68,278,T4,"$294,800",123
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Sungjae Im,70,67,71,70,278,T4,"$294,800",123
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Jon Rahm,71,68,72,68,279,T6,"$224,450",92
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Ryan Armour,70,72,68,69,279,T6,"$224,450",92
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Dustin Johnson,69,69,67,74,279,T6,"$224,450",92
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Denny McCarthy,68,74,69,69,280,T9,"$174,200",73
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Austin Cook,69,67,72,72,280,T9,"$174,200",73
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Scott Stallings,69,68,70,73,280,T9,"$174,200",73
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Luke Donald,67,70,70,73,280,T9,"$174,200",73
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Bill Haas,72,70,69,70,281,T13,"$121,940",55
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Lucas Glover,72,67,72,70,281,T13,"$121,940",55
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Mackenzie Hughes,70,72,68,71,281,T13,"$121,940",55
2019 Valspar Championship,2019-03-21,16.0,64.0,0.0,14.2,324,64.1,0.0,15.0,311,62.0,0.0,9.4,349,66.3,0.0,11.5,96,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71,7340,Matt Jones,73,68,68,72,281,T13,"$121,940",55
