TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2020 Arnold Palmer Invitational Pres. By Mastercard,2020-03-05,35.0,77.0,0.004,22.6,221,70.3,0.098,17.0,286,57.9,0.0,15.8,9,59.3,0.0,17.8,50,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL",72,7454,Tyrrell Hatton,68,69,73,74,284,1,"$1,674,000",500
2020 Arnold Palmer Invitational Pres. By Mastercard,2020-03-05,35.0,77.0,0.004,22.6,221,70.3,0.098,17.0,286,57.9,0.0,15.8,9,59.3,0.0,17.8,50,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL",72,7454,Marc Leishman,71,69,72,73,285,2,"$1,013,700",300
2020 Arnold Palmer Invitational Pres. By Mastercard,2020-03-05,35.0,77.0,0.004,22.6,221,70.3,0.098,17.0,286,57.9,0.0,15.8,9,59.3,0.0,17.8,50,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL",72,7454,Sungjae Im,70,69,74,73,286,3,"$641,700",190
2020 Arnold Palmer Invitational Pres. By Mastercard,2020-03-05,35.0,77.0,0.004,22.6,221,70.3,0.098,17.0,286,57.9,0.0,15.8,9,59.3,0.0,17.8,50,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL",72,7454,Bryson DeChambeau,73,71,72,71,287,4,"$455,700",135
2020 Arnold Palmer Invitational Pres. By Mastercard,2020-03-05,35.0,77.0,0.004,22.6,221,70.3,0.098,17.0,286,57.9,0.0,15.8,9,59.3,0.0,17.8,50,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL",72,7454,Joel Dahmen,72,72,73,71,288,T5,"$330,731",96
2020 Arnold Palmer Invitational Pres. By Mastercard,2020-03-05,35.0,77.0,0.004,22.6,221,70.3,0.098,17.0,286,57.9,0.0,15.8,9,59.3,0.0,17.8,50,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL",72,7454,Keith Mitchell,68,75,74,71,288,T5,"$330,731",96
2020 Arnold Palmer Invitational Pres. By Mastercard,2020-03-05,35.0,77.0,0.004,22.6,221,70.3,0.098,17.0,286,57.9,0.0,15.8,9,59.3,0.0,17.8,50,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL",72,7454,Danny Lee,71,67,75,75,288,T5,"$330,731",96
2020 Arnold Palmer Invitational Pres. By Mastercard,2020-03-05,35.0,77.0,0.004,22.6,221,70.3,0.098,17.0,286,57.9,0.0,15.8,9,59.3,0.0,17.8,50,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL",72,7454,Rory McIlroy,66,73,73,76,288,T5,"$330,731",96
2020 Arnold Palmer Invitational Pres. By Mastercard,2020-03-05,35.0,77.0,0.004,22.6,221,70.3,0.098,17.0,286,57.9,0.0,15.8,9,59.3,0.0,17.8,50,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL",72,7454,Matt Fitzpatrick,70,75,75,69,289,T9,"$244,125",73
2020 Arnold Palmer Invitational Pres. By Mastercard,2020-03-05,35.0,77.0,0.004,22.6,221,70.3,0.098,17.0,286,57.9,0.0,15.8,9,59.3,0.0,17.8,50,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL",72,7454,Collin Morikawa,70,71,75,73,289,T9,"$244,125",73
