TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2020 Charles Schwab Challenge,2020-06-11,1,195.0,79.3,0.0,8.6,57,Colonial Country Club,"Fort Worth, TX",Daniel Berger,70,7209,65,265
2020 Charles Schwab Challenge,2020-06-12,2,195.0,79.4,0.0,8.1,107,Colonial Country Club,"Fort Worth, TX",Daniel Berger,70,7209,67,265
2020 Charles Schwab Challenge,2020-06-13,3,195.0,82.0,0.0,9.2,126,Colonial Country Club,"Fort Worth, TX",Daniel Berger,70,7209,67,265
2020 Charles Schwab Challenge,2020-06-14,4,195.0,82.7,0.0,12.3,126,Colonial Country Club,"Fort Worth, TX",Daniel Berger,70,7209,66,265
2020 Charles Schwab Challenge,2020-06-11,1,195.0,79.3,0.0,8.6,57,Colonial Country Club,"Fort Worth, TX",Collin Morikawa,70,7209,64,265
2020 Charles Schwab Challenge,2020-06-12,2,195.0,79.4,0.0,8.1,107,Colonial Country Club,"Fort Worth, TX",Collin Morikawa,70,7209,67,265
2020 Charles Schwab Challenge,2020-06-13,3,195.0,82.0,0.0,9.2,126,Colonial Country Club,"Fort Worth, TX",Collin Morikawa,70,7209,67,265
2020 Charles Schwab Challenge,2020-06-14,4,195.0,82.7,0.0,12.3,126,Colonial Country Club,"Fort Worth, TX",Collin Morikawa,70,7209,67,265
2020 Charles Schwab Challenge,2020-06-11,1,195.0,79.3,0.0,8.6,57,Colonial Country Club,"Fort Worth, TX",Jason Kokrak,70,7209,67,266
2020 Charles Schwab Challenge,2020-06-12,2,195.0,79.4,0.0,8.1,107,Colonial Country Club,"Fort Worth, TX",Jason Kokrak,70,7209,70,266
2020 Charles Schwab Challenge,2020-06-13,3,195.0,82.0,0.0,9.2,126,Colonial Country Club,"Fort Worth, TX",Jason Kokrak,70,7209,65,266
2020 Charles Schwab Challenge,2020-06-14,4,195.0,82.7,0.0,12.3,126,Colonial Country Club,"Fort Worth, TX",Jason Kokrak,70,7209,64,266
2020 Charles Schwab Challenge,2020-06-11,1,195.0,79.3,0.0,8.6,57,Colonial Country Club,"Fort Worth, TX",Justin Rose,70,7209,63,266
2020 Charles Schwab Challenge,2020-06-12,2,195.0,79.4,0.0,8.1,107,Colonial Country Club,"Fort Worth, TX",Justin Rose,70,7209,69,266
2020 Charles Schwab Challenge,2020-06-13,3,195.0,82.0,0.0,9.2,126,Colonial Country Club,"Fort Worth, TX",Justin Rose,70,7209,68,266
2020 Charles Schwab Challenge,2020-06-14,4,195.0,82.7,0.0,12.3,126,Colonial Country Club,"Fort Worth, TX",Justin Rose,70,7209,66,266
2020 Charles Schwab Challenge,2020-06-11,1,195.0,79.3,0.0,8.6,57,Colonial Country Club,"Fort Worth, TX",Bryson DeChambeau,70,7209,65,266
2020 Charles Schwab Challenge,2020-06-12,2,195.0,79.4,0.0,8.1,107,Colonial Country Club,"Fort Worth, TX",Bryson DeChambeau,70,7209,65,266
2020 Charles Schwab Challenge,2020-06-13,3,195.0,82.0,0.0,9.2,126,Colonial Country Club,"Fort Worth, TX",Bryson DeChambeau,70,7209,70,266
2020 Charles Schwab Challenge,2020-06-14,4,195.0,82.7,0.0,12.3,126,Colonial Country Club,"Fort Worth, TX",Bryson DeChambeau,70,7209,66,266
