TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Adam Scott,72,64,67,70,273,1,"$1,674,000",500
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Scott Brown,71,68,68,68,275,T2,"$703,700",208
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Sung Kang,69,67,70,69,275,T2,"$703,700",208
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Matt Kuchar,64,69,70,72,275,T2,"$703,700",208
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Hideki Matsuyama,71,72,64,69,276,T5,"$318,990",93
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Bryson DeChambeau,68,70,69,69,276,T5,"$318,990",93
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Max Homa,72,69,65,70,276,T5,"$318,990",93
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Joel Dahmen,68,71,66,71,276,T5,"$318,990",93
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Rory McIlroy,68,67,68,73,276,T5,"$318,990",93
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Chez Reavie,69,68,71,69,277,T10,"$234,825",70
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Talor Gooch,70,72,64,71,277,T10,"$234,825",70
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Dustin Johnson,72,66,67,72,277,T10,"$234,825",70
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Vaughn Taylor,69,67,74,68,278,T13,"$176,700",56
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,K.H. Lee,67,73,69,69,278,T13,"$176,700",56
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,James Hahn,68,70,70,70,278,T13,"$176,700",56
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Harold Varner III,67,68,69,74,278,T13,"$176,700",56
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Patrick Cantlay,68,72,71,68,279,T17,"$127,875",46
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Scott Piercy,70,69,70,70,279,T17,"$127,875",46
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Rafa Cabrera Bello,68,69,72,70,279,T17,"$127,875",46
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Jon Rahm,70,68,69,72,279,T17,"$127,875",46
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Wyndham Clark,67,68,72,72,279,T17,"$127,875",46
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Russell Henley,67,69,68,75,279,T17,"$127,875",46
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Xander Schauffele,72,70,69,69,280,T23,"$89,745",37
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Sam Burns,73,68,69,70,280,T23,"$89,745",37
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Brian Stuard,72,68,69,71,280,T23,"$89,745",37
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Adam Hadwin,71,71,69,70,281,T26,"$70,680",32
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Carlos Ortiz,68,70,71,72,281,T26,"$70,680",32
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Collin Morikawa,73,67,68,73,281,T26,"$70,680",32
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Sebastián Muñoz,69,69,70,73,281,T26,"$70,680",32
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Patrick Rodgers,71,71,70,70,282,T30,"$55,734",24
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Scottie Scheffler,69,72,71,70,282,T30,"$55,734",24
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Ryan Moore,71,71,69,71,282,T30,"$55,734",24
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,J.T. Poston,69,72,70,71,282,T30,"$55,734",24
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Cameron Tringale,74,69,67,72,282,T30,"$55,734",24
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Matt Fitzpatrick,71,70,68,73,282,T30,"$55,734",24
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Luke List,71,68,68,75,282,T30,"$55,734",24
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Denny McCarthy,69,72,70,72,283,T37,"$41,385",17
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Sergio Garcia,70,70,71,72,283,T37,"$41,385",17
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Lanto Griffin,71,70,69,73,283,T37,"$41,385",17
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Andrew Landry,68,72,70,73,283,T37,"$41,385",17
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Si Woo Kim,69,69,72,73,283,T37,"$41,385",17
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Paul Casey,69,69,70,75,283,T37,"$41,385",17
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Abraham Ancer,76,67,70,71,284,T43,"$32,085",12
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Martin Laird,71,71,70,72,284,T43,"$32,085",12
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Marc Leishman,70,72,68,74,284,T43,"$32,085",12
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Brooks Koepka,69,73,68,74,284,T43,"$32,085",12
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Brian Harman,70,69,74,72,285,T47,"$25,482",9
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Pat Perez,73,70,69,73,285,T47,"$25,482",9
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Martin Trainer,72,71,68,74,285,T47,"$25,482",9
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Adam Schenk,67,73,71,74,285,T47,"$25,482",9
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Tony Finau,72,71,71,72,286,T51,"$22,487",7
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,J.B. Holmes,69,69,76,72,286,T51,"$22,487",7
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Bud Cauley,74,69,70,73,286,T51,"$22,487",7
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Patrick Reed,68,73,71,74,286,T51,"$22,487",7
2020 The Genesis Invitational,2020-02-13,106.0,53.1,0.0,6.5,286,55.0,0.0,8.4,257,53.1,0.0,5.9,186,54.1,0.0,7.4,138,Riviera Country Club,"Pacific Palisades, CA",71,7322,Joseph Bramlett,74,69,68,75,286,T51,"$22,487",7
