TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Bryson DeChambeau,69,68,70,67,274,1,"$2,250,000",600
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Matthew Wolff,66,74,65,75,280,2,"$1,350,000",330
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Louis Oosthuizen,67,74,68,73,282,3,"$861,457",210
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Harris English,68,70,72,73,283,4,"$603,903",150
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Xander Schauffele,68,72,70,74,284,5,"$502,993",120
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Dustin Johnson,73,70,72,70,285,T6,"$424,040",105
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Will Zalatoris,70,74,70,71,285,T6,"$424,040",0
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Tony Finau,69,73,73,71,286,T8,"$302,236",83
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Justin Thomas,65,73,76,72,286,T8,"$302,236",83
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Webb Simpson,71,71,71,73,286,T8,"$302,236",83
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Zach Johnson,70,74,68,74,286,T8,"$302,236",83
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Rory McIlroy,67,76,68,75,286,T8,"$302,236",83
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Lee Westwood,67,76,72,72,287,T13,"$210,757",63
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Adam Long,71,74,69,73,287,T13,"$210,757",63
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Patrick Reed,66,70,77,74,287,T13,"$210,757",63
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Viktor Hovland,71,71,70,75,287,T13,"$210,757",63
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Jason Kokrak,68,71,77,72,288,T17,"$157,931",53
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Paul Casey,76,70,69,73,288,T17,"$157,931",53
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Alex Noren,72,74,67,75,288,T17,"$157,931",53
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Lucas Glover,71,71,71,75,288,T17,"$157,931",53
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Hideki Matsuyama,71,69,70,78,288,T17,"$157,931",53
2020 U.S. Open,2020-09-17,14.0,67.0,0.0,9.4,217,65.2,0.0,13.2,4,56.8,0.0,14.5,4,55.9,0.0,11.4,32,Winged Foot GC,"Mamaroneck, NY",70,7477,Sungjae Im,70,75,73,71,289,22,"$129,407",46
