TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Webb Simpson,71,63,64,69,267,1,"$1,314,000",500
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Tony Finau,69,66,62,70,267,2,"$795,700",300
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Justin Thomas,68,68,69,65,270,T3,"$386,900",145
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Bubba Watson,69,66,69,66,270,T3,"$386,900",145
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Nate Lashley,66,67,69,68,270,T3,"$386,900",145
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Max Homa,72,67,64,68,271,T6,"$255,500",95
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Scott Piercy,67,65,68,71,271,T6,"$255,500",95
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Adam Long,66,68,66,72,272,8,"$228,125",85
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Daniel Berger,69,71,66,67,273,T9,"$170,768",66
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Branden Grace,67,67,70,69,273,T9,"$170,768",66
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Billy Horschel,63,68,73,69,273,T9,"$170,768",66
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Jon Rahm,67,68,68,70,273,T9,"$170,768",66
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Byeong Hun An,65,66,70,72,273,T9,"$170,768",66
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Mark Hubbard,69,68,64,72,273,T9,"$170,768",66
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Hudson Swafford,66,67,66,74,273,T9,"$170,768",66
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Hideki Matsuyama,67,74,65,68,274,T16,"$97,212",45
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Patrick Rodgers,67,69,70,68,274,T16,"$97,212",45
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Russell Knox,71,67,67,69,274,T16,"$97,212",45
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Matt Kuchar,68,70,67,69,274,T16,"$97,212",45
2020 Waste Management Phoenix Open,2020-01-30,387.0,54.5,0.0,10.1,351,56.0,0.0,13.2,26,58.6,0.0,9.9,58,61.8,0.0,10.1,87,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71,7261,Keith Mitchell,68,67,70,69,274,T16,"$97,212",45
