TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Jon Rahm,69,67,68,75,279,1,"$1,674,000",500
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Ryan Palmer,67,68,73,74,282,2,"$1,013,700",300
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Matt Fitzpatrick,75,66,74,68,283,3,"$641,700",190
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Matt Wallace,72,70,70,72,284,T4,"$418,500",123
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Jason Day,73,66,72,73,284,T4,"$418,500",123
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Mackenzie Hughes,74,66,73,72,285,T6,"$325,500",95
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Henrik Norlander,74,66,71,74,285,T6,"$325,500",95
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Tony Finau,66,69,73,78,286,8,"$290,625",85
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Kevin Na,74,69,71,73,287,9,"$272,025",80
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Patrick Reed,71,76,70,71,288,T10,"$234,825",70
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Luke List,70,68,79,71,288,T10,"$234,825",70
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Xinjun Zhang,72,73,70,73,288,T10,"$234,825",70
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Xander Schauffele,78,69,72,70,289,T13,"$171,585",55
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Billy Horschel,76,71,70,72,289,T13,"$171,585",55
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Harris English,70,73,74,72,289,T13,"$171,585",55
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Brendan Steele,68,75,71,75,289,T13,"$171,585",55
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Jordan Spieth,70,70,74,75,289,T13,"$171,585",55
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Steve Stricker,73,67,77,73,290,T18,"$127,875",46
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Si Woo Kim,73,73,70,74,290,T18,"$127,875",46
2020 the Memorial Tournament pres. by Nationwide,2020-07-16,255.0,79.5,0.071,17.0,198,78.1,0.02,9.4,279,78.8,0.016,8.2,216,83.8,0.004,13.4,233,Muirfield Village Golf Club,"Dublin, OH",72,7456,Justin Thomas,74,67,75,74,290,T18,"$127,875",46
