TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Cam Davis,68,68,67,67,270,1,"$1,350,000",500
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Troy Merritt,67,68,67,68,270,T2,"$667,500",245
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Joaquín Niemann,65,69,68,68,270,T2,"$667,500",245
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Alex Noren,70,70,67,64,271,T4,"$337,500",123
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Hank Lebioda,67,70,66,68,271,T4,"$337,500",123
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Bubba Watson,68,73,67,64,272,T6,"$262,500",95
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Brandon Hagy,65,71,68,68,272,T6,"$262,500",95
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Mark Anderson,70,70,67,66,273,T8,"$211,875",78
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Séamus Power,66,71,69,67,273,T8,"$211,875",78
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Sungjae Im,69,68,69,67,273,T8,"$211,875",78
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Kevin Kisner,67,69,69,68,273,T8,"$211,875",78
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Jason Kokrak,69,69,67,69,274,T12,"$166,875",63
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Chris Kirk,67,68,70,69,274,T12,"$166,875",63
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Cameron Tringale,71,70,68,66,275,T14,"$121,875",51
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Jason Day,67,73,69,66,275,T14,"$121,875",51
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Fabián Gómez,67,71,70,67,275,T14,"$121,875",51
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Mackenzie Hughes,71,69,67,68,275,T14,"$121,875",51
2021 Rocket Mortgage Classic,2021-07-01,183.0,71.3,0.213,13.8,4,64.7,0.059,17.3,1,66.7,0.0,10.9,298,75.7,0.012,9.6,270,Detroit Golf Club,"Detroit, MI",72,7370,Keegan Bradley,71,68,68,68,275,T14,"$121,875",51
