TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2021 THE CJ CUP @ SUMMIT,2021-10-14,620.0,58.7,0.0,5.7,341,61.3,0.0,14.4,39,64.5,0.0,9.1,59,67.9,0.0,13.1,240,The Summit Club,"Las Vegas, NV",72,7431,Rory McIlroy,68,67,62,66,263,1,"$1,755,000",500
2021 THE CJ CUP @ SUMMIT,2021-10-14,620.0,58.7,0.0,5.7,341,61.3,0.0,14.4,39,64.5,0.0,9.1,59,67.9,0.0,13.1,240,The Summit Club,"Las Vegas, NV",72,7431,Collin Morikawa,67,70,65,62,264,2,"$1,053,000",300
2021 THE CJ CUP @ SUMMIT,2021-10-14,620.0,58.7,0.0,5.7,341,61.3,0.0,14.4,39,64.5,0.0,9.1,59,67.9,0.0,13.1,240,The Summit Club,"Las Vegas, NV",72,7431,Keith Mitchell,62,64,73,67,266,T3,"$565,500",163
2021 THE CJ CUP @ SUMMIT,2021-10-14,620.0,58.7,0.0,5.7,341,61.3,0.0,14.4,39,64.5,0.0,9.1,59,67.9,0.0,13.1,240,The Summit Club,"Las Vegas, NV",72,7431,Rickie Fowler,66,66,63,71,266,T3,"$565,500",163
2021 THE CJ CUP @ SUMMIT,2021-10-14,620.0,58.7,0.0,5.7,341,61.3,0.0,14.4,39,64.5,0.0,9.1,59,67.9,0.0,13.1,240,The Summit Club,"Las Vegas, NV",72,7431,Talor Gooch,67,68,70,62,267,T5,"$342,469",96
2021 THE CJ CUP @ SUMMIT,2021-10-14,620.0,58.7,0.0,5.7,341,61.3,0.0,14.4,39,64.5,0.0,9.1,59,67.9,0.0,13.1,240,The Summit Club,"Las Vegas, NV",72,7431,Sam Burns,67,68,66,66,267,T5,"$342,469",96
2021 THE CJ CUP @ SUMMIT,2021-10-14,620.0,58.7,0.0,5.7,341,61.3,0.0,14.4,39,64.5,0.0,9.1,59,67.9,0.0,13.1,240,The Summit Club,"Las Vegas, NV",72,7431,Aaron Wise,66,67,68,66,267,T5,"$342,469",96
2021 THE CJ CUP @ SUMMIT,2021-10-14,620.0,58.7,0.0,5.7,341,61.3,0.0,14.4,39,64.5,0.0,9.1,59,67.9,0.0,13.1,240,The Summit Club,"Las Vegas, NV",72,7431,Adam Scott,68,63,67,69,267,T5,"$342,469",96
2021 THE CJ CUP @ SUMMIT,2021-10-14,620.0,58.7,0.0,5.7,341,61.3,0.0,14.4,39,64.5,0.0,9.1,59,67.9,0.0,13.1,240,The Summit Club,"Las Vegas, NV",72,7431,Sungjae Im,68,69,67,64,268,T9,"$243,750",70
2021 THE CJ CUP @ SUMMIT,2021-10-14,620.0,58.7,0.0,5.7,341,61.3,0.0,14.4,39,64.5,0.0,9.1,59,67.9,0.0,13.1,240,The Summit Club,"Las Vegas, NV",72,7431,Gary Woodland,68,69,66,65,268,T9,"$243,750",70
2021 THE CJ CUP @ SUMMIT,2021-10-14,620.0,58.7,0.0,5.7,341,61.3,0.0,14.4,39,64.5,0.0,9.1,59,67.9,0.0,13.1,240,The Summit Club,"Las Vegas, NV",72,7431,Harry Higgs,64,67,70,67,268,T9,"$243,750",70
2021 THE CJ CUP @ SUMMIT,2021-10-14,620.0,58.7,0.0,5.7,341,61.3,0.0,14.4,39,64.5,0.0,9.1,59,67.9,0.0,13.1,240,The Summit Club,"Las Vegas, NV",72,7431,Cameron Smith,66,67,67,68,268,T9,"$243,750",70
2021 THE CJ CUP @ SUMMIT,2021-10-14,620.0,58.7,0.0,5.7,341,61.3,0.0,14.4,39,64.5,0.0,9.1,59,67.9,0.0,13.1,240,The Summit Club,"Las Vegas, NV",72,7431,Robert Streb,61,72,65,70,268,T9,"$243,750",70
