TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Collin Morikawa,70,64,67,69,270,1,"$1,820,000",550
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Viktor Hovland,71,69,66,67,273,T2,"$783,333",218
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Billy Horschel,67,67,69,70,273,T2,"$783,333",218
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Brooks Koepka,67,66,70,70,273,T2,"$783,333",218
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Scottie Scheffler,69,70,67,68,274,5,"$430,000",115
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Louis Oosthuizen,69,68,70,69,276,T6,"$320,667",96
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Rory McIlroy,69,70,66,71,276,T6,"$320,667",96
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Webb Simpson,66,69,69,72,276,T6,"$320,667",96
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Jason Kokrak,70,69,69,69,277,T9,"$237,500",81
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Patrick Reed,68,68,69,72,277,T9,"$237,500",81
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Kevin Na,73,69,69,67,278,T11,"$189,667",69
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Cameron Smith,68,66,77,67,278,T11,"$189,667",69
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Matt Fitzpatrick,66,69,71,72,278,T11,"$189,667",69
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Tony Finau,68,67,72,72,279,14,"$165,000",62
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Carlos Ortiz,73,72,69,66,280,T15,"$147,333",57
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Justin Thomas,73,66,70,71,280,T15,"$147,333",57
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Hideki Matsuyama,72,66,68,74,280,T15,"$147,333",57
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Brendon Todd,74,71,67,69,281,T18,"$125,500",51
2021 WGC-Workday Championship at The Concession,2021-02-25,3.0,64.0,0.0,8.5,358,68.4,0.0,8.9,62,71.9,0.0,11.3,139,73.1,0.0,12.8,159,The Concession Golf Club,"Bradenton, FL",72,7564,Aaron Rai,72,70,69,70,281,T18,--,0
