TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2021 Wells Fargo Championship,2021-05-06,254.0,64.5,0.0,11.1,342,60.3,0.091,17.6,318,60.7,0.0,16.2,273,66.2,0.0,19.0,201,Quail Hollow Club,"Charlotte, NC",71,7521,Rory McIlroy,72,66,68,68,274,1,"$1,458,000",500
2021 Wells Fargo Championship,2021-05-06,254.0,64.5,0.0,11.1,342,60.3,0.091,17.6,318,60.7,0.0,16.2,273,66.2,0.0,19.0,201,Quail Hollow Club,"Charlotte, NC",71,7521,Abraham Ancer,69,70,70,66,275,2,"$882,900",300
2021 Wells Fargo Championship,2021-05-06,254.0,64.5,0.0,11.1,342,60.3,0.091,17.6,318,60.7,0.0,16.2,273,66.2,0.0,19.0,201,Quail Hollow Club,"Charlotte, NC",71,7521,Viktor Hovland,69,72,68,67,276,T3,"$477,900",163
2021 Wells Fargo Championship,2021-05-06,254.0,64.5,0.0,11.1,342,60.3,0.091,17.6,318,60.7,0.0,16.2,273,66.2,0.0,19.0,201,Quail Hollow Club,"Charlotte, NC",71,7521,Keith Mitchell,67,71,66,72,276,T3,"$477,900",163
2021 Wells Fargo Championship,2021-05-06,254.0,64.5,0.0,11.1,342,60.3,0.091,17.6,318,60.7,0.0,16.2,273,66.2,0.0,19.0,201,Quail Hollow Club,"Charlotte, NC",71,7521,Gary Woodland,67,69,70,71,277,5,"$332,100",110
2021 Wells Fargo Championship,2021-05-06,254.0,64.5,0.0,11.1,342,60.3,0.091,17.6,318,60.7,0.0,16.2,273,66.2,0.0,19.0,201,Quail Hollow Club,"Charlotte, NC",71,7521,Patrick Reed,71,69,69,70,279,T6,"$273,375",92
2021 Wells Fargo Championship,2021-05-06,254.0,64.5,0.0,11.1,342,60.3,0.091,17.6,318,60.7,0.0,16.2,273,66.2,0.0,19.0,201,Quail Hollow Club,"Charlotte, NC",71,7521,Matt Wallace,69,67,73,70,279,T6,"$273,375",92
2021 Wells Fargo Championship,2021-05-06,254.0,64.5,0.0,11.1,342,60.3,0.091,17.6,318,60.7,0.0,16.2,273,66.2,0.0,19.0,201,Quail Hollow Club,"Charlotte, NC",71,7521,Luke List,67,72,68,72,279,T6,"$273,375",92
2021 Wells Fargo Championship,2021-05-06,254.0,64.5,0.0,11.1,342,60.3,0.091,17.6,318,60.7,0.0,16.2,273,66.2,0.0,19.0,201,Quail Hollow Club,"Charlotte, NC",71,7521,Bryson DeChambeau,70,74,68,68,280,T9,"$228,825",78
2021 Wells Fargo Championship,2021-05-06,254.0,64.5,0.0,11.1,342,60.3,0.091,17.6,318,60.7,0.0,16.2,273,66.2,0.0,19.0,201,Quail Hollow Club,"Charlotte, NC",71,7521,Aaron Wise,72,71,68,69,280,T9,"$228,825",78
