TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2022 AT&T Byron Nelson,2022-05-12,1,196.0,79.7,0.0,15.2,165,TPC Craig Ranch,"McKinney, TX",K.H. Lee,72,7468,64,262
2022 AT&T Byron Nelson,2022-05-13,2,196.0,79.0,0.0,14.9,170,TPC Craig Ranch,"McKinney, TX",K.H. Lee,72,7468,68,262
2022 AT&T Byron Nelson,2022-05-14,3,196.0,80.4,0.0,14.1,165,TPC Craig Ranch,"McKinney, TX",K.H. Lee,72,7468,67,262
2022 AT&T Byron Nelson,2022-05-15,4,196.0,81.6,0.0,16.1,186,TPC Craig Ranch,"McKinney, TX",K.H. Lee,72,7468,63,262
2022 AT&T Byron Nelson,2022-05-12,1,196.0,79.7,0.0,15.2,165,TPC Craig Ranch,"McKinney, TX",Jordan Spieth,72,7468,67,263
2022 AT&T Byron Nelson,2022-05-13,2,196.0,79.0,0.0,14.9,170,TPC Craig Ranch,"McKinney, TX",Jordan Spieth,72,7468,65,263
2022 AT&T Byron Nelson,2022-05-14,3,196.0,80.4,0.0,14.1,165,TPC Craig Ranch,"McKinney, TX",Jordan Spieth,72,7468,64,263
2022 AT&T Byron Nelson,2022-05-15,4,196.0,81.6,0.0,16.1,186,TPC Craig Ranch,"McKinney, TX",Jordan Spieth,72,7468,67,263
2022 AT&T Byron Nelson,2022-05-12,1,196.0,79.7,0.0,15.2,165,TPC Craig Ranch,"McKinney, TX",Hideki Matsuyama,72,7468,67,264
2022 AT&T Byron Nelson,2022-05-13,2,196.0,79.0,0.0,14.9,170,TPC Craig Ranch,"McKinney, TX",Hideki Matsuyama,72,7468,66,264
2022 AT&T Byron Nelson,2022-05-14,3,196.0,80.4,0.0,14.1,165,TPC Craig Ranch,"McKinney, TX",Hideki Matsuyama,72,7468,69,264
2022 AT&T Byron Nelson,2022-05-15,4,196.0,81.6,0.0,16.1,186,TPC Craig Ranch,"McKinney, TX",Hideki Matsuyama,72,7468,62,264
2022 AT&T Byron Nelson,2022-05-12,1,196.0,79.7,0.0,15.2,165,TPC Craig Ranch,"McKinney, TX",Sebastián Muñoz,72,7468,60,264
2022 AT&T Byron Nelson,2022-05-13,2,196.0,79.0,0.0,14.9,170,TPC Craig Ranch,"McKinney, TX",Sebastián Muñoz,72,7468,69,264
2022 AT&T Byron Nelson,2022-05-14,3,196.0,80.4,0.0,14.1,165,TPC Craig Ranch,"McKinney, TX",Sebastián Muñoz,72,7468,66,264
2022 AT&T Byron Nelson,2022-05-15,4,196.0,81.6,0.0,16.1,186,TPC Craig Ranch,"McKinney, TX",Sebastián Muñoz,72,7468,69,264
2022 AT&T Byron Nelson,2022-05-12,1,196.0,79.7,0.0,15.2,165,TPC Craig Ranch,"McKinney, TX",Xander Schauffele,72,7468,72,265
2022 AT&T Byron Nelson,2022-05-13,2,196.0,79.0,0.0,14.9,170,TPC Craig Ranch,"McKinney, TX",Xander Schauffele,72,7468,67,265
2022 AT&T Byron Nelson,2022-05-14,3,196.0,80.4,0.0,14.1,165,TPC Craig Ranch,"McKinney, TX",Xander Schauffele,72,7468,65,265
2022 AT&T Byron Nelson,2022-05-15,4,196.0,81.6,0.0,16.1,186,TPC Craig Ranch,"McKinney, TX",Xander Schauffele,72,7468,61,265
2022 AT&T Byron Nelson,2022-05-12,1,196.0,79.7,0.0,15.2,165,TPC Craig Ranch,"McKinney, TX",Ryan Palmer,72,7468,67,265
2022 AT&T Byron Nelson,2022-05-13,2,196.0,79.0,0.0,14.9,170,TPC Craig Ranch,"McKinney, TX",Ryan Palmer,72,7468,62,265
2022 AT&T Byron Nelson,2022-05-14,3,196.0,80.4,0.0,14.1,165,TPC Craig Ranch,"McKinney, TX",Ryan Palmer,72,7468,70,265
2022 AT&T Byron Nelson,2022-05-15,4,196.0,81.6,0.0,16.1,186,TPC Craig Ranch,"McKinney, TX",Ryan Palmer,72,7468,66,265
2022 AT&T Byron Nelson,2022-05-12,1,196.0,79.7,0.0,15.2,165,TPC Craig Ranch,"McKinney, TX",Justin Thomas,72,7468,68,265
2022 AT&T Byron Nelson,2022-05-13,2,196.0,79.0,0.0,14.9,170,TPC Craig Ranch,"McKinney, TX",Justin Thomas,72,7468,66,265
2022 AT&T Byron Nelson,2022-05-14,3,196.0,80.4,0.0,14.1,165,TPC Craig Ranch,"McKinney, TX",Justin Thomas,72,7468,64,265
2022 AT&T Byron Nelson,2022-05-15,4,196.0,81.6,0.0,16.1,186,TPC Craig Ranch,"McKinney, TX",Justin Thomas,72,7468,67,265
2022 AT&T Byron Nelson,2022-05-12,1,196.0,79.7,0.0,15.2,165,TPC Craig Ranch,"McKinney, TX",Charl Schwartzel,72,7468,66,266
2022 AT&T Byron Nelson,2022-05-13,2,196.0,79.0,0.0,14.9,170,TPC Craig Ranch,"McKinney, TX",Charl Schwartzel,72,7468,65,266
2022 AT&T Byron Nelson,2022-05-14,3,196.0,80.4,0.0,14.1,165,TPC Craig Ranch,"McKinney, TX",Charl Schwartzel,72,7468,68,266
2022 AT&T Byron Nelson,2022-05-15,4,196.0,81.6,0.0,16.1,186,TPC Craig Ranch,"McKinney, TX",Charl Schwartzel,72,7468,67,266
2022 AT&T Byron Nelson,2022-05-12,1,196.0,79.7,0.0,15.2,165,TPC Craig Ranch,"McKinney, TX",Peter Malnati,72,7468,64,267
2022 AT&T Byron Nelson,2022-05-13,2,196.0,79.0,0.0,14.9,170,TPC Craig Ranch,"McKinney, TX",Peter Malnati,72,7468,70,267
2022 AT&T Byron Nelson,2022-05-14,3,196.0,80.4,0.0,14.1,165,TPC Craig Ranch,"McKinney, TX",Peter Malnati,72,7468,67,267
2022 AT&T Byron Nelson,2022-05-15,4,196.0,81.6,0.0,16.1,186,TPC Craig Ranch,"McKinney, TX",Peter Malnati,72,7468,66,267
2022 AT&T Byron Nelson,2022-05-12,1,196.0,79.7,0.0,15.2,165,TPC Craig Ranch,"McKinney, TX",Davis Riley,72,7468,72,267
2022 AT&T Byron Nelson,2022-05-13,2,196.0,79.0,0.0,14.9,170,TPC Craig Ranch,"McKinney, TX",Davis Riley,72,7468,64,267
2022 AT&T Byron Nelson,2022-05-14,3,196.0,80.4,0.0,14.1,165,TPC Craig Ranch,"McKinney, TX",Davis Riley,72,7468,64,267
2022 AT&T Byron Nelson,2022-05-15,4,196.0,81.6,0.0,16.1,186,TPC Craig Ranch,"McKinney, TX",Davis Riley,72,7468,67,267
2022 AT&T Byron Nelson,2022-05-12,1,196.0,79.7,0.0,15.2,165,TPC Craig Ranch,"McKinney, TX",James Hahn,72,7468,69,267
2022 AT&T Byron Nelson,2022-05-13,2,196.0,79.0,0.0,14.9,170,TPC Craig Ranch,"McKinney, TX",James Hahn,72,7468,68,267
