TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Tony Finau,65,62,68,69,264,1,"$1,512,000",500
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Tyson Alexander,66,66,70,66,268,2,"$915,600",300
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Ben Taylor,66,68,65,70,269,3,"$579,600",190
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Alex Smalley,71,64,70,67,272,T4,"$353,500",115
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Trey Mullinax,67,66,72,67,272,T4,"$353,500",115
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Alex Noren,65,66,73,68,272,T4,"$353,500",115
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Adam Hadwin,70,65,70,68,273,T7,"$273,000",88
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Aaron Rai,70,64,70,69,273,T7,"$273,000",88
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Stephan Jaeger,70,67,70,67,274,T9,"$196,500",66
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Scottie Scheffler,70,66,71,67,274,T9,"$196,500",66
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Keith Mitchell,66,70,70,68,274,T9,"$196,500",66
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Joseph Bramlett,70,65,70,69,274,T9,"$196,500",66
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Gary Woodland,69,67,67,71,274,T9,"$196,500",66
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Joel Dahmen,67,68,68,71,274,T9,"$196,500",66
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Justin Rose,67,69,66,72,274,T9,"$196,500",66
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Jason Day,69,69,69,68,275,T16,"$123,900",48
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Ben Griffin,67,67,71,70,275,T16,"$123,900",48
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Scott Piercy,67,70,67,71,275,T16,"$123,900",48
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Mackenzie Hughes,66,68,70,71,275,T16,"$123,900",48
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Patrick Rodgers,68,63,73,71,275,T16,"$123,900",48
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Wyndham Clark,66,68,68,73,275,T16,"$123,900",48
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Sahith Theegala,71,68,73,64,276,T22,"$84,420",38
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Martin Laird,68,69,73,66,276,T22,"$84,420",38
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,David Lipsky,66,73,70,67,276,T22,"$84,420",38
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Aaron Wise,65,71,71,69,276,T22,"$84,420",38
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Callum Tarren,73,66,70,68,277,26,"$67,620",34
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Cole Hammer,74,65,71,68,278,T27,"$56,333",0
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Kyle Westmoreland,68,72,69,69,278,T27,"$56,333",27
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Maverick McNealy,67,72,69,70,278,T27,"$56,333",27
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Ryan Armour,72,68,66,72,278,T27,"$56,333",27
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Davis Riley,71,64,71,72,278,T27,"$56,333",27
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Austin Cook,68,67,71,72,278,T27,"$56,333",27
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Russell Knox,69,65,70,74,278,T27,"$56,333",27
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,James Hahn,68,65,71,74,278,T27,"$56,333",27
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Carl Yuan,67,66,77,69,279,T35,"$42,735",20
2022 Cadence Bank Houston Open,2022-11-10,21.0,72.2,0.0,10.7,130,69.6,0.358,8.6,188,51.5,0.626,16.9,343,47.3,0.0,9.5,26,Memorial Park Golf Course,"Houston, TX",70,7412,Andrew Putnam,68,70,71,70,279,T35,"$42,735",20
