TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,COURSE_AVERAGE_SCORE,SCORE,TOTAL_SCORE
2022 Fortinet Championship,2022-09-15,1,11.0,63.0,0.0,11.0,253,Silverado Resort (North Course),"Napa, CA",Max Homa,72,7123,71.98,65,272
2022 Fortinet Championship,2022-09-16,2,11.0,64.2,0.0,9.1,227,Silverado Resort (North Course),"Napa, CA",Max Homa,72,7123,71.98,67,272
2022 Fortinet Championship,2022-09-17,3,11.0,63.4,0.0,14.1,238,Silverado Resort (North Course),"Napa, CA",Max Homa,72,7123,71.98,72,272
2022 Fortinet Championship,2022-09-18,4,11.0,62.1,1.421,11.6,165,Silverado Resort (North Course),"Napa, CA",Max Homa,72,7123,71.98,68,272
2022 Fortinet Championship,2022-09-15,1,11.0,63.0,0.0,11.0,253,Silverado Resort (North Course),"Napa, CA",Danny Willett,72,7123,71.98,68,273
2022 Fortinet Championship,2022-09-16,2,11.0,64.2,0.0,9.1,227,Silverado Resort (North Course),"Napa, CA",Danny Willett,72,7123,71.98,64,273
2022 Fortinet Championship,2022-09-17,3,11.0,63.4,0.0,14.1,238,Silverado Resort (North Course),"Napa, CA",Danny Willett,72,7123,71.98,72,273
2022 Fortinet Championship,2022-09-18,4,11.0,62.1,1.421,11.6,165,Silverado Resort (North Course),"Napa, CA",Danny Willett,72,7123,71.98,69,273
2022 Fortinet Championship,2022-09-15,1,11.0,63.0,0.0,11.0,253,Silverado Resort (North Course),"Napa, CA",Taylor Montgomery,72,7123,71.98,68,275
2022 Fortinet Championship,2022-09-16,2,11.0,64.2,0.0,9.1,227,Silverado Resort (North Course),"Napa, CA",Taylor Montgomery,72,7123,71.98,71,275
2022 Fortinet Championship,2022-09-17,3,11.0,63.4,0.0,14.1,238,Silverado Resort (North Course),"Napa, CA",Taylor Montgomery,72,7123,71.98,72,275
2022 Fortinet Championship,2022-09-18,4,11.0,62.1,1.421,11.6,165,Silverado Resort (North Course),"Napa, CA",Taylor Montgomery,72,7123,71.98,64,275
2022 Fortinet Championship,2022-09-15,1,11.0,63.0,0.0,11.0,253,Silverado Resort (North Course),"Napa, CA",Byeong Hun An,72,7123,71.98,66,276
2022 Fortinet Championship,2022-09-16,2,11.0,64.2,0.0,9.1,227,Silverado Resort (North Course),"Napa, CA",Byeong Hun An,72,7123,71.98,68,276
2022 Fortinet Championship,2022-09-17,3,11.0,63.4,0.0,14.1,238,Silverado Resort (North Course),"Napa, CA",Byeong Hun An,72,7123,71.98,71,276
2022 Fortinet Championship,2022-09-18,4,11.0,62.1,1.421,11.6,165,Silverado Resort (North Course),"Napa, CA",Byeong Hun An,72,7123,71.98,71,276
2022 Fortinet Championship,2022-09-15,1,11.0,63.0,0.0,11.0,253,Silverado Resort (North Course),"Napa, CA",Justin Lower,72,7123,71.98,63,276
2022 Fortinet Championship,2022-09-16,2,11.0,64.2,0.0,9.1,227,Silverado Resort (North Course),"Napa, CA",Justin Lower,72,7123,71.98,71,276
2022 Fortinet Championship,2022-09-17,3,11.0,63.4,0.0,14.1,238,Silverado Resort (North Course),"Napa, CA",Justin Lower,72,7123,71.98,69,276
2022 Fortinet Championship,2022-09-18,4,11.0,62.1,1.421,11.6,165,Silverado Resort (North Course),"Napa, CA",Justin Lower,72,7123,71.98,73,276
2022 Fortinet Championship,2022-09-15,1,11.0,63.0,0.0,11.0,253,Silverado Resort (North Course),"Napa, CA",Nick Taylor,72,7123,71.98,67,277
2022 Fortinet Championship,2022-09-16,2,11.0,64.2,0.0,9.1,227,Silverado Resort (North Course),"Napa, CA",Nick Taylor,72,7123,71.98,75,277
2022 Fortinet Championship,2022-09-17,3,11.0,63.4,0.0,14.1,238,Silverado Resort (North Course),"Napa, CA",Nick Taylor,72,7123,71.98,67,277
2022 Fortinet Championship,2022-09-18,4,11.0,62.1,1.421,11.6,165,Silverado Resort (North Course),"Napa, CA",Nick Taylor,72,7123,71.98,68,277
