TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,COURSE_AVERAGE_SCORE,SCORE,TOTAL_SCORE,R1_AVG_SCORE,R2_AVG_SCORE,R3_AVG_SCORE,R4_AVG_SCORE
2022 PGA Championship,2022-05-19,1,217.0,79.6,0.0,14.2,179,Southern Hills Country Club,"Tulsa, OK",Justin Thomas,70,7556,,67,275,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-20,2,217.0,81.1,0.031,22.1,192,Southern Hills Country Club,"Tulsa, OK",Justin Thomas,70,7556,,67,275,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-21,3,217.0,63.8,0.689,16.5,15,Southern Hills Country Club,"Tulsa, OK",Justin Thomas,70,7556,,74,275,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-22,4,217.0,59.4,0.0,13.7,24,Southern Hills Country Club,"Tulsa, OK",Justin Thomas,70,7556,,67,275,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-19,1,217.0,79.6,0.0,14.2,179,Southern Hills Country Club,"Tulsa, OK",Will Zalatoris,70,7556,,66,275,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-20,2,217.0,81.1,0.031,22.1,192,Southern Hills Country Club,"Tulsa, OK",Will Zalatoris,70,7556,,65,275,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-21,3,217.0,63.8,0.689,16.5,15,Southern Hills Country Club,"Tulsa, OK",Will Zalatoris,70,7556,,73,275,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-22,4,217.0,59.4,0.0,13.7,24,Southern Hills Country Club,"Tulsa, OK",Will Zalatoris,70,7556,,71,275,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-19,1,217.0,79.6,0.0,14.2,179,Southern Hills Country Club,"Tulsa, OK",Cameron Young,70,7556,,71,276,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-20,2,217.0,81.1,0.031,22.1,192,Southern Hills Country Club,"Tulsa, OK",Cameron Young,70,7556,,67,276,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-21,3,217.0,63.8,0.689,16.5,15,Southern Hills Country Club,"Tulsa, OK",Cameron Young,70,7556,,67,276,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-22,4,217.0,59.4,0.0,13.7,24,Southern Hills Country Club,"Tulsa, OK",Cameron Young,70,7556,,71,276,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-19,1,217.0,79.6,0.0,14.2,179,Southern Hills Country Club,"Tulsa, OK",Mito Pereira,70,7556,,68,276,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-20,2,217.0,81.1,0.031,22.1,192,Southern Hills Country Club,"Tulsa, OK",Mito Pereira,70,7556,,64,276,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-21,3,217.0,63.8,0.689,16.5,15,Southern Hills Country Club,"Tulsa, OK",Mito Pereira,70,7556,,69,276,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-22,4,217.0,59.4,0.0,13.7,24,Southern Hills Country Club,"Tulsa, OK",Mito Pereira,70,7556,,75,276,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-19,1,217.0,79.6,0.0,14.2,179,Southern Hills Country Club,"Tulsa, OK",Tommy Fleetwood,70,7556,,71,277,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-20,2,217.0,81.1,0.031,22.1,192,Southern Hills Country Club,"Tulsa, OK",Tommy Fleetwood,70,7556,,70,277,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-21,3,217.0,63.8,0.689,16.5,15,Southern Hills Country Club,"Tulsa, OK",Tommy Fleetwood,70,7556,,69,277,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-22,4,217.0,59.4,0.0,13.7,24,Southern Hills Country Club,"Tulsa, OK",Tommy Fleetwood,70,7556,,67,277,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-19,1,217.0,79.6,0.0,14.2,179,Southern Hills Country Club,"Tulsa, OK",Chris Kirk,70,7556,,68,277,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-20,2,217.0,81.1,0.031,22.1,192,Southern Hills Country Club,"Tulsa, OK",Chris Kirk,70,7556,,70,277,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-21,3,217.0,63.8,0.689,16.5,15,Southern Hills Country Club,"Tulsa, OK",Chris Kirk,70,7556,,71,277,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-22,4,217.0,59.4,0.0,13.7,24,Southern Hills Country Club,"Tulsa, OK",Chris Kirk,70,7556,,68,277,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-19,1,217.0,79.6,0.0,14.2,179,Southern Hills Country Club,"Tulsa, OK",Matt Fitzpatrick,70,7556,,68,277,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-20,2,217.0,81.1,0.031,22.1,192,Southern Hills Country Club,"Tulsa, OK",Matt Fitzpatrick,70,7556,,69,277,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-21,3,217.0,63.8,0.689,16.5,15,Southern Hills Country Club,"Tulsa, OK",Matt Fitzpatrick,70,7556,,67,277,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-22,4,217.0,59.4,0.0,13.7,24,Southern Hills Country Club,"Tulsa, OK",Matt Fitzpatrick,70,7556,,73,277,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-19,1,217.0,79.6,0.0,14.2,179,Southern Hills Country Club,"Tulsa, OK",Rory McIlroy,70,7556,,65,278,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-20,2,217.0,81.1,0.031,22.1,192,Southern Hills Country Club,"Tulsa, OK",Rory McIlroy,70,7556,,71,278,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-21,3,217.0,63.8,0.689,16.5,15,Southern Hills Country Club,"Tulsa, OK",Rory McIlroy,70,7556,,74,278,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-22,4,217.0,59.4,0.0,13.7,24,Southern Hills Country Club,"Tulsa, OK",Rory McIlroy,70,7556,,68,278,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-19,1,217.0,79.6,0.0,14.2,179,Southern Hills Country Club,"Tulsa, OK",Brendan Steele,70,7556,,70,279,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-20,2,217.0,81.1,0.031,22.1,192,Southern Hills Country Club,"Tulsa, OK",Brendan Steele,70,7556,,72,279,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-21,3,217.0,63.8,0.689,16.5,15,Southern Hills Country Club,"Tulsa, OK",Brendan Steele,70,7556,,69,279,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-22,4,217.0,59.4,0.0,13.7,24,Southern Hills Country Club,"Tulsa, OK",Brendan Steele,70,7556,,68,279,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-19,1,217.0,79.6,0.0,14.2,179,Southern Hills Country Club,"Tulsa, OK",Tom Hoge,70,7556,,66,279,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-20,2,217.0,81.1,0.031,22.1,192,Southern Hills Country Club,"Tulsa, OK",Tom Hoge,70,7556,,74,279,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-21,3,217.0,63.8,0.689,16.5,15,Southern Hills Country Club,"Tulsa, OK",Tom Hoge,70,7556,,70,279,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-22,4,217.0,59.4,0.0,13.7,24,Southern Hills Country Club,"Tulsa, OK",Tom Hoge,70,7556,,69,279,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-19,1,217.0,79.6,0.0,14.2,179,Southern Hills Country Club,"Tulsa, OK",Séamus Power,70,7556,,71,279,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-20,2,217.0,81.1,0.031,22.1,192,Southern Hills Country Club,"Tulsa, OK",Séamus Power,70,7556,,69,279,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-21,3,217.0,63.8,0.689,16.5,15,Southern Hills Country Club,"Tulsa, OK",Séamus Power,70,7556,,67,279,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-22,4,217.0,59.4,0.0,13.7,24,Southern Hills Country Club,"Tulsa, OK",Séamus Power,70,7556,,72,279,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-19,1,217.0,79.6,0.0,14.2,179,Southern Hills Country Club,"Tulsa, OK",Abraham Ancer,70,7556,,67,279,75.1,75.05,72.44,71.36
2022 PGA Championship,2022-05-20,2,217.0,81.1,0.031,22.1,192,Southern Hills Country Club,"Tulsa, OK",Abraham Ancer,70,7556,,69,279,75.1,75.05,72.44,71.36
