TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,COURSE_AVERAGE_SCORE,SCORE,TOTAL_SCORE,R1_AVG_SCORE,R2_AVG_SCORE,R3_AVG_SCORE,R4_AVG_SCORE
2022 THE PLAYERS Championship,2022-03-10,1,6.0,68.5,0.693,9.5,172,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Cameron Smith,72,7256,,69,275,73.43,76.86,71.46,71.57
2022 THE PLAYERS Championship,2022-03-11,2,6.0,66.6,0.531,9.2,123,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Cameron Smith,72,7256,,71,275,73.43,76.86,71.46,71.57
2022 THE PLAYERS Championship,2022-03-12,3,6.0,65.2,0.929,19.9,247,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Cameron Smith,72,7256,,69,275,73.43,76.86,71.46,71.57
2022 THE PLAYERS Championship,2022-03-13,4,6.0,46.9,0.0,16.1,355,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Cameron Smith,72,7256,,66,275,73.43,76.86,71.46,71.57
2022 THE PLAYERS Championship,2022-03-10,1,6.0,68.5,0.693,9.5,172,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Anirban Lahiri,72,7256,,67,276,73.43,76.86,71.46,71.57
2022 THE PLAYERS Championship,2022-03-11,2,6.0,66.6,0.531,9.2,123,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Anirban Lahiri,72,7256,,73,276,73.43,76.86,71.46,71.57
2022 THE PLAYERS Championship,2022-03-12,3,6.0,65.2,0.929,19.9,247,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Anirban Lahiri,72,7256,,67,276,73.43,76.86,71.46,71.57
2022 THE PLAYERS Championship,2022-03-13,4,6.0,46.9,0.0,16.1,355,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Anirban Lahiri,72,7256,,69,276,73.43,76.86,71.46,71.57
2022 THE PLAYERS Championship,2022-03-10,1,6.0,68.5,0.693,9.5,172,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Paul Casey,72,7256,,70,277,73.43,76.86,71.46,71.57
2022 THE PLAYERS Championship,2022-03-11,2,6.0,66.6,0.531,9.2,123,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Paul Casey,72,7256,,69,277,73.43,76.86,71.46,71.57
2022 THE PLAYERS Championship,2022-03-12,3,6.0,65.2,0.929,19.9,247,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Paul Casey,72,7256,,69,277,73.43,76.86,71.46,71.57
2022 THE PLAYERS Championship,2022-03-13,4,6.0,46.9,0.0,16.1,355,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Paul Casey,72,7256,,69,277,73.43,76.86,71.46,71.57
2022 THE PLAYERS Championship,2022-03-10,1,6.0,68.5,0.693,9.5,172,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Kevin Kisner,72,7256,,68,278,73.43,76.86,71.46,71.57
2022 THE PLAYERS Championship,2022-03-11,2,6.0,66.6,0.531,9.2,123,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Kevin Kisner,72,7256,,74,278,73.43,76.86,71.46,71.57
