TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Cameron Smith,67,64,73,64,268,1,"$2,500,000",600
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Cameron Young,64,69,71,65,269,2,"$1,455,000",330
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Rory McIlroy,66,68,66,70,270,3,"$933,000",210
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Tommy Fleetwood,72,69,66,67,274,T4,"$654,000",135
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Viktor Hovland,68,66,66,74,274,T4,"$654,000",135
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Brian Harman,73,68,68,66,275,T6,"$469,500",105
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Dustin Johnson,68,67,71,69,275,T6,"$469,500",0
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Bryson DeChambeau,69,74,67,66,276,T8,"$325,667",88
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Jordan Spieth,71,69,68,68,276,T8,"$325,667",88
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Patrick Cantlay,70,67,71,68,276,T8,"$325,667",88
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Abraham Ancer,71,68,73,65,277,T11,"$231,000",70
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Sadom Kaewkanjana,71,67,74,65,277,T11,"$231,000",0
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Dean Burmester,71,73,67,66,277,T11,"$231,000",0
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Tyrrell Hatton,70,66,73,68,277,T11,"$231,000",70
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Anthony Quayle,74,69,68,67,278,T15,"$165,583",0
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Xander Schauffele,69,70,72,67,278,T15,"$165,583",56
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Lucas Herbert,70,68,73,67,278,T15,"$165,583",0
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Francesco Molinari,73,71,66,68,278,T15,"$165,583",56
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Adam Scott,72,65,70,71,278,T15,"$165,583",56
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Si Woo Kim,69,69,67,73,278,T15,"$165,583",56
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Billy Horschel,73,69,70,67,279,T21,"$120,286",42
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Min Woo Lee,69,69,73,68,279,T21,"$120,286",0
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Trey Mullinax,71,73,66,69,279,T21,"$120,286",42
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Kevin Kisner,74,70,65,70,279,T21,"$120,286",42
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Shane Lowry,72,68,69,70,279,T21,"$120,286",42
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Matt Fitzpatrick,72,66,69,72,279,T21,"$120,286",42
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Scottie Scheffler,68,68,69,74,279,T21,"$120,286",42
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Tony Finau,73,71,70,66,280,T28,"$90,917",30
2022 The Open,2022-07-14,22.0,60.0,0.039,13.5,276,58.7,0.177,13.1,252,61.2,0.043,14.0,250,66.0,0.075,10.7,218,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7313,Corey Conners,71,71,71,67,280,T28,"$90,917",30
