TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Brooks Koepka,72,66,66,67,271,1,"$3,150,000",0
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Scottie Scheffler,67,68,73,65,273,T2,"$1,540,000",270
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Viktor Hovland,68,67,70,68,273,T2,"$1,540,000",270
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Cam Davis,71,70,71,65,277,T4,"$720,000",127
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Kurt Kitayama,70,71,71,65,277,T4,"$720,000",127
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Bryson DeChambeau,66,71,70,70,277,T4,"$720,000",0
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Sepp Straka,69,71,73,65,278,T7,"$555,000",97
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Rory McIlroy,71,69,69,69,278,T7,"$555,000",97
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Cameron Smith,72,72,70,65,279,T9,"$465,000",0
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Patrick Cantlay,74,67,72,66,279,T9,"$465,000",82
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Justin Rose,69,70,69,71,279,T9,"$465,000",82
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Victor Perez,70,72,69,69,280,T12,"$365,000",0
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Shane Lowry,73,67,71,69,280,T12,"$365,000",68
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Corey Conners,67,68,70,75,280,T12,"$365,000",68
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Tyrrell Hatton,77,68,69,67,281,T15,"$288,333",59
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Eric Cole,67,74,70,70,281,T15,"$288,333",59
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Michael Block,70,70,70,71,281,T15,"$288,333",0
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Xander Schauffele,72,72,71,67,282,T18,"$214,400",51
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Mito Pereira,72,69,74,67,282,T18,"$214,400",51
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Patrick Reed,72,71,69,70,282,T18,"$214,400",0
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Tommy Fleetwood,72,71,68,71,282,T18,"$214,400",51
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Min Woo Lee,73,67,71,71,282,T18,"$214,400",0
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Alex Smalley,73,72,70,68,283,T23,"$165,000",42
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Matt NeSmith,70,70,74,69,283,T23,"$165,000",42
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Ryan Fox,68,73,71,71,283,T23,"$165,000",0
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Collin Morikawa,71,70,74,69,284,T26,"$135,000",37
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Hayden Buckley,69,74,71,70,284,T26,"$135,000",37
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Justin Suh,69,68,73,74,284,T26,"$135,000",37
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Patrick Rodgers,70,75,72,68,285,T29,"$90,136",26
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Denny McCarthy,75,70,72,68,285,T29,"$90,136",26
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Callum Tarren,71,67,79,68,285,T29,"$90,136",26
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Jordan Spieth,73,72,71,69,285,T29,"$90,136",26
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Adam Scott,68,74,74,69,285,T29,"$90,136",26
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,K.H. Lee,73,68,75,69,285,T29,"$90,136",26
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Harold Varner III,70,71,74,70,285,T29,"$90,136",0
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Chris Kirk,70,75,69,71,285,T29,"$90,136",26
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Keegan Bradley,68,72,74,71,285,T29,"$90,136",26
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Hideki Matsuyama,72,71,70,72,285,T29,"$90,136",26
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Taylor Pendrith,70,69,74,72,285,T29,"$90,136",26
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Thomas Detry,74,71,73,68,286,T40,"$46,900",14
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Adrian Meronk,75,69,74,68,286,T40,"$46,900",0
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,J.T. Poston,72,70,75,69,286,T40,"$46,900",14
2023 PGA Championship,2023-05-18,155.0,46.8,0.0,8.0,141,61.4,0.016,15.5,198,62.9,0.85,12.5,202,60.2,0.0,12.2,270,Oak Hill Country Club,"Rochester, NY",70,7394,Lucas Herbert,75,69,72,70,286,T40,"$46,900",14
