TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Matt Fitzpatrick,66,70,63,68,267,1,"$3,600,000",500
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Jordan Spieth,68,67,66,66,267,2,"$2,180,000",300
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Patrick Cantlay,69,65,66,68,268,3,"$1,380,000",190
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Xander Schauffele,67,66,70,66,269,4,"$980,000",135
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Sahith Theegala,70,68,67,65,270,T5,"$772,500",105
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Hayden Buckley,69,68,66,67,270,T5,"$772,500",105
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Sungjae Im,66,72,66,67,271,T7,"$607,500",83
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Brian Harman,65,70,69,67,271,T7,"$607,500",83
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Cam Davis,70,67,66,68,271,T7,"$607,500",83
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Emiliano Grillo,68,67,68,68,271,T7,"$607,500",83
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Chez Reavie,72,66,65,69,272,T11,"$445,000",63
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Taylor Moore,68,67,67,70,272,T11,"$445,000",63
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Mark Hubbard,68,66,68,70,272,T11,"$445,000",63
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Scottie Scheffler,68,65,69,70,272,T11,"$445,000",63
2023 RBC Heritage,2023-04-13,12.0,67.4,0.232,15.6,100,67.9,0.26,13.3,166,69.3,0.004,14.6,214,70.4,0.004,16.3,204,Harbour Town Golf Links,"Hilton Head Island, SC",71,7213,Sam Burns,69,70,69,65,273,T15,"$335,000",52
