TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,COURSE_AVERAGE_SCORE,SCORE,TOTAL_SCORE
2023 THE PLAYERS Championship,2023-03-09,1,6.0,65.2,0.0,10.6,73,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Scottie Scheffler,72,7275,73.14,68,271
2023 THE PLAYERS Championship,2023-03-10,2,6.0,67.4,0.232,13.4,217,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Scottie Scheffler,72,7275,73.14,69,271
2023 THE PLAYERS Championship,2023-03-11,3,6.0,62.0,0.012,12.2,317,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Scottie Scheffler,72,7275,73.14,65,271
2023 THE PLAYERS Championship,2023-03-12,4,6.0,66.3,0.0,15.8,192,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Scottie Scheffler,72,7275,73.14,69,271
2023 THE PLAYERS Championship,2023-03-09,1,6.0,65.2,0.0,10.6,73,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Tyrrell Hatton,72,7275,73.14,72,276
2023 THE PLAYERS Championship,2023-03-10,2,6.0,67.4,0.232,13.4,217,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Tyrrell Hatton,72,7275,73.14,71,276
2023 THE PLAYERS Championship,2023-03-11,3,6.0,62.0,0.012,12.2,317,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Tyrrell Hatton,72,7275,73.14,68,276
2023 THE PLAYERS Championship,2023-03-12,4,6.0,66.3,0.0,15.8,192,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Tyrrell Hatton,72,7275,73.14,65,276
2023 THE PLAYERS Championship,2023-03-09,1,6.0,65.2,0.0,10.6,73,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Viktor Hovland,72,7275,73.14,69,278
2023 THE PLAYERS Championship,2023-03-10,2,6.0,67.4,0.232,13.4,217,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Viktor Hovland,72,7275,73.14,71,278
2023 THE PLAYERS Championship,2023-03-11,3,6.0,62.0,0.012,12.2,317,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Viktor Hovland,72,7275,73.14,70,278
2023 THE PLAYERS Championship,2023-03-12,4,6.0,66.3,0.0,15.8,192,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Viktor Hovland,72,7275,73.14,68,278
2023 THE PLAYERS Championship,2023-03-09,1,6.0,65.2,0.0,10.6,73,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Tom Hoge,72,7275,73.14,78,278
2023 THE PLAYERS Championship,2023-03-10,2,6.0,67.4,0.232,13.4,217,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Tom Hoge,72,7275,73.14,68,278
2023 THE PLAYERS Championship,2023-03-11,3,6.0,62.0,0.012,12.2,317,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Tom Hoge,72,7275,73.14,62,278
2023 THE PLAYERS Championship,2023-03-12,4,6.0,66.3,0.0,15.8,192,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Tom Hoge,72,7275,73.14,70,278
2023 THE PLAYERS Championship,2023-03-09,1,6.0,65.2,0.0,10.6,73,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Hideki Matsuyama,72,7275,73.14,74,279
2023 THE PLAYERS Championship,2023-03-10,2,6.0,67.4,0.232,13.4,217,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Hideki Matsuyama,72,7275,73.14,70,279
2023 THE PLAYERS Championship,2023-03-11,3,6.0,62.0,0.012,12.2,317,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Hideki Matsuyama,72,7275,73.14,67,279
2023 THE PLAYERS Championship,2023-03-12,4,6.0,66.3,0.0,15.8,192,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Hideki Matsuyama,72,7275,73.14,68,279
2023 THE PLAYERS Championship,2023-03-09,1,6.0,65.2,0.0,10.6,73,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Max Homa,72,7275,73.14,72,280
2023 THE PLAYERS Championship,2023-03-10,2,6.0,67.4,0.232,13.4,217,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Max Homa,72,7275,73.14,72,280
2023 THE PLAYERS Championship,2023-03-11,3,6.0,62.0,0.012,12.2,317,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Max Homa,72,7275,73.14,67,280
2023 THE PLAYERS Championship,2023-03-12,4,6.0,66.3,0.0,15.8,192,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Max Homa,72,7275,73.14,69,280
2023 THE PLAYERS Championship,2023-03-09,1,6.0,65.2,0.0,10.6,73,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Justin Suh,72,7275,73.14,68,280
2023 THE PLAYERS Championship,2023-03-10,2,6.0,67.4,0.232,13.4,217,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Justin Suh,72,7275,73.14,73,280
2023 THE PLAYERS Championship,2023-03-11,3,6.0,62.0,0.012,12.2,317,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Justin Suh,72,7275,73.14,69,280
2023 THE PLAYERS Championship,2023-03-12,4,6.0,66.3,0.0,15.8,192,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Justin Suh,72,7275,73.14,70,280
2023 THE PLAYERS Championship,2023-03-09,1,6.0,65.2,0.0,10.6,73,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Justin Rose,72,7275,73.14,69,280
2023 THE PLAYERS Championship,2023-03-10,2,6.0,67.4,0.232,13.4,217,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Justin Rose,72,7275,73.14,73,280
2023 THE PLAYERS Championship,2023-03-11,3,6.0,62.0,0.012,12.2,317,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Justin Rose,72,7275,73.14,67,280
2023 THE PLAYERS Championship,2023-03-12,4,6.0,66.3,0.0,15.8,192,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Justin Rose,72,7275,73.14,71,280
2023 THE PLAYERS Championship,2023-03-09,1,6.0,65.2,0.0,10.6,73,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Sungjae Im,72,7275,73.14,75,280
2023 THE PLAYERS Championship,2023-03-10,2,6.0,67.4,0.232,13.4,217,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Sungjae Im,72,7275,73.14,69,280
2023 THE PLAYERS Championship,2023-03-11,3,6.0,62.0,0.012,12.2,317,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Sungjae Im,72,7275,73.14,64,280
2023 THE PLAYERS Championship,2023-03-12,4,6.0,66.3,0.0,15.8,192,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Sungjae Im,72,7275,73.14,72,280
2023 THE PLAYERS Championship,2023-03-09,1,6.0,65.2,0.0,10.6,73,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",David Lingmerth,72,7275,73.14,72,280
2023 THE PLAYERS Championship,2023-03-10,2,6.0,67.4,0.232,13.4,217,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",David Lingmerth,72,7275,73.14,68,280
2023 THE PLAYERS Championship,2023-03-11,3,6.0,62.0,0.012,12.2,317,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",David Lingmerth,72,7275,73.14,68,280
2023 THE PLAYERS Championship,2023-03-12,4,6.0,66.3,0.0,15.8,192,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",David Lingmerth,72,7275,73.14,72,280
2023 THE PLAYERS Championship,2023-03-09,1,6.0,65.2,0.0,10.6,73,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Cam Davis,72,7275,73.14,69,280
2023 THE PLAYERS Championship,2023-03-10,2,6.0,67.4,0.232,13.4,217,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Cam Davis,72,7275,73.14,70,280
2023 THE PLAYERS Championship,2023-03-11,3,6.0,62.0,0.012,12.2,317,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Cam Davis,72,7275,73.14,67,280
2023 THE PLAYERS Championship,2023-03-12,4,6.0,66.3,0.0,15.8,192,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Cam Davis,72,7275,73.14,74,280
2023 THE PLAYERS Championship,2023-03-09,1,6.0,65.2,0.0,10.6,73,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Min Woo Lee,72,7275,73.14,68,280
2023 THE PLAYERS Championship,2023-03-10,2,6.0,67.4,0.232,13.4,217,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Min Woo Lee,72,7275,73.14,70,280
2023 THE PLAYERS Championship,2023-03-11,3,6.0,62.0,0.012,12.2,317,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Min Woo Lee,72,7275,73.14,66,280
2023 THE PLAYERS Championship,2023-03-12,4,6.0,66.3,0.0,15.8,192,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",Min Woo Lee,72,7275,73.14,76,280
