TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2023 The Memorial Tournament pres. by Workday,2023-06-01,255.0,74.5,0.0,8.0,84,74.8,0.0,12.8,33,78.1,0.008,11.5,26,73.2,0.0,11.7,24,Muirfield Village Golf Club,"Dublin, OH",72,7571,Viktor Hovland,71,71,69,70,281,1,"$3,600,000",550
2023 The Memorial Tournament pres. by Workday,2023-06-01,255.0,74.5,0.0,8.0,84,74.8,0.0,12.8,33,78.1,0.008,11.5,26,73.2,0.0,11.7,24,Muirfield Village Golf Club,"Dublin, OH",72,7571,Denny McCarthy,71,72,68,70,281,2,"$2,180,000",315
2023 The Memorial Tournament pres. by Workday,2023-06-01,255.0,74.5,0.0,8.0,84,74.8,0.0,12.8,33,78.1,0.008,11.5,26,73.2,0.0,11.7,24,Muirfield Village Golf Club,"Dublin, OH",72,7571,Scottie Scheffler,74,73,68,67,282,3,"$1,380,000",200
2023 The Memorial Tournament pres. by Workday,2023-06-01,255.0,74.5,0.0,8.0,84,74.8,0.0,12.8,33,78.1,0.008,11.5,26,73.2,0.0,11.7,24,Muirfield Village Golf Club,"Dublin, OH",72,7571,Si Woo Kim,71,68,71,73,283,4,"$980,000",140
2023 The Memorial Tournament pres. by Workday,2023-06-01,255.0,74.5,0.0,8.0,84,74.8,0.0,12.8,33,78.1,0.008,11.5,26,73.2,0.0,11.7,24,Muirfield Village Golf Club,"Dublin, OH",72,7571,Andrew Putnam,71,72,71,70,284,T5,"$772,500",110
2023 The Memorial Tournament pres. by Workday,2023-06-01,255.0,74.5,0.0,8.0,84,74.8,0.0,12.8,33,78.1,0.008,11.5,26,73.2,0.0,11.7,24,Muirfield Village Golf Club,"Dublin, OH",72,7571,Jordan Spieth,69,72,72,71,284,T5,"$772,500",110
2023 The Memorial Tournament pres. by Workday,2023-06-01,255.0,74.5,0.0,8.0,84,74.8,0.0,12.8,33,78.1,0.008,11.5,26,73.2,0.0,11.7,24,Muirfield Village Golf Club,"Dublin, OH",72,7571,Adam Schenk,75,71,68,71,285,T7,"$650,000",92
2023 The Memorial Tournament pres. by Workday,2023-06-01,255.0,74.5,0.0,8.0,84,74.8,0.0,12.8,33,78.1,0.008,11.5,26,73.2,0.0,11.7,24,Muirfield Village Golf Club,"Dublin, OH",72,7571,Rory McIlroy,72,68,70,75,285,T7,"$650,000",92
2023 The Memorial Tournament pres. by Workday,2023-06-01,255.0,74.5,0.0,8.0,84,74.8,0.0,12.8,33,78.1,0.008,11.5,26,73.2,0.0,11.7,24,Muirfield Village Golf Club,"Dublin, OH",72,7571,Adam Scott,70,75,70,71,286,T9,"$545,000",78
2023 The Memorial Tournament pres. by Workday,2023-06-01,255.0,74.5,0.0,8.0,84,74.8,0.0,12.8,33,78.1,0.008,11.5,26,73.2,0.0,11.7,24,Muirfield Village Golf Club,"Dublin, OH",72,7571,Matt Fitzpatrick,76,68,70,72,286,T9,"$545,000",78
