TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,COURSE_AVERAGE_SCORE,SCORE,TOTAL_SCORE,R1_AVG_SCORE,R2_AVG_SCORE,R3_AVG_SCORE,R4_AVG_SCORE
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Wyndham Clark,70,7421,,64,270,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Wyndham Clark,70,7421,,67,270,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Wyndham Clark,70,7421,,69,270,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Wyndham Clark,70,7421,,70,270,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Rory McIlroy,70,7421,,65,271,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Rory McIlroy,70,7421,,67,271,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Rory McIlroy,70,7421,,69,271,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Rory McIlroy,70,7421,,70,271,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Scottie Scheffler,70,7421,,67,273,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Scottie Scheffler,70,7421,,68,273,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Scottie Scheffler,70,7421,,68,273,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Scottie Scheffler,70,7421,,70,273,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Cameron Smith,70,7421,,69,274,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Cameron Smith,70,7421,,67,274,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Cameron Smith,70,7421,,71,274,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Cameron Smith,70,7421,,67,274,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Tommy Fleetwood,70,7421,,73,275,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Tommy Fleetwood,70,7421,,69,275,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Tommy Fleetwood,70,7421,,70,275,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Tommy Fleetwood,70,7421,,63,275,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Min Woo Lee,70,7421,,69,275,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Min Woo Lee,70,7421,,65,275,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Min Woo Lee,70,7421,,74,275,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Min Woo Lee,70,7421,,67,275,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Rickie Fowler,70,7421,,62,275,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Rickie Fowler,70,7421,,68,275,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Rickie Fowler,70,7421,,70,275,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Rickie Fowler,70,7421,,75,275,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Tom Kim,70,7421,,73,276,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Tom Kim,70,7421,,68,276,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Tom Kim,70,7421,,66,276,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Tom Kim,70,7421,,69,276,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Harris English,70,7421,,67,276,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Harris English,70,7421,,66,276,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Harris English,70,7421,,71,276,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Harris English,70,7421,,72,276,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Jon Rahm,70,7421,,69,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Jon Rahm,70,7421,,73,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Jon Rahm,70,7421,,70,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Jon Rahm,70,7421,,65,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Austin Eckroat,70,7421,,71,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Austin Eckroat,70,7421,,68,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Austin Eckroat,70,7421,,73,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Austin Eckroat,70,7421,,65,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Dustin Johnson,70,7421,,64,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Dustin Johnson,70,7421,,70,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Dustin Johnson,70,7421,,71,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Dustin Johnson,70,7421,,72,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Xander Schauffele,70,7421,,62,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Xander Schauffele,70,7421,,70,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Xander Schauffele,70,7421,,73,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Xander Schauffele,70,7421,,72,277,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Russell Henley,70,7421,,71,278,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Russell Henley,70,7421,,71,278,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Russell Henley,70,7421,,68,278,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Russell Henley,70,7421,,68,278,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Patrick Cantlay,70,7421,,71,278,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Patrick Cantlay,70,7421,,71,278,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Patrick Cantlay,70,7421,,67,278,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Patrick Cantlay,70,7421,,69,278,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Collin Morikawa,70,7421,,71,278,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Collin Morikawa,70,7421,,69,278,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Collin Morikawa,70,7421,,69,278,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Collin Morikawa,70,7421,,69,278,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Brooks Koepka,70,7421,,71,279,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Brooks Koepka,70,7421,,69,279,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Brooks Koepka,70,7421,,70,279,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Brooks Koepka,70,7421,,69,279,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Matt Fitzpatrick,70,7421,,71,279,72.76,73.98,71.85,71.6
