TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Scottie Scheffler,71,7261,68,265
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Scottie Scheffler,71,7261,64,265
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Scottie Scheffler,71,7261,68,265
2023 WM Phoenix Open,2023-02-12,4,387.0,61.1,0.0,12.6,92,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Scottie Scheffler,71,7261,65,265
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Nick Taylor,71,7261,66,267
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Nick Taylor,71,7261,69,267
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Nick Taylor,71,7261,67,267
2023 WM Phoenix Open,2023-02-12,4,387.0,61.1,0.0,12.6,92,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Nick Taylor,71,7261,65,267
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Jon Rahm,71,7261,68,270
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Jon Rahm,71,7261,66,270
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Jon Rahm,71,7261,68,270
2023 WM Phoenix Open,2023-02-12,4,387.0,61.1,0.0,12.6,92,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Jon Rahm,71,7261,68,270
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Justin Thomas,71,7261,71,271
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Justin Thomas,71,7261,68,271
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Justin Thomas,71,7261,67,271
2023 WM Phoenix Open,2023-02-12,4,387.0,61.1,0.0,12.6,92,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Justin Thomas,71,7261,65,271
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Jason Day,71,7261,65,272
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Jason Day,71,7261,71,272
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Jason Day,71,7261,68,272
2023 WM Phoenix Open,2023-02-12,4,387.0,61.1,0.0,12.6,92,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Jason Day,71,7261,68,272
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Sam Burns,71,7261,70,273
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Sam Burns,71,7261,71,273
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Sam Burns,71,7261,64,273
2023 WM Phoenix Open,2023-02-12,4,387.0,61.1,0.0,12.6,92,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Sam Burns,71,7261,68,273
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Sungjae Im,71,7261,70,273
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Sungjae Im,71,7261,67,273
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Sungjae Im,71,7261,67,273
2023 WM Phoenix Open,2023-02-12,4,387.0,61.1,0.0,12.6,92,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Sungjae Im,71,7261,69,273
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Tyrrell Hatton,71,7261,70,273
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Tyrrell Hatton,71,7261,67,273
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Tyrrell Hatton,71,7261,67,273
2023 WM Phoenix Open,2023-02-12,4,387.0,61.1,0.0,12.6,92,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Tyrrell Hatton,71,7261,69,273
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Jordan Spieth,71,7261,71,273
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Jordan Spieth,71,7261,63,273
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Jordan Spieth,71,7261,69,273
2023 WM Phoenix Open,2023-02-12,4,387.0,61.1,0.0,12.6,92,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Jordan Spieth,71,7261,70,273
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Wyndham Clark,71,7261,68,274
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Wyndham Clark,71,7261,67,274
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Wyndham Clark,71,7261,70,274
2023 WM Phoenix Open,2023-02-12,4,387.0,61.1,0.0,12.6,92,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Wyndham Clark,71,7261,69,274
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Rickie Fowler,71,7261,71,274
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Rickie Fowler,71,7261,66,274
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Rickie Fowler,71,7261,67,274
2023 WM Phoenix Open,2023-02-12,4,387.0,61.1,0.0,12.6,92,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Rickie Fowler,71,7261,70,274
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Xander Schauffele,71,7261,67,274
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Xander Schauffele,71,7261,67,274
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Xander Schauffele,71,7261,70,274
2023 WM Phoenix Open,2023-02-12,4,387.0,61.1,0.0,12.6,92,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Xander Schauffele,71,7261,70,274
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Adam Hadwin,71,7261,66,274
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Adam Hadwin,71,7261,66,274
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Adam Hadwin,71,7261,71,274
2023 WM Phoenix Open,2023-02-12,4,387.0,61.1,0.0,12.6,92,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Adam Hadwin,71,7261,71,274
2023 WM Phoenix Open,2023-02-09,1,387.0,53.7,0.0,16.0,40,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Beau Hossler,71,7261,74,276
2023 WM Phoenix Open,2023-02-10,2,387.0,56.2,0.0,20.3,59,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Beau Hossler,71,7261,68,276
2023 WM Phoenix Open,2023-02-11,3,387.0,61.7,0.0,18.1,96,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",Beau Hossler,71,7261,71,276
