TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Davis Thompson,63,67,62,64,256,1,"$1,440,000",500
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Michael Thorbjornsen,67,64,66,63,260,T2,"$712,000",208
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Luke Clanton (a),63,67,67,63,260,T2,--,0
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,C.T. Pan,65,63,68,64,260,T2,"$712,000",208
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Ben Griffin,68,67,64,62,261,T5,"$360,000",105
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Carson Young,67,65,66,63,261,T5,"$360,000",105
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Andrew Novak,67,64,68,64,263,T7,"$252,400",80
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Denny McCarthy,64,66,69,64,263,T7,"$252,400",80
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Hayden Springer,59,71,66,67,263,T7,"$252,400",80
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Eric Cole,62,68,64,69,263,T7,"$252,400",80
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Aaron Rai,65,63,66,69,263,T7,"$252,400",80
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Brendon Todd,66,65,69,64,264,T12,"$171,600",58
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Sungjae Im,66,64,70,64,264,T12,"$171,600",58
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Chan Kim,63,68,68,65,264,T12,"$171,600",58
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Harry Hall,63,66,70,65,264,T12,"$171,600",58
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Sami Välimäki,61,72,65,66,264,T12,"$171,600",58
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Séamus Power,64,70,66,65,265,17,"$138,000",51
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Ben Silverman,66,68,67,65,266,T18,"$126,000",48
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Keith Mitchell,69,63,67,67,266,T18,"$126,000",48
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Mac Meissner,67,68,66,66,267,T20,"$106,000",43
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Kevin Yu,68,63,69,67,267,T20,"$106,000",43
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Jhonattan Vegas,68,64,67,68,267,T20,"$106,000",43
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Jason Day,69,67,66,66,268,T23,"$83,600",37
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Lucas Glover,64,68,67,69,268,T23,"$83,600",37
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,J.J. Spaun,65,67,65,71,268,T23,"$83,600",37
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Zach Johnson,65,67,71,66,269,T26,"$64,200",32
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Max Greyserman,66,66,68,69,269,T26,"$64,200",32
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Jordan Spieth,69,67,63,70,269,T26,"$64,200",32
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Rico Hoey,67,64,67,71,269,T26,"$64,200",32
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Pierceson Coody,67,70,69,64,270,T30,"$56,000",27
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,J.T. Poston,66,69,67,68,270,T30,"$56,000",27
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Mark Hubbard,68,68,69,66,271,T32,"$51,200",24
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Chesson Hadley,66,67,69,69,271,T32,"$51,200",24
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Brice Garnett,68,69,70,65,272,T34,"$39,200",18
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Doug Ghim,66,69,71,66,272,T34,"$39,200",18
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Sam Ryder,69,67,69,67,272,T34,"$39,200",18
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Hayden Buckley,64,72,68,68,272,T34,"$39,200",18
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,S.H. Kim,66,69,69,68,272,T34,"$39,200",18
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Patrick Rodgers,66,68,70,68,272,T34,"$39,200",18
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Sam Stevens,70,66,67,69,272,T34,"$39,200",18
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Robby Shelton,65,68,70,69,272,T34,"$39,200",18
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Adam Svensson,64,67,72,69,272,T34,"$39,200",18
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Joshua Creel,67,64,71,70,272,T34,"$39,200",0
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Chandler Phillips,64,68,70,71,273,T44,"$29,200",12
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Trace Crowe,70,64,67,72,273,T44,"$29,200",12
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Kevin Dougherty,65,71,72,66,274,T46,"$23,280",9
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Joel Dahmen,68,69,70,67,274,T46,"$23,280",9
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Zac Blair,66,69,72,67,274,T46,"$23,280",9
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Kevin Streelman,68,69,69,68,274,T46,"$23,280",9
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Adrien Dumont de Chassart,66,68,72,68,274,T46,"$23,280",9
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Ben Taylor,69,66,70,69,274,T46,"$23,280",9
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Ben Kohles,71,65,72,67,275,T52,"$18,924",6
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Dylan Frittelli,70,65,73,67,275,T52,"$18,924",6
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Nico Echavarria,66,71,70,68,275,T52,"$18,924",6
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,"Blaine Hale, Jr.",71,66,70,68,275,T52,"$18,924",6
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Bill Haas,69,68,70,68,275,T52,"$18,924",6
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Stewart Cink,68,69,69,69,275,T52,"$18,924",6
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Jake Knapp,66,71,68,70,275,T52,"$18,924",6
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Ryo Hisatsune,67,67,71,70,275,T52,"$18,924",6
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,James Hahn,68,69,66,72,275,T52,"$18,924",6
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Kevin Chappell,64,73,72,67,276,T61,"$17,200",4
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Thorbjørn Olesen,69,68,71,68,276,T61,"$17,200",4
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Kyle Westmoreland,65,71,72,68,276,T61,"$17,200",0
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Henrik Norlander,67,70,70,69,276,T61,"$17,200",4
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Sepp Straka,66,71,69,70,276,T61,"$17,200",4
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Roger Sloan,67,69,70,70,276,T61,"$17,200",4
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Bud Cauley,65,72,68,71,276,T61,"$17,200",4
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,David Lipsky,65,71,68,72,276,T61,"$17,200",4
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Austin Smotherman,66,68,70,72,276,T61,"$17,200",4
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Scott Gutschewski,68,68,66,74,276,T61,"$17,200",4
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Beau Hossler,65,67,68,76,276,T61,"$17,200",4
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Wilson Furr,67,70,68,72,277,72,"$16,240",3
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Justin Suh,68,69,71,70,278,T73,"$16,000",3
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Justin Lower,67,66,73,72,278,T73,"$16,000",3
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Ryan Palmer,69,68,74,68,279,T75,"$15,680",2
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Matt NeSmith,69,68,71,71,279,T75,"$15,680",2
2024 John Deere Classic,2024-07-04,183.0,74.6,0.106,6.2,170,72.7,0.016,14.3,264,71.2,0.016,11.0,290,74.2,0.169,11.0,194,TPC Deere Run,"Silvis, IL",71,7289,Lee Hodges,66,67,73,74,280,77,"$15,440",2
