TOURNAMENT_NAME,TOURNAMENT_DATE,ELEVATION,R1_TEMPERATURE,R1_PRECIPITATION,R1_WIND_SPEED,R1_WIND_DIRECTION,R2_TEMPERATURE,R2_PRECIPITATION,R2_WIND_SPEED,R2_WIND_DIRECTION,R3_TEMPERATURE,R3_PRECIPITATION,R3_WIND_SPEED,R3_WIND_DIRECTION,R4_TEMPERATURE,R4_PRECIPITATION,R4_WIND_SPEED,R4_WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_NAME,R1_SCORE,R2_SCORE,R3_SCORE,R4_SCORE,TOTAL_SCORE,POSITION,EARNINGS,FEDEX_PTS
2024 THE PLAYERS Championship,2024-03-14,6.0,61.3,0.0,6.8,356,68.5,0.004,8.0,174,71.0,0.004,11.0,241,70.9,0.004,9.8,237,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7275,Scottie Scheffler,67,69,68,64,268,1,"$4,500,000",750
2024 THE PLAYERS Championship,2024-03-14,6.0,61.3,0.0,6.8,356,68.5,0.004,8.0,174,71.0,0.004,11.0,241,70.9,0.004,9.8,237,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7275,Brian Harman,72,65,64,68,269,T2,"$1,891,667",358
2024 THE PLAYERS Championship,2024-03-14,6.0,61.3,0.0,6.8,356,68.5,0.004,8.0,174,71.0,0.004,11.0,241,70.9,0.004,9.8,237,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7275,Wyndham Clark,65,65,70,69,269,T2,"$1,891,667",358
2024 THE PLAYERS Championship,2024-03-14,6.0,61.3,0.0,6.8,356,68.5,0.004,8.0,174,71.0,0.004,11.0,241,70.9,0.004,9.8,237,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7275,Xander Schauffele,65,69,65,70,269,T2,"$1,891,667",358
2024 THE PLAYERS Championship,2024-03-14,6.0,61.3,0.0,6.8,356,68.5,0.004,8.0,174,71.0,0.004,11.0,241,70.9,0.004,9.8,237,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7275,Matt Fitzpatrick,66,69,68,69,272,5,"$1,025,000",300
2024 THE PLAYERS Championship,2024-03-14,6.0,61.3,0.0,6.8,356,68.5,0.004,8.0,174,71.0,0.004,11.0,241,70.9,0.004,9.8,237,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7275,Si Woo Kim,70,71,68,64,273,T6,"$875,000",263
2024 THE PLAYERS Championship,2024-03-14,6.0,61.3,0.0,6.8,356,68.5,0.004,8.0,174,71.0,0.004,11.0,241,70.9,0.004,9.8,237,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7275,Hideki Matsuyama,69,69,68,67,273,T6,"$875,000",263
2024 THE PLAYERS Championship,2024-03-14,6.0,61.3,0.0,6.8,356,68.5,0.004,8.0,174,71.0,0.004,11.0,241,70.9,0.004,9.8,237,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7275,Ludvig Åberg,67,73,67,67,274,8,"$781,250",225
2024 THE PLAYERS Championship,2024-03-14,6.0,61.3,0.0,6.8,356,68.5,0.004,8.0,174,71.0,0.004,11.0,241,70.9,0.004,9.8,237,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7275,Sahith Theegala,70,67,67,71,275,T9,"$706,250",188
2024 THE PLAYERS Championship,2024-03-14,6.0,61.3,0.0,6.8,356,68.5,0.004,8.0,174,71.0,0.004,11.0,241,70.9,0.004,9.8,237,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72,7275,Maverick McNealy,67,68,68,72,275,T9,"$706,250",188
