TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2024 The Genesis Invitational,2024-02-15,1,106.0,51.8,0.0,7.1,266,Riviera Country Club,"Pacific Palisades, CA",Hideki Matsuyama,71,7322,69,267
2024 The Genesis Invitational,2024-02-16,2,106.0,55.0,0.0,8.7,352,Riviera Country Club,"Pacific Palisades, CA",Hideki Matsuyama,71,7322,68,267
2024 The Genesis Invitational,2024-02-17,3,106.0,54.5,0.0,5.9,68,Riviera Country Club,"Pacific Palisades, CA",Hideki Matsuyama,71,7322,68,267
2024 The Genesis Invitational,2024-02-18,4,106.0,54.8,0.055,5.6,119,Riviera Country Club,"Pacific Palisades, CA",Hideki Matsuyama,71,7322,62,267
2024 The Genesis Invitational,2024-02-15,1,106.0,51.8,0.0,7.1,266,Riviera Country Club,"Pacific Palisades, CA",Luke List,71,7322,65,270
2024 The Genesis Invitational,2024-02-16,2,106.0,55.0,0.0,8.7,352,Riviera Country Club,"Pacific Palisades, CA",Luke List,71,7322,69,270
2024 The Genesis Invitational,2024-02-17,3,106.0,54.5,0.0,5.9,68,Riviera Country Club,"Pacific Palisades, CA",Luke List,71,7322,68,270
2024 The Genesis Invitational,2024-02-18,4,106.0,54.8,0.055,5.6,119,Riviera Country Club,"Pacific Palisades, CA",Luke List,71,7322,68,270
2024 The Genesis Invitational,2024-02-15,1,106.0,51.8,0.0,7.1,266,Riviera Country Club,"Pacific Palisades, CA",Will Zalatoris,71,7322,66,270
2024 The Genesis Invitational,2024-02-16,2,106.0,55.0,0.0,8.7,352,Riviera Country Club,"Pacific Palisades, CA",Will Zalatoris,71,7322,70,270
2024 The Genesis Invitational,2024-02-17,3,106.0,54.5,0.0,5.9,68,Riviera Country Club,"Pacific Palisades, CA",Will Zalatoris,71,7322,65,270
2024 The Genesis Invitational,2024-02-18,4,106.0,54.8,0.055,5.6,119,Riviera Country Club,"Pacific Palisades, CA",Will Zalatoris,71,7322,69,270
2024 The Genesis Invitational,2024-02-15,1,106.0,51.8,0.0,7.1,266,Riviera Country Club,"Pacific Palisades, CA",Adam Hadwin,71,7322,69,271
2024 The Genesis Invitational,2024-02-16,2,106.0,55.0,0.0,8.7,352,Riviera Country Club,"Pacific Palisades, CA",Adam Hadwin,71,7322,70,271
