TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2024 U.S. Open,2024-06-13,1,165.0,76.2,0.004,8.4,117,Pinehurst No. 2,"Pinehurst, NC",Bryson DeChambeau,70,7569,67,274
2024 U.S. Open,2024-06-14,2,165.0,77.5,0.016,8.5,157,Pinehurst No. 2,"Pinehurst, NC",Bryson DeChambeau,70,7569,69,274
2024 U.S. Open,2024-06-15,3,165.0,80.9,0.0,8.1,13,Pinehurst No. 2,"Pinehurst, NC",Bryson DeChambeau,70,7569,67,274
2024 U.S. Open,2024-06-16,4,165.0,79.8,0.004,8.6,104,Pinehurst No. 2,"Pinehurst, NC",Bryson DeChambeau,70,7569,71,274
2024 U.S. Open,2024-06-13,1,165.0,76.2,0.004,8.4,117,Pinehurst No. 2,"Pinehurst, NC",Rory McIlroy,70,7569,65,275
2024 U.S. Open,2024-06-14,2,165.0,77.5,0.016,8.5,157,Pinehurst No. 2,"Pinehurst, NC",Rory McIlroy,70,7569,72,275
2024 U.S. Open,2024-06-15,3,165.0,80.9,0.0,8.1,13,Pinehurst No. 2,"Pinehurst, NC",Rory McIlroy,70,7569,69,275
2024 U.S. Open,2024-06-16,4,165.0,79.8,0.004,8.6,104,Pinehurst No. 2,"Pinehurst, NC",Rory McIlroy,70,7569,69,275
2024 U.S. Open,2024-06-13,1,165.0,76.2,0.004,8.4,117,Pinehurst No. 2,"Pinehurst, NC",Tony Finau,70,7569,68,276
2024 U.S. Open,2024-06-14,2,165.0,77.5,0.016,8.5,157,Pinehurst No. 2,"Pinehurst, NC",Tony Finau,70,7569,69,276
2024 U.S. Open,2024-06-15,3,165.0,80.9,0.0,8.1,13,Pinehurst No. 2,"Pinehurst, NC",Tony Finau,70,7569,72,276
2024 U.S. Open,2024-06-16,4,165.0,79.8,0.004,8.6,104,Pinehurst No. 2,"Pinehurst, NC",Tony Finau,70,7569,67,276
2024 U.S. Open,2024-06-13,1,165.0,76.2,0.004,8.4,117,Pinehurst No. 2,"Pinehurst, NC",Patrick Cantlay,70,7569,65,276
2024 U.S. Open,2024-06-14,2,165.0,77.5,0.016,8.5,157,Pinehurst No. 2,"Pinehurst, NC",Patrick Cantlay,70,7569,71,276
2024 U.S. Open,2024-06-15,3,165.0,80.9,0.0,8.1,13,Pinehurst No. 2,"Pinehurst, NC",Patrick Cantlay,70,7569,70,276
2024 U.S. Open,2024-06-16,4,165.0,79.8,0.004,8.6,104,Pinehurst No. 2,"Pinehurst, NC",Patrick Cantlay,70,7569,70,276
2024 U.S. Open,2024-06-13,1,165.0,76.2,0.004,8.4,117,Pinehurst No. 2,"Pinehurst, NC",Matthieu Pavon,70,7569,67,277
2024 U.S. Open,2024-06-14,2,165.0,77.5,0.016,8.5,157,Pinehurst No. 2,"Pinehurst, NC",Matthieu Pavon,70,7569,70,277
2024 U.S. Open,2024-06-15,3,165.0,80.9,0.0,8.1,13,Pinehurst No. 2,"Pinehurst, NC",Matthieu Pavon,70,7569,69,277
2024 U.S. Open,2024-06-16,4,165.0,79.8,0.004,8.6,104,Pinehurst No. 2,"Pinehurst, NC",Matthieu Pavon,70,7569,71,277
2024 U.S. Open,2024-06-13,1,165.0,76.2,0.004,8.4,117,Pinehurst No. 2,"Pinehurst, NC",Hideki Matsuyama,70,7569,72,278
2024 U.S. Open,2024-06-14,2,165.0,77.5,0.016,8.5,157,Pinehurst No. 2,"Pinehurst, NC",Hideki Matsuyama,70,7569,66,278
