TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PAR,LENGTH,PLAYER_ID,PLAYER_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN,SCORE,TOTAL_SCORE
2024 ZOZO CHAMPIONSHIP,2024-10-27,4,82.0,68.0,0.717,8.8,151,ACCORDIA GOLF Narashino Country Club,"Chiba, Japan",70,7079,51349,Nico Echavarria,1.068,0.343,2.0,0.226,67,260
2024 ZOZO CHAMPIONSHIP,2024-10-26,3,82.0,65.0,0.0,7.2,35,ACCORDIA GOLF Narashino Country Club,"Chiba, Japan",70,7079,51349,Nico Echavarria,1.068,0.343,2.0,0.226,65,260
2024 ZOZO CHAMPIONSHIP,2024-10-25,2,82.0,65.4,0.012,9.7,31,ACCORDIA GOLF Narashino Country Club,"Chiba, Japan",70,7079,51349,Nico Echavarria,1.068,0.343,2.0,0.226,64,260
2024 ZOZO CHAMPIONSHIP,2024-10-24,1,82.0,71.2,0.035,9.8,47,ACCORDIA GOLF Narashino Country Club,"Chiba, Japan",70,7079,51349,Nico Echavarria,1.068,0.343,2.0,0.226,64,260
2024 ZOZO CHAMPIONSHIP,2024-10-27,4,82.0,68.0,0.717,8.8,151,ACCORDIA GOLF Narashino Country Club,"Chiba, Japan",70,7079,33448,Justin Thomas,-0.1925,0.738,2.006,0.835,66,261
2024 ZOZO CHAMPIONSHIP,2024-10-26,3,82.0,65.0,0.0,7.2,35,ACCORDIA GOLF Narashino Country Club,"Chiba, Japan",70,7079,33448,Justin Thomas,-0.1925,0.738,2.006,0.835,65,261
2024 ZOZO CHAMPIONSHIP,2024-10-25,2,82.0,65.4,0.012,9.7,31,ACCORDIA GOLF Narashino Country Club,"Chiba, Japan",70,7079,33448,Justin Thomas,-0.1925,0.738,2.006,0.835,64,261
2024 ZOZO CHAMPIONSHIP,2024-10-24,1,82.0,71.2,0.035,9.8,47,ACCORDIA GOLF Narashino Country Club,"Chiba, Japan",70,7079,33448,Justin Thomas,-0.1925,0.738,2.006,0.835,66,261
2024 ZOZO CHAMPIONSHIP,2024-10-27,4,82.0,68.0,0.717,8.8,151,ACCORDIA GOLF Narashino Country Club,"Chiba, Japan",70,7079,51977,Max Greyserman,2.59575,0.46,0.717,-0.387,65,261
2024 ZOZO CHAMPIONSHIP,2024-10-26,3,82.0,65.0,0.0,7.2,35,ACCORDIA GOLF Narashino Country Club,"Chiba, Japan",70,7079,51977,Max Greyserman,2.59575,0.46,0.717,-0.387,64,261
